,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130
0,-528.962,-519.75214,-516.96936,-505.41,-497.06952,-494.5618,-488.7373,-492.8523,-494.70337,-499.92035,-506.3188,-513.1859,-518.52625,-516.35486,-517.9181,-518.69916,-520.5023,-522.2321,-519.4706,-518.5075,-524.737,-530.74603,-531.2409,-530.1175,-526.818,-524.4216,-523.9855,-521.59955,-520.83905,-522.1816,-519.704,-520.66455,-518.8754,-521.9573,-521.42755,-518.2826,-514.91376,-509.58264,-498.52408,-494.508,-494.09488,-405.3058,-349.73645,-402.179,-497.16486,-516.00916,-504.6919,-498.4633,-518.7225,-531.1653,-526.42554,-519.2155,-518.9341,-510.4061,-495.12112,-504.42087,-526.473,-525.88367,-523.40857,-522.9742,-332.05923,-146.63657,-105.41622,-136.2978,-168.55846,-192.39105,-203.5067,-177.47263,-132.05096,-127.33748,-137.92648,-144.66269,-149.63306,-135.5808,-127.3798,-139.30023,-161.45422,-194.28967,-218.63826,-221.04147,-236.10066,-229.1258,-257.93335,-322.84943,-316.18777,-302.23666,-235.82904,-154.23509,-131.25333,-137.62465,-149.71025,-155.49068,-157.88521,-172.88086,-184.44772,-187.85645,-191.71315,-203.23105,-214.771,-217.29768,-218.0557,-236.1108,-266.43054,-299.26804,-339.98187,-369.26492,-380.98105,-394.15143,-410.00882,-422.051,-432.71732,-451.0667,-463.73288,-453.54123,-433.30902,-423.28537,-417.35855,-416.0298,-422.2715,-421.2522,-416.10718,-421.21597,-419.38672,-414.18735,-409.94183,-397.86783,-391.02945,-393.51813,-406.22842,-420.34097,-367.55676
1,82.58423,74.65784,72.64976,70.37132,70.988434,77.97062,81.78499,77.15379,75.360245,72.39255,69.34504,67.40944,64.61259,68.320625,69.619514,68.51608,70.56903,67.36847,68.29953,70.91206,66.3938,60.230324,60.084625,62.493652,65.26032,66.434814,69.56559,69.35359,68.00792,64.79674,67.12835,68.762985,64.26538,64.18886,67.7072,71.368614,68.10045,67.646164,78.33473,74.47664,71.59427,90.20902,96.55623,87.610275,74.77608,70.01606,49.836884,46.308453,58.367073,61.1912,64.428665,59.575584,63.04451,83.927795,97.99673,89.25836,69.8108,67.54809,68.275894,66.14304,100.32573,84.23071,87.597824,104.32844,123.08621,101.96582,98.917015,129.9119,134.27084,116.86992,100.8891,94.49233,100.56119,102.89044,105.8989,95.87912,79.10103,58.639603,49.565956,60.122818,65.12239,98.78553,143.12828,167.82352,166.56152,166.69487,173.1393,178.19528,178.18146,167.24884,153.32823,151.62302,156.39462,152.34702,140.50992,141.81207,146.90884,146.51642,140.81372,134.0514,136.42291,135.45828,136.48679,134.69019,128.37946,126.32547,119.861145,118.27837,119.651596,118.86968,116.510086,117.14168,116.03653,136.82309,164.59879,179.98946,182.77802,184.0865,178.70418,177.17343,181.5214,177.2327,178.9743,184.75882,186.74406,192.02753,192.0883,191.95049,181.29977,172.98209,142.12119
2,31.474442,34.407616,31.191357,18.936808,12.174737,16.76537,17.52322,14.666588,16.924858,17.794992,17.69256,16.439445,18.851618,25.16013,29.251747,26.465076,27.921715,29.30978,28.941328,26.97212,29.292545,31.988466,32.170467,29.604778,28.966568,25.887726,27.862358,28.619751,28.767742,29.720715,29.854494,29.199665,27.675407,29.471756,26.380135,27.53463,26.338428,23.080828,23.981937,16.310974,13.977373,4.7077007,-1.9498981,1.0291598,23.15336,29.985012,36.426743,36.89852,29.5451,31.133823,32.654377,34.736023,35.755314,46.92378,55.356453,51.370857,35.56081,33.14119,31.48451,29.773607,22.24178,19.747353,24.707653,10.459082,-39.211716,-77.64377,-82.888275,-54.558395,-54.484856,-59.35261,-59.434406,-55.246574,-49.18908,-45.598858,-41.367935,-27.547707,-15.680777,-0.75041497,10.5497055,10.97428,3.7471743,-12.843035,-8.390871,3.1617942,-9.997739,-19.617834,-20.501709,-25.327377,-28.861435,-27.81835,-22.262867,-16.250376,-12.165991,-6.4000273,-2.0912395,0.66942227,2.1404626,7.096893,16.785423,18.837635,20.21292,28.252594,33.83608,25.789476,13.441158,2.9457026,3.617917,8.550684,15.8654995,24.147564,33.09657,44.3084,54.064743,69.89303,78.274345,83.3139,77.65822,78.5258,84.85596,86.3147,83.70693,78.704956,76.5876,80.37018,81.99205,72.31089,67.01849,64.145004,62.698402,72.924286,55.38977
3,20.389545,19.985682,22.963547,25.909088,26.317383,22.264328,16.962215,20.265179,22.221363,20.993221,17.520103,17.110573,17.06391,19.46592,24.346127,21.527355,21.018375,19.35019,16.935041,16.15102,17.163078,20.356647,18.76637,17.346527,18.39021,12.567446,15.018618,16.412167,17.471722,22.874508,21.73877,17.436031,13.729666,14.887748,17.850922,17.746655,19.174297,22.34151,20.302961,15.1970625,19.227081,22.70185,25.526321,29.600988,31.33105,24.189207,36.137623,39.337097,30.305153,25.281967,20.860313,23.641891,26.532452,36.563812,45.324112,42.253822,25.717522,23.305662,22.531717,18.07959,22.522263,25.6813,37.99668,45.67759,42.102486,21.84069,18.459259,5.925011,-10.025095,-11.181471,-14.669443,-14.14127,-13.143396,0.1944156,5.691988,14.604761,36.022514,57.48586,70.00554,75.78412,83.46038,69.139656,53.743145,44.215004,43.676903,45.69352,42.698353,28.171413,12.773396,2.2880802,6.4099393,12.434502,13.019711,17.230614,19.347881,18.402761,26.366491,32.676613,40.518425,37.152546,32.349842,29.037811,34.545258,50.165825,68.597015,79.46228,78.648476,76.80025,71.91738,66.94475,71.326706,68.318985,62.250732,51.80195,41.63379,43.040127,32.161568,30.722626,42.086056,45.646027,40.986595,37.94649,34.526764,32.29199,32.219822,33.55372,31.691195,20.276855,21.29068,30.068642,39.243225
4,18.613153,14.142149,12.743989,14.180222,16.754202,16.839474,12.673298,17.047916,17.191784,14.112648,7.6024575,10.592504,13.806645,12.895229,15.973008,13.669569,14.1951065,12.672343,12.060227,11.701555,13.130205,9.869265,10.902176,10.578239,7.76424,4.7516336,10.87334,11.986618,12.1713705,9.575217,8.017218,5.574397,9.0966015,9.433599,13.56007,13.658447,16.559101,18.611801,10.145497,4.3249893,11.953909,3.6842465,-2.6431403,1.4047637,14.053443,16.419777,1.3421271,-5.4886293,9.160778,17.85884,15.245155,8.100717,11.247754,24.649387,29.64304,29.236134,18.9583,7.3063016,8.697124,8.30741,8.096846,-1.7410376,2.6797183,5.39964,-6.341795,-17.332966,-19.394909,-27.076536,-38.551514,-40.55745,-34.099873,-25.989086,-19.253084,-20.152843,-15.507498,-5.2840314,-3.1931334,3.3058913,2.5512266,-3.3568974,1.5784438,25.506018,38.663063,52.932842,53.787704,51.447353,13.230985,-11.398035,-11.669844,-18.240093,-25.92855,-33.623535,-35.625423,-30.693514,-28.224298,-28.496346,-22.592472,-15.531803,-11.780922,-6.115331,-2.158638,6.5034413,13.24657,27.865139,43.767006,56.09521,56.547607,54.282192,51.425392,52.6821,48.720093,45.70706,42.578583,32.20873,28.999226,25.322838,19.119194,20.238483,20.427391,24.40676,23.664219,22.684168,22.438683,19.947397,18.099878,22.728104,24.038094,23.066761,24.774632,17.056831,25.842886
5,14.390844,11.534075,10.827715,5.797862,4.443014,8.777865,7.1195745,9.999579,9.016436,7.725833,6.346464,6.6695995,13.966603,14.552118,15.462563,14.548853,15.236223,12.317692,12.045713,12.544121,11.561205,12.008295,14.105894,13.513285,13.346218,15.195538,15.529982,13.607147,11.61872,11.704918,9.253346,6.548779,15.104728,17.205662,17.697853,15.875807,17.552786,16.03817,7.2198973,0.23840624,6.657502,19.35017,22.160477,14.922926,4.758884,16.06818,32.442505,31.447357,22.09385,19.484892,16.065113,17.591295,15.681656,22.007175,23.934803,26.695965,20.979944,12.228312,12.597944,10.018308,25.45111,26.449598,28.808407,34.582687,37.466736,26.881186,28.737396,18.767334,19.762506,21.37415,19.84523,13.810568,8.71475,0.29078358,-9.699072,-18.941242,-19.801224,-14.949377,-10.724537,-8.105215,-12.816441,0.043451488,10.791064,13.526944,9.199575,-0.91444135,5.6940594,14.985659,12.527661,18.286592,28.116924,29.260517,23.769842,19.26373,18.68003,16.215462,13.927517,10.219744,6.8187423,11.265306,18.093973,28.840572,36.308674,30.193521,16.464958,5.903291,2.4927359,4.530689,6.0849476,9.868021,9.070208,10.33455,20.4616,19.914948,18.158108,15.993212,19.242954,21.81253,14.688395,15.479348,19.88534,23.138561,20.206774,22.198929,20.628738,13.525438,17.779202,22.775993,27.962145,23.64476,17.766647
6,14.2283535,11.757366,9.190351,8.42807,9.12119,6.612315,1.8658823,3.0148385,5.493256,9.918461,7.6481686,4.6816034,11.157978,9.965723,6.1865606,11.115136,14.466312,15.724199,15.095612,12.421762,9.724548,13.785432,14.471154,15.132401,17.267008,16.7029,11.378576,12.204873,11.395128,7.2455893,8.290523,13.546531,17.782967,13.931944,9.027127,7.859104,8.036037,7.202731,3.017963,1.7736807,0.10280503,-22.133282,-28.053381,-19.6296,5.607935,10.8414755,7.6917334,4.6078176,6.8170705,14.011507,15.282872,11.24143,9.075508,19.705364,29.306845,30.340557,18.475262,11.52416,13.178865,9.776524,-35.030663,-34.48526,-28.176775,-15.445898,-2.7712545,1.9436462,7.884686,-1.762541,-7.9404974,-4.3338084,-3.2382755,-3.8314965,-6.742257,-22.542671,-36.40005,-47.097725,-47.527695,-39.39891,-30.527737,-28.72439,-29.557514,-30.938545,-28.88887,-9.601088,-6.4486694,-9.533194,-12.082071,-17.906353,-21.922699,-27.615131,-30.047028,-22.654118,-17.23505,-14.249161,-17.139652,-22.06771,-24.428654,-24.55339,-24.759945,-26.521688,-28.357834,-27.5642,-22.50047,-22.3526,-15.189478,-3.8159034,4.1031857,6.5477953,4.0665936,5.6258163,9.067048,7.1664233,14.411655,19.42413,6.1127067,5.352261,17.173096,18.510582,12.211853,9.255124,9.575779,13.079742,9.910022,9.625479,6.919916,8.87319,10.076006,8.164587,8.604315,12.579625,13.969599
7,12.263501,9.400454,14.459982,15.432573,12.166467,12.880596,10.21876,8.0573635,9.110436,12.204501,12.876419,12.178846,18.301876,18.189775,11.434418,12.815278,14.944975,15.824749,15.652118,11.075141,9.867167,12.910672,15.888698,16.664589,16.203854,20.227829,14.375664,15.289722,12.206751,7.6174235,9.632373,13.17753,16.140251,13.381647,8.465491,9.856123,10.054207,8.794831,6.1848783,10.251618,10.370721,12.453091,13.96451,13.36147,16.2491,13.574751,9.385489,7.6807766,11.722937,18.49474,17.22939,15.071536,15.641119,20.120758,29.23051,31.738081,23.435883,12.59773,11.197903,12.859861,7.4854703,12.010154,15.7043295,19.311327,23.527874,22.695057,21.718994,16.530949,12.531355,13.324963,13.80781,10.317091,9.183461,9.751756,9.878928,12.041962,15.248457,14.183752,15.604077,16.995337,27.670753,24.57202,19.541876,10.847846,11.737009,6.7289486,7.3096843,-0.32450312,-1.3956808,0.99524236,-5.724275,-10.826053,-9.943081,-5.7695446,0.76620984,-0.12037408,-1.3047445,1.1099975,4.4735785,-1.3303,-5.8101645,-5.6325274,4.6495457,13.657013,21.765171,19.729801,24.022163,29.23686,30.327608,30.12714,29.626999,27.481165,24.784332,23.11668,3.637144,0.7536698,12.215776,12.881849,9.5042,8.8531275,8.615028,10.535736,12.101308,8.255849,2.0962663,4.976743,7.255194,3.1910567,3.1454482,6.5682364,6.8345356
8,10.511177,7.85993,12.759363,15.670982,13.07987,13.332556,14.889731,12.696205,9.81476,9.447683,8.471151,6.5555506,12.215919,10.889559,10.910129,7.0282106,7.417939,7.7631383,8.149347,4.976905,6.025332,5.8182898,10.159263,12.966453,7.0623064,9.309488,6.76694,9.208153,10.679433,4.9884605,5.7210727,5.4945116,7.195609,9.608874,9.78607,8.244774,7.7232075,7.827266,7.336066,10.486856,10.193855,15.648041,16.224613,14.277166,8.955925,7.4621296,16.749363,15.272337,13.756409,14.453295,14.501468,18.515194,15.948086,11.027455,14.497389,16.046661,13.874886,7.626033,8.792346,9.758343,5.4758534,3.9511237,7.5471573,12.758987,9.767221,11.379761,2.127847,-11.114905,-8.910545,-7.771039,-7.169984,-5.2600927,-5.224127,0.8205117,2.7696617,-10.9467125,-23.034939,-30.816273,-35.90435,-42.001915,-40.303253,-30.526798,-17.516434,-14.064898,-19.817429,-28.562866,-26.7355,-31.39405,-31.860533,-23.116138,-12.906212,-11.764133,-14.869773,-15.931036,-13.698268,-16.870878,-18.037594,-21.592915,-19.925343,-19.620358,-17.496826,-13.011935,-12.385504,-12.6849,-9.868063,-2.4530387,-1.9340909,1.9179968,2.96138,3.782167,5.4493837,7.665019,3.7866955,4.241601,0.97070575,0.49563468,0.48846933,3.3312225,3.624936,2.1903238,2.4560118,5.621997,8.578088,2.8200216,-2.9056911,-2.6221185,-2.461022,0.6236372,2.3679826,3.2011027,5.2556567
9,11.482414,7.280809,3.8941143,14.054476,18.011335,16.404186,18.848663,14.94561,11.109493,12.732561,7.631957,2.2690458,3.6751714,5.0891385,3.6588192,-0.098584086,4.537512,8.837088,10.570976,10.773346,9.5923195,6.8947997,10.364267,8.943468,4.920617,3.083444,6.169367,8.745615,8.727297,7.4800105,7.402106,1.8184263,1.0938785,5.371859,8.394588,10.886203,8.65422,10.255075,12.343286,14.859312,11.754906,-9.580032,-12.351216,-8.324479,7.0902185,6.4013224,-3.281467,-5.46307,7.785342,13.102397,12.511882,12.619268,7.7198243,9.0485325,13.894598,13.365498,12.474741,9.669472,11.552851,12.0820875,-8.3970785,-5.9272146,-0.11904168,4.7062316,10.362606,26.585209,26.098495,9.518454,-2.1965482,-0.4432441,1.9756857,5.0211396,11.992793,9.993711,6.5518103,7.2363744,3.5211344,-4.36396,-4.3410273,-10.224628,-15.4387245,-11.409539,-13.865052,-16.096397,-12.906606,-16.77076,-23.748104,-8.634451,7.282493,11.2409725,9.277777,14.02999,19.478554,19.583237,20.233152,18.808924,16.43868,14.8491,8.479673,7.420746,8.64794,9.766497,5.5597053,3.2346373,1.0327405,-3.6818724,-1.6841455,0.17785716,-3.2658713,-0.9006914,2.9817386,2.13341,-3.5221171,-1.6686891,3.2292717,6.5713015,4.083227,2.9481256,2.6021464,0.93438745,0.08916989,1.931296,6.1794147,-0.23847803,1.8816899,2.551329,1.649388,5.1813416,3.7886639,1.6079918,2.7172387
10,4.983386,1.0925472,-2.1289437,3.9569678,7.7098236,6.6261168,5.636969,3.7697496,1.2201926,2.2315972,5.8092985,1.2887182,-2.4294877,2.985004,4.5473075,3.285758,4.4087434,3.6049619,4.816697,8.019041,7.7110133,0.26509237,0.7011379,5.318469,5.552372,5.8831635,5.5728445,1.7006533,0.7329985,3.1699345,4.4632783,-1.6395445,-0.9543327,0.15711671,1.3294814,5.525342,5.558717,6.251669,8.62825,11.298147,10.126743,6.6289034,6.5314493,7.6455564,7.331625,5.5407457,7.449746,10.673519,9.638315,2.8702517,3.101403,6.0317125,2.019158,9.317055,11.918192,9.172646,8.801144,6.5416546,5.1181107,5.932234,-13.754883,-17.005976,-8.445994,-3.3145714,3.9806411,17.205048,16.827152,4.4532466,2.9267416,7.2279873,9.23142,4.5674257,-3.5971336,-8.04724,-9.373234,-10.000616,-10.902389,-9.783244,-5.7238197,-5.5612535,-8.988737,-1.679318,5.0140057,17.314564,20.11481,13.078934,8.803727,3.2371917,-0.4745228,2.0897872,1.3814785,-1.2698818,-3.7839046,0.30610037,-0.6174929,-5.2963777,-6.7123504,-6.614982,-9.866236,-13.228811,-18.54853,-20.766811,-15.861095,-2.552669,12.848266,18.567263,18.938759,15.613359,14.697028,16.203205,15.449062,11.848032,6.9463506,-0.20829153,3.7394173,1.5325484,3.2516215,4.354712,-0.6424333,-3.280253,-4.762944,-1.4058039,2.8959007,-0.69340277,1.0662608,1.3628931,-0.93283737,1.5538027,-0.3566457,1.9247369,2.391083
11,6.1203127,8.239439,11.605917,6.222829,1.7318313,1.8022289,3.3165374,5.008013,4.696261,3.4368825,3.3395572,2.7853448,2.573588,8.71423,9.030879,7.5825167,4.506173,4.8023605,9.553651,10.289282,9.359338,4.3432884,3.2886674,8.87781,5.950892,5.2939224,8.850372,5.923319,1.9578416,2.307581,6.168187,7.8004217,4.3716974,2.9527864,3.7513056,5.941459,6.1331787,8.873333,8.081313,3.5913804,6.3422427,13.905785,16.4361,15.336483,12.41358,6.3873577,2.4591923,6.0973377,5.2149677,2.5407107,4.905907,7.0104103,6.3834257,10.841077,6.514006,4.5093403,7.6906714,7.289566,9.089687,7.8261576,5.2299047,5.1093936,8.089729,9.760402,9.116512,8.718643,-3.7512608,-28.856846,-29.723509,-23.901295,-22.524685,-22.699306,-22.920143,-12.535574,-5.61042,-7.412663,-7.860723,-18.366093,-16.111008,-12.972485,-13.587647,-12.851602,-6.1312923,9.808346,9.68667,6.9701934,-3.3866463,-9.678888,-8.518866,-3.5437522,-3.4736235,-5.9292626,-4.836109,-4.129967,-6.409177,-4.0294147,-4.696271,-6.835929,-4.339833,-7.7154636,-11.780929,-12.571161,-15.096693,-12.465921,-10.083341,-8.016067,-7.6617794,-12.680283,-12.773035,-13.955972,-13.250023,-12.372259,-6.0161114,-5.513775,2.800875,3.5759196,0.15471333,4.866584,8.179205,1.4488113,-2.1148148,0.57631415,2.7298467,3.0753899,2.7953556,0.44129157,0.70451236,1.3181224,2.6609907,8.094681,2.4171686
12,6.2889833,6.6204515,4.2025094,3.4364333,0.40708077,1.9157484,3.9315462,-0.89486885,-3.2485735,-3.2259712,-2.886413,-6.1565466,-5.4539185,3.3219981,4.918218,3.4366128,-0.56112605,4.2138705,7.9211082,9.631065,6.2493367,8.397816,7.47387,2.326172,0.62190247,2.075161,2.7352073,3.3364124,0.6554923,1.5041401,0.13115072,2.4120932,6.0897255,2.649652,2.1568036,2.4433277,2.4751964,2.6113217,5.678954,8.776726,2.3064413,3.6960735,5.2598305,8.678526,4.533047,0.009938419,-3.3107262,-3.54578,0.584918,-1.3539125,2.759092,6.4233456,4.693789,6.839164,3.1602843,3.2586627,8.881056,7.4517164,6.1797724,5.8416243,8.091126,8.484896,10.201648,8.034541,8.3893175,13.2862835,8.303289,-0.47581726,-2.9685328,-3.0355215,-4.9128923,-7.8582416,-8.71452,-9.400972,-9.180569,-0.6712127,7.2555714,7.615239,7.179098,9.905667,7.508587,6.2329006,5.2421923,-1.5905375,-5.900039,-11.940571,-9.648137,-1.7965623,4.7802405,2.562982,-1.9401212,-0.58397937,-1.4272356,0.36988294,-2.460544,-3.734663,-0.38407707,2.5970862,2.092765,2.1118891,2.7284813,-0.36728188,-8.953435,-12.539392,-11.880121,-15.762526,-16.244547,-15.69133,-16.901073,-15.990702,-18.31195,-16.495132,-7.4839373,-7.7618294,-3.436861,2.7220385,-3.0628023,-4.288551,3.7062283,5.2722573,1.7589408,0.82459366,0.35598513,-1.6946132,-5.1539707,-6.364362,-3.8687797,1.1355326,4.32189,7.5472856,3.0602486
