,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133
0,-546.77496,-520.16345,-516.28986,-515.9624,-516.0971,-509.47815,-515.01184,-519.1696,-510.3945,-498.90216,-493.3179,-500.66907,-501.54697,-503.34283,-504.25473,-503.36542,-501.75284,-503.0346,-506.10208,-508.4316,-469.045,-455.82767,-476.28583,-488.5339,-503.92035,-509.5666,-518.6718,-520.7705,-518.7133,-522.27264,-511.4475,-511.84573,-410.24252,-339.6382,-311.39642,-301.2161,-302.6393,-276.43597,-217.91943,-156.6232,-123.02659,-103.52292,-93.92835,-95.510895,-88.112656,-93.35145,-121.5281,-162.42386,-212.17581,-264.8492,-305.06436,-331.32834,-333.69122,-333.707,-343.75558,-336.95795,-330.6242,-317.66516,-295.70087,-272.44962,-264.01654,-240.74103,-211.09766,-202.52489,-196.82237,-175.31236,-165.24303,-179.23949,-216.0757,-248.55597,-250.14136,-225.10576,-207.77582,-195.79387,-188.85884,-202.85898,-213.28015,-223.626,-247.1409,-244.3948,-242.57608,-256.00204,-279.02383,-301.50287,-343.75903,-369.76117,-382.12756,-436.9603,-492.0823,-414.53265,-326.54178,-258.86682,-209.4708,-186.51727,-188.14653,-208.36966,-221.43324,-238.96866,-238.4243,-238.4459,-254.43549,-248.85014,-246.02504,-266.28687,-301.82996,-338.80347,-367.0041,-392.55548,-410.69983,-433.30722,-443.47247,-452.3385,-449.3345,-464.70474,-489.31763,-507.01523,-512.57556,-517.57806,-517.2936,-517.63074,-515.387,-516.5438,-516.75226,-521.06995,-524.20874,-521.8245,-512.74066,-514.8943,-521.8161,-523.86804,-520.79926,-513.517,-515.85974,-534.6504
1,63.63926,68.65056,71.8893,72.83205,66.85553,69.48111,69.530334,65.85003,64.74272,56.05136,55.9551,64.72833,71.41095,72.15816,75.57243,79.18071,79.24397,79.1948,75.21829,72.071396,94.938416,91.52129,72.638565,74.0587,78.99036,77.747284,72.22081,68.614044,67.28296,63.282833,68.63818,69.07172,144.90437,162.81378,175.44308,170.29324,145.27481,144.43304,146.56807,138.63847,127.561554,119.660934,110.46012,98.407196,101.81703,100.67731,92.76372,83.59767,79.36205,82.22122,90.28597,96.17066,102.84337,92.55647,71.73834,61.730843,65.157135,67.85795,61.218822,76.171326,100.2776,128.2673,149.80592,162.34944,171.44008,175.04486,182.58923,194.16904,197.14362,192.12207,180.52255,117.47114,41.636948,10.225463,3.1761026,-0.319555,36.75779,126.65613,187.37933,189.02432,175.18234,154.98276,122.624695,98.995605,74.89468,63.48568,70.91839,81.15786,82.74859,38.420418,-36.838524,-68.8304,-71.97157,-60.14995,-55.64303,-64.94383,-72.015495,-72.06354,-18.69184,32.98725,58.308456,69.10888,76.84039,78.85672,74.77578,78.66088,81.81702,85.241104,83.580956,81.32571,81.979645,102.45621,99.72174,81.042404,83.9902,78.190704,74.37302,70.71844,72.137314,72.13061,70.789795,73.418495,71.119415,66.59796,64.26413,67.57695,71.81248,71.71896,72.83771,68.73778,70.78084,76.19917,73.19812,66.29808
2,34.66739,33.856037,36.050194,34.299866,21.142315,20.039862,30.830486,28.873566,26.967308,28.332737,27.826672,24.706217,24.257988,26.448854,29.99739,28.654142,30.810448,32.85047,32.427025,28.55091,42.95186,36.219788,19.772238,22.114145,27.89807,28.949442,30.199554,31.01446,29.902466,26.91605,30.924076,35.27585,61.73613,67.43226,70.009544,57.47988,49.76087,42.672447,11.691668,-23.570694,-45.551743,-63.890266,-68.70124,-72.265396,-71.52173,-69.45061,-65.46596,-52.15258,-34.58153,-15.121681,1.5297443,6.7639637,5.545564,4.0261154,-8.013672,-19.6881,-23.797684,-28.107595,-30.52424,-39.384384,-39.973778,-39.869766,-36.00591,-24.26334,-19.368338,-21.428392,-25.539154,-17.547058,0.34128416,5.4206038,2.4326727,-15.733024,-45.643715,-56.117523,-56.008812,-61.631813,-46.85925,-8.621841,9.798479,-1.7714499,-6.0941477,1.2952421,12.165632,15.619887,19.625723,34.952145,51.16356,68.53275,59.097664,42.31848,51.08172,47.695488,46.157486,48.808533,41.686317,34.491634,32.686817,29.50061,54.296288,34.681423,-1.1009402,-6.327675,7.317381,26.086569,41.80335,49.45566,58.28339,63.380013,64.39687,62.452255,63.688,71.08865,67.527626,52.26832,51.025158,44.105186,41.39122,36.89363,35.652756,36.214058,34.227173,36.689552,33.575844,30.307804,31.500824,35.24943,32.770195,29.197025,35.646492,32.78588,33.671085,35.134968,30.856663,32.553432
3,21.87511,22.334038,27.561562,27.392656,17.155933,20.394882,27.401337,25.667183,27.737736,29.65635,32.360214,31.195358,30.643192,26.154083,21.083626,19.636139,24.592592,28.10181,27.573912,24.859104,43.30698,50.173256,41.123558,32.497295,18.934355,15.275482,16.706314,16.007723,18.617336,18.221212,26.425392,25.303356,-8.184887,-8.190422,25.811247,46.243267,48.459236,32.189156,7.868373,0.9291798,3.6110406,2.4498718,1.3795362,2.614723,2.0203185,2.8501244,11.5583315,31.79504,52.0781,55.348705,51.085953,48.698883,53.34882,60.899696,68.15868,68.67112,66.90921,64.20693,63.776752,61.361412,58.191307,37.587776,26.828606,27.0791,30.547304,31.78044,31.07697,28.24562,28.730732,31.806324,32.685417,58.665634,62.513554,59.16203,56.95703,54.067574,59.611504,52.16699,21.842361,19.690239,42.90503,70.21669,96.97424,108.40675,111.2419,108.004,97.29915,68.508095,47.15434,28.123848,26.500183,25.833353,34.079178,45.743645,46.73345,41.06788,41.19638,49.19586,78.358154,88.79715,96.17816,91.772675,90.913795,95.0786,107.95537,114.100006,109.15312,107.45726,99.55139,86.966675,77.823135,71.327515,71.19233,63.967915,49.839157,40.890785,35.743347,26.82877,23.290268,25.758062,24.931414,27.099447,26.967663,26.484058,24.01509,28.617294,19.504772,10.505468,23.10114,21.866684,18.087433,18.397053,18.124304,19.701736
4,16.136961,12.468119,15.868946,16.425964,14.109894,14.915104,15.217094,13.863898,10.617691,4.537717,7.9810753,14.882143,12.632696,6.831228,4.3935585,6.2523775,12.864374,11.953051,13.620079,15.025725,8.903505,6.118757,4.102087,8.137943,11.874065,10.667994,9.5514,7.264366,9.957639,11.211584,7.005805,9.429474,-40.58834,-38.721794,-29.494574,-30.700096,-38.27587,-54.017807,-73.05765,-81.489395,-84.44554,-81.304955,-76.09681,-64.89958,-49.75698,-37.479507,-27.349995,-11.925569,11.407166,26.571487,29.678288,29.158468,35.55487,31.23266,29.18445,24.405771,28.331587,26.791763,19.470814,22.278885,30.958977,19.198853,-2.4828324,-14.594152,-16.645803,-22.190344,-28.425777,-27.331161,-20.632254,-0.17334461,13.180328,17.924269,21.3559,12.036691,6.588482,10.203152,12.991291,-0.76168156,2.7267992,18.679512,28.536129,28.673204,20.560423,16.490261,15.985983,11.698048,8.427384,16.64389,26.681747,-5.949567,-22.65647,-35.469696,-42.13642,-48.54066,-50.746746,-46.271515,-42.530636,-44.543427,-20.454603,-9.209797,-0.9077134,0.4865106,0.5279922,-2.9067278,-2.1528537,7.617896,15.875067,15.887417,19.150173,22.671543,25.217077,18.338593,16.607895,18.513847,21.517372,26.012987,19.64396,15.601322,16.03723,16.288214,13.962194,17.222645,20.32108,18.757317,15.911072,15.081204,11.449453,9.212709,18.155094,15.471763,12.285603,13.500359,13.085791,14.380781
5,19.108948,12.982283,12.517963,15.777972,17.253235,17.536354,15.722765,17.622013,18.159946,17.131905,15.319939,9.97436,7.5407815,4.229894,2.8550014,5.60784,6.407153,4.4283037,9.193186,14.170576,7.4380016,9.229201,8.317163,6.432723,10.946037,13.539043,11.8028,9.909504,13.620142,13.9571085,10.362726,13.2227745,-20.719833,-19.843258,-30.671795,-40.05799,-41.935364,-40.57434,-39.593727,-24.272171,-4.2873335,10.541105,13.793004,14.669313,4.6625214,-6.9500675,-18.299355,-22.132133,-16.313005,-10.987338,-4.6729703,-2.1283288,-3.944204,2.1053975,5.2055397,13.527994,18.306164,23.370342,25.89243,23.853703,22.788652,18.506264,10.947552,3.9290826,-4.0047555,-7.5534506,-8.881733,-7.1145406,-7.354111,-4.626318,9.184725,34.76958,49.59938,51.965027,53.84777,58.772293,61.291138,41.6028,21.159187,7.8469768,-7.9380665,-14.500481,-16.825127,-9.618647,3.0749812,19.600199,26.13239,39.17474,35.380466,21.375511,21.13914,25.738289,26.39429,18.328934,18.658733,28.982012,31.465836,24.850609,38.54374,31.080883,16.023308,5.2766604,6.613716,13.135867,11.913839,11.800755,21.038136,24.32481,26.466003,28.222248,26.649586,24.73363,24.378452,29.791908,24.967836,26.285492,19.705269,16.79816,16.372154,14.634363,13.466959,15.01746,16.729925,15.958357,13.634689,13.252611,15.218288,19.554235,20.82722,16.763874,16.155598,14.911806,15.783234,19.707535
6,16.039719,10.748438,8.467914,11.815121,12.191973,13.514763,11.816379,13.571611,15.984886,15.590261,10.928793,10.430082,11.42901,11.688452,3.305564,6.9308004,8.252689,9.704418,10.092041,15.740438,3.4802375,0.6159371,6.9012394,6.4938917,5.4633102,9.454458,12.363798,17.134283,13.648842,12.717451,16.477844,18.423054,-9.614006,-7.878034,-11.162027,-22.361645,-19.848843,-18.272427,-4.201153,5.312703,6.8201003,4.4856253,-1.846434,-8.743532,-21.02423,-30.88695,-41.385094,-48.91277,-44.938877,-39.349476,-28.107525,-18.577286,-25.51553,-31.21003,-25.677162,-20.456457,-24.992214,-21.18468,-28.441936,-32.733116,-35.645947,-24.415016,-15.283373,-6.5227737,3.5980947,6.788126,8.0073,11.577505,12.613825,2.183743,0.9241064,-17.02428,-10.929272,-10.626802,-10.386562,-6.416086,-6.054002,-7.1496773,3.1550872,-7.8038807,-25.136345,-24.315277,-10.876852,1.5905187,10.629124,15.771915,13.760567,10.117874,15.59539,15.521126,3.650272,-6.9323697,-6.2575717,-10.775303,-14.361467,-7.212183,-4.3012295,-10.560415,-7.427115,-9.220671,-0.4205215,1.9640431,-2.5893168,-0.023065627,4.3028846,1.3702095,4.4549704,13.493365,16.20659,17.878403,12.592464,11.715179,13.344009,24.663471,21.432964,22.027832,16.243996,12.514492,11.149536,14.49028,13.871452,17.363073,16.784079,12.935518,16.935982,17.145287,18.798857,19.693611,17.997288,19.10847,15.716192,14.738813,14.272512,15.875118
7,11.571745,10.526345,8.882828,10.557198,7.2101145,2.3233633,6.7701683,13.051899,11.937835,10.508791,12.667348,13.937486,13.560931,12.418946,4.528738,7.9071894,11.341273,12.988312,9.392922,9.905615,1.3565617,-4.4755034,-1.0696166,4.2091346,4.724496,6.385523,9.787445,15.52874,16.72463,14.2679615,14.982416,13.76261,-4.7238054,-4.788824,-10.118412,0.02721703,2.6514068,14.792998,26.65212,27.057255,23.46442,20.040129,14.261094,12.518534,10.889061,10.265949,8.824654,16.022272,30.193092,39.287163,45.192398,43.519615,27.852724,15.974644,15.259011,18.618212,15.158422,12.526318,9.718382,1.770349,-6.9880075,-0.18246108,2.1886518,4.487342,1.7259583,-0.66908944,-2.0405293,-3.7166333,-5.274189,-16.236301,-18.988613,-5.674361,3.610791,-1.8819916,-3.4559526,4.198847,1.868547,-4.0861697,-16.518673,-29.153933,-27.57568,-17.582123,-9.894243,1.4788437,4.6447177,9.032212,12.958246,15.427142,19.34793,19.036482,23.655048,18.431713,13.179556,12.121477,10.345774,13.811308,19.461832,18.813366,18.878403,16.554691,14.235567,12.738363,14.776337,14.705005,17.103743,12.010507,12.8918915,12.120176,9.598637,15.079671,19.487827,4.0335817,0.90818346,13.069763,14.335717,14.286747,14.710001,12.716621,10.758715,16.110775,15.5858,16.750046,16.987835,19.07779,17.724882,17.419115,22.476387,17.79528,16.296349,18.56825,15.251654,13.542744,10.274452,8.793735
8,11.77859,9.964152,9.473787,8.410346,6.857128,4.290947,8.363497,12.446331,13.096724,17.130724,13.868097,10.909216,9.836534,8.272786,9.961189,11.653646,6.8080854,8.099455,10.203247,8.7814045,3.073215,6.2261086,13.48749,7.877612,3.3489852,1.191124,3.7476487,9.120091,11.185197,11.078995,10.5421095,6.280887,3.2315278,6.386885,-6.0784016,-26.035984,-32.674873,-28.439384,-27.450823,-28.376402,-26.346617,-21.77783,-16.419125,-12.366011,-11.653114,-12.938362,-13.902376,-16.831741,-25.740238,-27.247059,-26.339155,-22.255844,-16.690002,-8.358316,-1.9165747,1.3126643,4.466612,9.228377,9.580263,6.358178,-1.3371667,-17.556034,-31.573168,-43.07853,-47.441193,-47.517853,-45.759377,-43.604,-36.67357,-28.174725,-16.91695,-1.9393824,7.3911786,5.1006894,-1.0619609,-1.6835082,-12.5510025,-24.658478,-23.179054,-17.745497,-8.639612,-7.071006,-12.823925,-12.408365,-8.17848,-3.8067887,-7.7839084,-9.857014,2.884783,4.1950383,-5.356984,-10.775846,-13.8628845,-15.290596,-16.028685,-14.245274,-8.888768,-7.256134,-11.602557,-12.539785,-16.574831,-22.273792,-29.171398,-27.64561,-24.181993,-16.555779,-14.245127,-14.8901615,-15.170879,-10.229968,-10.892569,-9.39672,-12.944418,-4.4439316,3.3025355,6.577344,7.445804,7.0145755,6.475149,11.959803,12.6094475,12.345616,15.513927,17.452948,12.961666,14.422818,11.427078,8.988635,9.289674,14.248295,11.297501,8.767023,4.8512683,4.4734735
9,8.124216,9.630661,9.643003,6.9879947,5.3138113,4.816447,10.332373,7.667385,4.868817,7.907397,6.001894,8.610212,10.872413,12.762915,13.239774,11.2729645,9.166861,8.334155,9.977556,8.48789,-0.22136275,0.00038984418,9.095083,8.103743,4.284134,4.8987365,7.379401,6.1000967,4.9972897,10.390043,15.346945,14.299339,0.0064336658,-3.1972857,2.9769168,16.850271,20.733479,22.60989,16.39886,7.0608454,3.83993,5.1978416,4.339444,6.9648128,13.458923,19.814758,18.427921,10.660189,-7.9266453,-17.227259,-15.772421,-13.751422,-18.22509,-17.573002,-9.419917,-9.31978,-12.701681,-12.149994,-12.903003,-7.084551,1.5518742,0.5882437,-3.4175909,-2.9704137,-2.7888908,-5.975561,-8.835998,-9.577947,-15.181334,-5.261323,2.0282521,-0.77465975,3.839284,6.4429693,2.8336747,2.4624898,-6.9164715,-20.318184,-12.994591,-1.2236474,6.55681,6.082367,2.7899165,-0.8204664,0.8713301,2.4896712,0.57737267,1.347069,7.9761114,6.983334,5.495427,-3.505039,-2.7857933,-2.9845772,-5.713089,-1.6061492,1.9973863,-0.3683222,-11.872905,-10.723068,0.70209116,8.162159,11.726591,12.387078,6.3112125,0.669201,3.439853,5.046104,5.5342903,5.0316677,6.827831,0.74970764,3.501906,5.650452,5.7784214,5.359268,9.74265,6.3301673,3.0648775,9.7450695,13.064589,6.8303556,6.01125,5.964932,7.4396563,9.49272,4.021617,2.6408122,4.32522,11.600079,9.752282,6.9810677,7.1061783,7.786011
