,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
0,-424.67535,-455.85556,-508.31177,-515.7209,-518.5104,-516.86,-516.2523,-513.81647,-508.21738,-504.89185,-509.49942,-513.2092,-512.5237,-513.0592,-515.1704,-513.1551,-513.74835,-518.5874,-520.15076,-518.1119,-518.973,-524.4355,-518.7446,-511.48618,-513.995,-518.6496,-516.6536,-519.48553,-525.89105,-524.81616,-516.0276,-508.52655,-516.90906,-387.72913,-302.55396,-294.18958,-304.64676,-291.95865,-242.76796,-173.51546,-121.73602,-98.440384,-96.42878,-114.745865,-132.45238,-159.61064,-206.28844,-273.0312,-331.0089,-350.99292,-368.78708,-376.94858,-379.6257,-416.25638,-485.2105,-316.99252,-153.9996,-105.8754,-127.08656,-163.5625,-180.90291,-190.12376,-194.496,-192.55095,-200.00981,-207.14905,-216.02103,-230.72392,-247.60399,-264.8636,-290.05487,-315.16553,-339.65143,-353.24615,-367.2527,-377.631,-386.4531,-401.6129,-415.13562,-428.2714,-434.09537,-435.90875,-436.72604,-441.22202,-437.37875,-439.63544,-449.01038,-444.66788,-442.76624,-437.4056,-435.2136,-437.02582,-443.20065,-445.8078,-446.26416,-457.01105,-466.10342,-464.22754,-463.63306,-464.57864,-466.76816,-465.6256,-464.1278,-414.69894,-345.80792
1,105.34024,92.65211,77.89296,75.20253,73.69702,74.90547,74.66626,74.673134,78.75222,79.848785,78.02316,75.90724,75.95862,76.95884,76.080956,74.77907,72.0045,70.86986,70.087715,72.85185,70.126205,63.720093,67.11248,72.352745,73.453476,70.417755,72.66738,68.52672,61.478523,63.359955,70.71925,77.27594,70.04357,147.32788,149.31796,161.8885,171.5422,165.113,163.71538,172.77304,170.4903,151.25946,142.03612,128.97926,117.12279,110.66205,114.34595,127.38586,139.22704,143.3742,141.05713,148.28928,151.19107,135.59299,100.03056,96.334625,128.09009,136.9104,126.564766,106.11797,107.07615,108.90429,109.18324,112.889435,118.313995,123.1669,126.26263,126.8495,124.84114,129.77965,125.81353,128.11649,130.409,131.61858,131.42316,128.59828,127.99719,122.3643,120.02115,116.408966,111.13173,110.87481,121.04074,142.45181,158.45021,158.051,154.19397,158.72083,159.29045,166.51013,169.80795,169.5567,162.46136,158.49881,160.84308,151.18744,138.42978,137.4137,133.70345,137.29102,137.24368,136.6561,138.62158,140.30704,122.49658
2,12.744617,23.122623,31.107254,35.79064,35.95214,36.43107,38.16079,35.029106,33.15596,29.76115,29.004555,33.20493,32.974243,33.407036,32.464336,28.731194,30.912197,37.801468,35.43934,37.09356,36.31388,30.007162,29.784008,34.99462,39.76192,36.927216,32.915043,30.744648,31.267113,34.778156,38.183838,42.65371,38.34071,87.45894,100.42824,104.671036,77.71416,62.956627,35.059937,-2.879589,-28.461666,-46.379616,-52.547142,-47.77519,-37.874165,-23.861357,-2.422698,12.932134,12.834876,11.287189,18.018707,26.950264,33.266647,38.708893,49.46315,6.7700424,1.3798237,-14.248739,-28.732044,-34.253544,-27.387966,-22.25108,-13.044609,-7.944387,-6.1935654,-1.3717681,3.9964194,7.533147,5.706485,4.3942146,3.6423483,2.3515773,0.01763922,0.97300947,5.9315977,8.589779,12.124547,18.535133,31.143593,37.576653,37.330544,34.144432,42.080284,62.539253,73.89623,77.371124,83.73451,86.6858,88.69909,91.06764,89.84116,91.25598,90.410255,90.95408,91.738045,92.6511,84.45615,76.26158,75.08943,82.038826,86.37342,85.90637,87.13542,65.68043,41.045773
3,24.393042,30.760832,22.610306,23.143072,21.380318,23.705467,23.280088,18.9837,22.257547,18.671837,20.751694,21.472317,19.117012,16.926214,18.361935,17.360886,18.612427,22.481657,18.7196,20.99982,22.327358,24.735373,23.405441,21.766354,22.401289,21.730297,18.542221,20.058044,24.289751,28.410267,34.304924,39.731125,33.221123,4.412589,-1.5696487,17.538061,45.805267,52.582535,36.235962,5.8924365,-8.78606,-13.449453,-12.832533,-2.0722938,9.529524,19.921288,36.738846,48.03341,56.35671,60.565063,62.512344,56.851654,60.63028,62.37065,45.35868,40.35038,46.16668,40.41153,28.951471,24.938517,26.06607,25.255075,22.406776,18.79961,17.512249,19.467567,17.9757,19.01675,24.780842,30.845425,37.74267,45.428074,58.535606,65.115486,66.585205,62.35739,62.508377,65.05859,65.55644,66.382324,72.34751,70.92889,71.115555,60.695232,42.77693,42.04669,46.35174,44.06974,44.701275,43.491425,45.93019,47.902485,49.663242,54.08219,52.471123,55.183487,54.262894,47.502605,46.369926,51.19262,53.521446,52.875484,52.468605,48.141678,33.64848
4,4.0138044,10.893114,16.863394,14.608436,8.538683,11.379227,13.11236,13.645144,21.14159,20.893177,16.413815,13.370121,13.057791,9.579212,12.0444565,16.049105,13.718981,16.445381,11.932493,9.520912,11.574207,16.754978,17.312782,11.537572,12.422567,15.365988,14.409013,13.105289,11.603259,15.999273,22.287043,25.550997,18.655975,-28.370096,-30.254063,-21.89573,-17.426243,-34.227238,-48.415943,-63.28225,-63.816223,-52.28788,-42.51438,-30.711376,-18.660118,-8.889465,1.1148629,24.263151,56.030273,56.32439,54.744816,48.87093,42.633133,41.290283,31.958717,-16.291754,-2.612844,3.7420483,2.003534,-12.908407,-27.392324,-32.716812,-35.855526,-38.218334,-44.871807,-45.11509,-42.368164,-36.472782,-25.443993,-14.005684,2.0688941,22.38983,35.814247,40.658356,42.30584,43.036823,42.75997,41.468773,39.573997,44.16496,50.286568,48.206192,50.723328,40.72937,25.375282,22.661587,23.338943,21.902802,22.34416,23.870834,23.878265,21.240715,25.506561,24.281967,23.785004,29.35957,27.696918,26.835194,25.515121,28.377457,34.26988,34.024117,35.30108,35.541924,26.343803
5,6.3147635,9.66505,11.566662,9.282732,6.482942,10.124243,15.384443,16.338913,17.913435,18.601345,14.032872,14.366618,15.363085,11.22777,10.059509,12.811844,11.459549,15.803455,16.349073,14.874092,13.828758,12.235853,14.480461,12.483459,15.33378,16.742327,14.053177,10.442654,13.437962,16.60115,12.528631,14.672537,15.733057,-24.995712,-24.35343,-26.07156,-25.578907,-28.813047,-37.038757,-29.077608,-18.310616,-5.044889,1.5131843,7.6032405,8.08264,6.0762568,13.878757,17.247496,10.260135,2.87716,0.9332111,-3.2620955,-2.3070734,1.2044729,14.105141,9.585482,14.271981,10.638275,6.4465604,8.345829,12.49851,13.929658,14.667143,15.734783,12.236872,14.573145,20.50476,26.60685,23.67001,17.655313,3.6962423,-3.9247594,-5.176539,-2.18976,2.8415463,2.443298,3.21378,5.4185195,10.70635,12.626675,13.377173,8.836391,0.39856583,0.5515629,12.652889,17.278202,14.778959,14.466286,14.938937,15.978883,11.887424,9.412058,12.663531,12.621519,15.952445,22.228886,20.730011,24.363022,30.058792,24.940073,21.818268,22.83171,22.950058,22.835503,17.061314
6,0.5409277,7.7457104,11.920643,3.2990968,5.9356,9.679066,9.602509,9.27228,8.688693,9.0702305,5.587081,12.651196,13.272782,8.68205,7.471709,5.7888174,10.24683,12.313965,12.152924,11.446563,11.696781,10.946793,14.195401,12.529055,11.8632145,14.939924,13.026348,13.137974,12.687383,11.685797,12.892706,13.586523,17.307514,-13.608656,-14.249184,-11.516302,-15.166855,-19.012934,-22.177876,-3.4588227,1.7924229,-1.6773494,-14.459589,-23.734182,-31.310184,-35.472374,-35.927708,-31.644962,-6.033409,11.744656,17.1227,14.498387,10.369376,6.775651,13.675264,-13.752638,-28.344326,-28.738373,-30.717081,-22.88173,-17.705864,-12.089607,-8.332723,-5.8026376,-9.624086,-10.528575,-9.1618185,-8.776293,-9.563847,-10.5400915,-8.060919,-2.9779139,-1.1312995,-4.651254,-2.7688057,-3.2301552,0.5906642,0.26208025,2.09403,3.8076477,6.919204,11.428327,5.164631,3.1825502,9.03117,9.297905,10.818407,9.341103,8.474822,12.113609,10.687082,7.276574,9.28889,11.749664,12.427298,12.36454,11.698992,16.217295,23.087461,19.25671,11.919777,11.793464,9.917791,14.693379,13.948131
7,7.3982506,10.192209,13.3317585,5.345333,5.633506,8.278457,4.90375,5.094557,4.445387,4.110111,6.5815587,9.27051,5.9720674,6.2702065,8.024105,10.366484,11.216603,12.269997,12.999614,7.517437,9.545936,16.57375,14.1063385,15.964293,12.737673,14.61753,14.362204,13.929792,11.60227,12.963297,19.848488,22.592266,18.369572,-14.644817,-14.700207,-13.649694,-5.111568,-0.041554987,10.266855,13.75836,9.18015,5.8036175,3.7360597,3.0445206,2.548594,1.2181665,6.0111713,24.254292,37.358257,25.951649,14.894056,12.230114,8.959777,11.334753,22.06186,25.710155,6.345515,2.6640697,3.0065556,6.6035194,10.863441,13.894718,17.94968,16.774084,11.370861,12.375105,15.716347,16.835175,25.081097,31.265461,33.221535,31.97739,28.083641,25.047539,27.604143,26.089855,25.28975,23.63653,25.785221,25.820042,25.18037,27.475338,25.283943,18.155064,10.496364,7.158242,6.157361,4.4314647,5.11701,6.3805532,5.663735,2.7368226,8.0742445,7.898776,6.5966005,8.133817,8.366201,10.854763,14.118845,10.467981,7.0884104,5.089159,2.9929912,9.119497,7.584041
8,3.727424,6.706541,12.358229,10.57601,7.353368,6.0501575,6.5143948,5.9280634,5.143833,6.527092,9.801868,2.97368,-0.7826821,3.9444056,7.5843487,9.1487875,8.618137,9.00543,7.9464564,4.676968,7.6740475,15.608434,13.345266,11.874933,9.556725,13.313938,16.425472,12.323952,10.070512,11.911751,14.846115,20.407211,19.90366,-1.6866449,-4.3263946,-5.731298,-19.232285,-26.476051,-18.822992,-29.219292,-33.389,-30.764915,-28.167477,-20.051664,-15.363085,-13.320953,-12.617503,-20.064934,-19.590382,-14.305317,-17.174217,-16.025406,-14.444927,-10.015856,7.915483,19.78675,-3.07416,-18.100235,-37.69127,-50.392494,-52.23961,-51.87995,-48.320534,-45.920116,-47.474113,-43.481586,-38.533894,-33.944485,-33.84173,-31.365398,-27.060844,-19.175413,-13.978787,-10.775234,-7.8539987,-8.554357,-7.1352863,-3.5100303,-3.3556747,-1.2696632,3.2701592,2.394546,3.0458598,2.271517,-1.5704463,-1.3427219,1.2246671,2.0284712,1.9689288,2.7736118,4.68958,3.7646136,5.021023,2.2845027,3.1402073,6.824873,4.684514,4.664295,4.2890334,1.2291031,-0.7795584,-1.0998125,-5.0287743,1.3043721,2.974285
9,3.8137298,1.154297,12.332247,15.3826685,14.160259,8.80052,5.126958,5.4683905,6.6689396,9.496902,10.267016,5.4116488,3.551493,6.5288763,7.1277103,10.024847,11.440151,8.970121,9.111313,7.293623,7.497326,15.425241,10.246665,5.10841,10.06386,10.408812,8.567845,8.531208,8.51306,10.973752,17.429153,20.157974,20.382072,-6.775809,-5.941278,1.97894,10.91378,10.216969,6.2609158,0.43897986,1.6817968,8.094745,16.787968,20.524788,14.14175,5.807724,-3.4147184,-3.838062,-1.4903692,-1.0881091,0.9478963,3.9640322,1.1958237,-3.1631663,3.8623247,7.900904,7.6457753,11.42325,10.921932,11.080099,7.79428,1.6537789,-2.1789541,-7.821323,-14.87455,-19.248743,-24.166473,-28.35101,-34.97277,-39.96743,-37.51051,-26.556892,-18.543003,-13.986192,-12.548603,-12.870987,-9.3190365,-7.674823,-11.938644,-8.590076,-2.1417572,-0.13211393,0.7415717,-0.3830702,-1.8807734,-1.62433,0.4465828,1.6027114,2.4151685,4.32234,8.110836,9.105697,4.475678,-2.171775,-2.0658371,4.013567,6.429553,5.70788,1.7249936,0.41134787,0.96918774,-0.16177513,1.082031,2.692493,1.8398782
