,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113
0,-480.03177,-495.27383,-515.4131,-510.61768,-511.4272,-515.96704,-511.15265,-503.33627,-515.05505,-518.5387,-524.0837,-527.2047,-519.66626,-521.2542,-522.7801,-523.75635,-526.30536,-523.93463,-522.4334,-519.5571,-521.2068,-478.38266,-401.5402,-406.644,-483.9224,-522.54895,-526.79504,-522.58466,-508.35184,-515.1263,-517.98883,-297.00253,-187.84407,-181.42664,-208.68501,-218.44508,-174.07271,-103.17919,-68.66154,-63.30209,-57.677765,-68.19084,-81.86282,-93.830444,-108.49922,-119.57611,-149.39049,-188.37692,-231.11282,-308.84348,-257.74802,-185.54726,-188.85873,-244.59589,-268.47037,-264.37357,-269.26816,-272.31488,-278.09885,-305.69318,-317.45953,-314.94995,-319.32043,-337.00497,-360.27228,-376.43152,-368.60934,-393.21063,-305.8572,-206.45468,-186.16148,-192.15898,-201.27202,-236.3207,-271.62018,-248.91367,-217.45575,-197.43706,-171.5016,-150.96225,-151.93178,-153.28633,-164.30342,-177.35309,-190.67041,-204.59506,-215.24332,-225.037,-232.79303,-241.3516,-236.11333,-240.08934,-246.19284,-256.95276,-275.48138,-301.42764,-338.59995,-373.54062,-408.01736,-416.6993,-405.6918,-437.8275,-499.4569,-513.5145,-516.0724,-497.6105,-472.70575,-466.3787,-467.82727,-462.77036,-455.98633,-456.93442,-423.16412,-351.77335
1,103.092545,81.669685,68.1201,71.982376,70.10712,64.00826,57.83721,60.80869,69.32622,70.39412,67.10812,64.434525,69.65004,66.98451,62.64174,67.11354,65.48629,68.37982,66.60019,63.503162,60.1262,36.78949,-10.114054,-8.543407,42.824955,65.0535,64.81252,67.87567,69.04437,66.474976,69.22768,96.94508,84.145065,72.93063,66.81768,66.010056,116.38952,133.34464,122.8363,107.1288,97.223526,79.730934,77.238556,83.03838,79.30814,76.10013,60.409855,50.32864,57.90894,77.1122,94.07591,98.726204,110.78269,118.98754,159.79755,175.08551,165.63304,157.54349,160.56552,156.0062,145.34482,150.75647,145.27191,128.35562,132.85037,139.36356,152.29327,146.20361,72.27304,40.58657,18.373842,4.6012125,1.4026377,-2.1883605,40.3944,101.04431,114.770744,127.528015,146.748,161.28256,171.78055,180.26468,184.13715,186.02145,184.17886,185.53166,186.28094,189.48843,190.035,185.01025,174.16835,171.42139,174.15222,171.25476,169.03201,171.97633,168.47325,162.90756,154.85687,148.75748,131.57053,107.80623,91.088455,78.72841,77.59419,100.217545,119.64061,126.24344,131.00755,141.24207,150.31042,154.83722,138.49194,114.62794
2,22.111343,25.666515,25.84544,27.720247,24.441936,21.699024,12.401201,17.115725,25.193317,26.825554,28.657936,29.239576,34.755886,33.449318,25.506264,24.766434,24.93631,25.236135,25.33094,24.62442,22.6497,5.626949,-13.594506,-12.648964,15.768352,29.501602,27.8143,28.0878,30.995295,30.56522,31.473602,25.749405,14.012725,-8.004457,-45.04203,-62.812263,-48.212357,-55.40897,-73.428345,-85.89467,-82.254105,-73.23133,-56.663086,-48.434906,-32.751102,-26.411509,-19.585775,-10.338093,2.4746196,13.172977,30.777496,38.46202,25.899092,15.105161,57.147972,74.222725,49.78171,14.484594,0.2159608,-8.477367,-19.111237,-24.020187,-23.50183,-17.328495,-5.4560204,6.810381,14.293093,26.000154,24.291119,20.627956,19.976704,12.095857,5.3547287,-3.95792,18.532131,18.660007,2.301621,-15.619367,-29.045465,-45.281773,-56.479954,-53.16241,-48.72879,-34.52574,-17.460365,-5.2680655,6.6198354,9.961437,11.991925,17.189602,18.184368,24.288105,31.227966,32.918686,36.77944,45.708176,57.190742,72.10896,81.35127,65.98406,40.87502,33.308434,43.812454,39.351196,42.30651,56.05799,63.745354,72.95598,78.66739,84.88872,93.186325,95.36243,65.31231,35.862137
3,26.507889,23.87849,24.288792,24.745153,21.996876,20.678898,25.336576,27.721096,18.71511,19.589611,22.230259,23.927467,24.733555,28.74305,24.340488,17.304127,17.79229,17.28159,16.881168,20.008953,19.887144,38.970406,61.000935,60.53488,42.86176,19.432976,19.7705,19.755623,17.144672,18.110329,20.528708,24.089085,25.041569,29.263893,35.693375,29.873463,19.787603,6.915974,-1.544416,-6.7184854,-3.0800705,6.9524937,22.244,31.608791,51.841927,67.31032,80.63925,90.42749,89.53407,65.134476,-31.550522,-30.49744,-15.20673,5.6916647,28.819653,34.121254,35.641754,43.328987,48.745026,59.406242,61.4497,54.77166,47.057457,51.426575,56.393345,62.35678,60.760197,60.54227,45.368156,47.61728,61.10609,66.14528,64.84932,65.93208,92.019455,94.46146,83.81569,66.3808,40.894375,17.742117,0.5722251,-6.7511315,0.21385893,5.6219873,9.374065,10.148546,15.474318,17.346437,15.445299,18.232887,31.214123,38.15298,39.93923,46.29358,53.684967,56.01955,58.810097,58.308403,54.09303,61.367416,80.668106,75.54556,37.61293,27.786976,30.360632,37.717026,33.647736,33.219296,41.1937,52.293747,54.08157,54.854042,47.802216,30.4295
4,16.738441,15.892961,15.261948,13.907758,15.91548,11.727737,21.103445,20.595135,12.6388855,13.781765,17.51598,14.571754,14.00057,19.645535,20.883984,15.671912,15.354721,15.5615635,14.593992,8.048227,8.732126,15.786053,27.497765,24.580713,10.224709,13.606536,15.641668,15.54097,13.278795,12.512903,12.988419,-23.168972,-22.820265,-14.933446,-10.432874,-10.784032,-26.016003,-36.413055,-37.754234,-40.93567,-36.60678,-29.429617,-23.308098,-18.774982,-10.941257,-11.391944,-10.235235,1.9539974,9.613625,12.631264,-30.254108,-44.818604,-47.61314,-46.217632,-51.057045,-47.9914,-31.190723,-2.0250041,14.564845,29.582287,30.198631,25.343624,22.744408,28.404263,40.573303,51.655617,45.6904,39.528137,-27.919384,-33.77749,-24.636652,-22.17233,-28.175213,-31.641693,-16.918324,4.593935,10.692565,4.1483517,1.9808123,-4.4979877,-15.531599,-32.08257,-53.410156,-72.42732,-88.06185,-95.75382,-99.57579,-101.40819,-99.715324,-97.12572,-97.99104,-98.64165,-94.453735,-90.15352,-75.46074,-61.90657,-44.504578,-28.509163,-17.518473,3.042922,18.989115,25.647038,22.81277,17.910398,16.985315,20.94476,21.382044,22.44529,27.50489,27.036783,27.030685,27.83287,33.20981,25.048473
5,10.8651905,11.226282,12.330175,11.487944,14.2401085,12.428049,13.159263,14.231703,12.00318,14.451853,17.7679,14.752287,15.391511,19.316673,20.350636,15.576513,16.465658,18.147848,18.59518,10.239784,14.2702875,16.845573,20.917545,17.673542,11.610695,14.000011,16.144604,20.11385,16.064287,14.109421,15.881494,6.276441,17.370745,31.21857,43.20313,39.804924,25.586674,12.302944,1.9723414,-5.89406,-11.636959,-16.741175,-29.17976,-34.686882,-32.860935,-27.942596,-21.197968,-12.324877,-2.6340885,15.400734,44.823483,43.857872,33.38394,20.68492,-1.3435338,-30.978756,-37.815506,-31.279463,-33.049156,-30.559908,-19.590935,-18.742805,-16.320864,-8.478289,-6.4266925,-3.793931,-9.7825165,-7.758766,15.644352,11.78388,15.083069,18.891369,26.118713,28.206837,30.346146,17.202215,3.6475816,-5.996867,-16.278427,-13.5278015,-3.8694813,-0.59310246,-3.5089064,-3.7482886,-4.378924,-9.11725,-15.451258,-23.569777,-24.95956,-17.289768,-16.657562,-18.864399,-26.100574,-32.303314,-33.7604,-34.775482,-32.64122,-29.034163,-17.139826,-19.71489,-30.216244,-19.495209,13.605663,14.583015,15.17277,20.742783,30.708088,26.949965,23.296734,22.712189,19.330757,16.828972,24.010872,19.291203
6,11.4572735,12.380439,7.9128695,6.093797,10.718641,15.691849,9.284785,5.0793324,14.046164,14.381639,11.648397,8.175782,10.449209,13.239738,17.846071,15.537497,18.623478,19.073067,13.737467,10.466354,17.02425,2.1539037,-15.153015,-16.492054,2.9572742,9.9437065,11.236374,21.333069,18.090998,10.649021,9.184128,-19.415558,-19.385973,-14.783014,-4.3397083,-3.3780212,-9.576541,-14.676209,-12.127065,-13.185435,-14.32942,-21.192402,-37.108353,-41.761707,-44.058266,-45.957977,-41.134346,-33.313316,-28.885712,-18.224731,7.3563166,6.1568117,10.057559,8.891202,-9.32943,-25.233904,-32.097115,-28.766294,-29.781635,-25.797852,-19.634989,-11.889576,-1.0169843,4.7028656,1.3249068,-6.9028897,-6.3717446,1.6645832,9.779514,5.7860436,-1.6281636,-8.482031,-3.344243,3.2010734,7.826488,-12.355657,-20.326141,-27.725334,-28.930092,-23.048496,-10.765509,10.209939,30.715923,35.688725,34.94046,35.381565,37.103176,40.420258,36.91407,28.48994,21.928444,15.727825,8.058157,7.103071,4.9480033,-0.09752154,-1.7922298,-9.933448,-12.025848,-4.04203,2.921043,9.541067,17.723072,18.122272,17.497303,17.48619,21.712185,22.945923,16.53435,11.620377,11.702413,12.574289,16.020573,16.972935
7,12.915075,11.259674,8.304562,9.356666,8.981406,12.80821,23.29158,24.394695,15.776169,14.171426,14.509671,12.46137,14.375631,10.886729,14.068247,16.802845,19.432829,16.150013,11.97677,8.056935,11.24616,38.65274,47.40552,46.96596,29.884993,9.433118,8.671935,13.609087,12.396995,12.46575,12.78689,-8.907619,-14.269105,-11.362549,7.0893645,12.407597,13.28443,13.009709,11.615771,9.969649,8.640111,12.177309,7.065478,0.18007708,0.8611208,5.66333,12.543459,20.73991,25.393787,15.781347,-3.539774,-2.9688544,12.797253,23.794758,11.41106,7.42805,6.7933054,0.059221685,3.009363,7.133663,14.171017,25.580004,30.030365,24.053335,19.71858,12.791418,2.1551108,1.2417452,33.708096,31.87586,19.03963,4.097412,4.391572,6.7430906,12.617767,20.910227,21.103489,7.976653,-7.256429,-12.715262,-10.184593,-1.4968363,-0.3026409,3.64452,8.264803,7.6792545,6.9035454,4.525447,2.4747076,3.6019702,3.2165775,2.3169837,0.14364034,-3.1750712,-10.998263,-11.174421,-7.531346,-4.9423637,-5.2973523,0.87915075,14.20494,18.4601,18.555428,18.478676,21.257055,19.239288,19.936012,18.401123,12.414677,9.165391,9.865059,15.759263,11.859394,12.2979145
8,5.048156,5.9024835,9.645258,9.054058,5.2656355,5.941926,11.443462,11.220598,9.576984,8.41255,10.567055,11.550912,12.230542,7.095934,5.721733,5.7740393,8.283736,11.046761,8.865383,5.762389,6.322374,7.3208866,0.1686284,0.29990545,4.816981,6.5819445,4.588209,6.7176313,9.697683,9.835962,12.259495,10.367914,8.790216,11.503172,14.935185,11.80005,-6.135866,-12.651268,-10.895212,-7.8388963,0.11109096,6.1298146,1.8294134,-4.903591,-24.458668,-37.12961,-41.244537,-41.476112,-30.758255,-19.519474,-10.536558,-9.176525,-2.174893,7.23841,-2.777717,-21.304615,-29.411476,-38.128548,-39.02538,-36.289604,-24.595352,-12.638701,-9.576384,-12.337073,-7.969129,-8.378479,-24.577648,-28.816223,-4.855887,-7.3186235,-11.168179,-13.518946,-9.56982,-6.463732,-11.661602,-17.308208,-31.539337,-28.19249,-20.62255,-8.847005,0.96996677,-5.7069063,-10.971054,-10.173169,-9.300972,-12.209579,-11.351104,-9.19627,-5.559683,3.00799,5.5933642,4.940224,-0.4374163,-2.0449498,-2.7153268,-2.6800003,-6.7221184,-3.6108978,-3.1745384,-12.351866,-18.916681,-19.67432,2.092307,10.526387,10.696118,9.79829,8.877694,6.1434984,4.78108,5.234147,4.7518697,8.181832,8.835037,11.528038
9,4.6020985,7.1555862,9.590496,9.973802,5.8767786,5.6822743,1.3420004,-5.3099875,1.6598802,5.1066937,4.567378,7.0256147,11.208513,8.90693,6.905283,7.750676,10.988392,13.54825,6.3941474,4.222754,9.661179,-1.4558256,-7.35169,-8.027149,-6.639392,3.7669873,6.017723,5.4880533,2.0922074,3.4056594,9.804903,1.8496988,8.035145,15.9811,28.68542,25.08056,13.382549,14.402907,14.195415,11.601433,9.979026,11.551874,11.923599,10.327337,4.3361816,4.9598055,3.682971,2.2072785,-1.0688131,-9.040838,-22.375004,-21.773365,-14.876724,-3.27384,2.3700309,15.332312,15.518215,9.126762,2.0304298,-1.8923488,-0.1246047,-1.8366106,-8.554304,-11.663385,-6.0323973,-4.573619,-4.988201,-4.469038,-10.238819,-4.5092583,-0.8340061,0.730397,-1.2158277,-1.7021797,-6.7852755,0.9581191,9.373823,9.048386,13.5801115,23.84803,29.576607,26.135954,20.733992,15.560523,14.033096,17.082619,20.043869,24.705477,28.060352,28.040024,26.39037,23.84453,22.23061,24.134047,22.047768,17.771835,12.655929,7.479659,0.19258952,-4.6075215,-7.6271467,-6.827175,2.2675984,11.831805,13.271685,5.4058905,2.7989843,4.703847,0.9074649,1.7575828,3.6907673,2.6112828,6.1849766,9.228051
