,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93
0,-508.3042,-505.7127,-516.0949,-526.8575,-524.6923,-528.5993,-529.2027,-525.8143,-522.58374,-525.7054,-521.7908,-515.16034,-520.32166,-521.5067,-520.6863,-520.4412,-520.0842,-520.3357,-511.9667,-404.61017,-347.3778,-384.74466,-444.1346,-459.35373,-457.31644,-453.99854,-453.74313,-453.94434,-460.76465,-464.91208,-469.47272,-482.80844,-500.43277,-516.2162,-522.4635,-526.8537,-527.53516,-521.33777,-511.4894,-356.0431,-250.29002,-221.78853,-205.19121,-176.62627,-163.86069,-155.23285,-144.97354,-138.18869,-148.63681,-185.7567,-236.34068,-271.10056,-288.47763,-304.61908,-311.04605,-286.33255,-293.467,-320.26443,-293.73026,-285.18054,-276.6087,-260.21878,-237.30803,-232.38992,-245.84697,-256.90762,-267.90536,-277.2137,-313.53067,-355.67236,-367.40317,-374.39767,-380.68222,-393.28387,-406.852,-413.45804,-421.93283,-439.7442,-471.58817,-499.55884,-510.35025,-509.1065,-503.72617,-495.2575,-489.61887,-495.1603,-496.87292,-500.27466,-490.80762,-485.7734,-494.3562,-493.56192,-485.04633,-490.7157
1,83.770584,59.197243,59.32499,68.14673,67.00645,66.825165,66.81241,65.73032,66.79817,63.285164,64.94792,68.14042,62.122337,64.00942,66.015396,66.87163,68.02159,68.80846,67.45525,59.490234,58.13781,55.285652,75.54322,79.007545,80.654755,90.98501,94.07531,91.68171,86.13381,84.80142,88.23329,84.286255,76.170456,72.124146,68.98555,64.42624,64.626076,65.267715,61.04879,13.872786,-25.069296,-63.59269,-75.94261,-36.17003,-0.7189472,40.184937,69.136536,95.640114,109.05225,122.82669,145.3389,159.50873,147.10088,131.52177,111.70138,93.04051,73.53873,46.824917,43.188095,44.83351,38.77725,46.08,56.285835,49.787827,41.081844,43.940018,53.600697,76.86629,101.22162,110.70528,119.34447,119.483864,119.638214,112.653915,106.28267,108.52768,108.69793,108.81676,101.49133,92.033356,86.74635,86.693085,94.20883,103.53231,110.11337,102.312805,99.4379,96.23533,96.617485,101.23664,100.589005,101.73454,109.81296,105.33136
2,21.54492,32.729713,34.31239,31.798391,30.713066,29.259117,30.614868,35.570744,31.852116,27.074966,27.311508,28.222012,26.8138,29.134369,26.800835,29.465473,34.00762,31.827652,23.907116,-3.286108,-10.877569,-11.48163,-14.697332,-11.217245,-7.5569377,-6.3002615,-3.484789,-0.4139337,-5.2510014,1.1218731,7.805748,12.725511,21.627567,36.654243,33.809273,32.732544,35.24259,35.814964,31.113688,6.650799,23.542847,42.042744,47.058464,64.25685,36.566154,11.791336,0.95298344,-10.389215,-19.731514,-26.083862,-29.36038,-28.787254,-26.965382,-21.48511,-5.799283,25.493532,39.851845,54.615726,48.5309,39.221153,22.255903,18.260181,14.29887,9.526505,7.8038554,4.562618,-0.6906245,-9.252317,-8.269155,-12.959361,-9.285891,-7.5565424,-10.33339,-9.838869,-7.0491867,-1.8759146,0.0959425,16.455715,39.146046,50.70656,45.992897,43.35595,50.87284,58.203346,60.593742,56.5543,54.790825,55.233955,52.530186,52.587086,54.70534,52.720367,55.541576,50.512886
3,21.66104,27.135891,24.72852,20.591442,21.769585,20.350468,18.178776,21.115002,19.63292,19.519106,22.574633,21.385288,20.22581,23.50642,20.248173,22.287071,23.758568,24.525986,30.04507,61.99914,68.60423,61.712723,38.164948,26.981852,24.299902,20.097712,18.707811,19.166176,15.231852,16.602848,16.572834,16.07452,16.875927,20.54248,24.309078,21.402397,26.64657,26.44922,25.147186,17.407955,-1.3001187,1.3109304,12.582517,47.634357,69.590935,81.04373,81.383514,79.41449,79.10687,74.6355,64.96066,58.668457,71.78352,80.93454,89.980415,82.91814,69.16991,81.12044,89.42837,95.84888,98.61588,105.89357,108.21237,106.98648,109.317314,113.88144,106.15289,86.36855,72.51149,61.63258,59.870552,59.95166,59.353497,61.392094,63.70717,62.389767,55.29456,52.678154,53.87493,45.447857,31.891344,29.28129,35.210716,37.090904,35.811028,35.42326,37.78852,39.9178,34.923576,30.348824,32.510204,34.508835,34.372242,32.35537
4,8.570267,3.8410907,5.424249,14.357054,16.599367,13.839636,11.079327,9.807595,10.482172,13.008432,15.362747,13.435691,12.215454,12.223183,8.189463,11.324357,16.51078,17.577694,16.23267,-20.801813,-26.845215,-18.576794,12.808706,24.444948,23.827196,17.092007,12.723951,13.945154,16.943733,17.519943,17.512604,17.003918,19.227972,11.904412,17.473564,15.740919,15.851021,13.645418,15.863974,-7.6711993,-4.9028716,-7.1722975,-13.274427,-3.7472553,-3.4005296,-19.648777,-25.730747,-20.668514,-7.8902063,6.3150425,30.214493,48.287342,49.881443,45.699013,24.627201,-14.221433,-25.847595,-17.204056,-12.046167,-15.009002,-20.259693,-27.475266,-36.278282,-30.692583,-25.42073,-14.953063,-12.097626,-2.753996,18.800877,40.165375,49.493736,49.51748,48.347843,50.282352,48.013714,44.724007,45.532845,42.73532,36.06846,27.748737,21.111443,17.708694,19.6265,19.948277,18.309315,16.529743,20.906096,24.565186,19.35085,18.118793,19.076902,21.198858,14.6519375,13.669577
5,17.646286,24.937744,23.499859,18.308525,17.80474,15.139246,13.56568,12.054587,13.500425,18.608082,16.64961,12.037193,11.996337,12.895874,11.679592,12.069859,15.610097,15.749403,10.575136,0.92023236,4.1554303,3.6569822,-3.9311526,-0.43546337,8.4023075,6.3636312,3.4033508,6.650695,9.507637,9.248826,6.6997323,8.294141,13.05242,14.146098,18.579605,18.217081,14.255804,14.620007,18.603306,22.177395,9.0706215,7.265688,10.179855,17.053104,7.578369,-5.467455,-12.768942,-11.595478,-7.173977,-4.3729205,-5.4358826,-10.834938,-3.2259355,0.9447415,10.814386,25.749598,33.828762,38.558105,37.209007,27.208384,25.383183,17.817745,11.775068,13.866262,14.206868,15.449498,9.452785,5.0716925,10.374686,6.5081844,-6.929253,-9.477008,-10.49535,-6.7295866,-7.9796596,-9.004985,-3.6844783,2.8886957,8.684913,15.005419,18.942444,15.0669365,15.096793,14.476839,11.6647,10.660673,14.669344,19.214436,23.564516,22.931343,15.32167,12.041901,5.284276,7.0285788
6,7.5240455,-0.037422277,3.4471498,11.896788,10.736536,12.011297,6.505351,7.924967,14.117848,16.971478,11.036456,9.215315,9.158148,12.429889,15.915575,16.246235,18.252295,14.355621,11.470969,8.666094,1.8537638,2.636888,4.3628807,-1.7131058,2.927195,-2.4941173,-3.8943942,-3.354216,-2.6516132,-3.4260354,-0.7706256,3.396595,10.062149,9.639206,9.02371,11.813139,12.48181,12.262063,11.4244375,-4.010953,-4.173244,-2.0023086,-2.506244,-8.275626,-12.005598,-21.209808,-21.467197,-21.012714,-24.160501,-30.05394,-33.63808,-29.952538,-23.914623,-19.3121,-13.2351,-8.2761,-2.6449547,0.88876617,-3.1949265,-0.055829316,2.213356,-7.6983743,-10.158411,-6.9913087,-8.110278,-13.564632,-17.521933,-27.433887,-28.211735,-18.799139,-11.323489,-6.215498,-2.9066966,-0.2642944,0.6356877,1.3938483,-0.4124689,-1.1320834,5.724994,15.387123,19.00244,12.171188,10.0884075,6.753621,2.021881,3.604126,10.203165,11.862234,11.367829,6.733293,2.4078658,6.007841,1.5417783,5.4579453
7,11.49555,14.982342,17.972027,14.609232,13.865385,9.623825,9.081438,9.265951,9.199938,14.573259,13.3310795,13.935851,13.763147,19.361471,23.69067,18.68988,15.908661,11.921568,10.782616,-0.4373391,4.0828557,4.3191147,-0.107005715,6.1899548,8.706061,2.8127909,2.6495585,2.475407,0.82609737,2.0345788,7.3992662,7.9279246,15.499596,15.818758,12.980274,16.564121,13.35382,13.333521,19.590284,13.497958,15.830701,21.56153,22.11631,17.170557,16.94303,14.068095,11.782186,0.2496839,1.3859138,10.390472,18.638153,21.473644,22.196095,20.057419,12.346771,8.904837,7.819913,8.8451605,13.019716,18.110466,24.69777,19.311495,15.237715,18.951899,22.291878,19.799564,22.795437,21.816181,25.594711,31.659855,27.821285,30.599428,29.577103,25.961533,26.55642,20.670067,18.499882,17.647253,15.164719,18.235897,18.82,14.5871935,10.849466,5.192775,-0.7083551,2.5405805,13.644324,13.461779,5.120825,5.089396,6.20031,7.394691,4.8655806,4.2308207
8,8.452387,6.4717283,9.630969,13.094762,11.073387,7.9041624,11.114221,10.764753,5.587386,8.074049,9.21331,10.26919,8.26921,15.032185,15.795803,6.592576,4.6136103,9.86196,9.528469,-3.0897202,-2.2584753,0.4852115,1.3657912,5.222206,7.6633844,11.438968,9.214784,8.360573,9.994278,12.008249,13.092606,12.313542,13.015849,10.567337,10.05853,10.201847,8.127438,2.9095151,1.4693155,7.742145,7.2381067,2.304239,-4.709574,-14.43358,-18.730576,-39.62301,-49.38724,-45.83316,-37.140198,-22.180761,-3.999599,1.7622951,2.949917,-2.0383587,-7.465605,-7.117622,0.04783538,1.1093297,-3.5642953,-6.2772093,-11.086061,-25.586094,-38.30815,-44.913998,-42.034096,-36.568752,-31.182997,-21.67942,-7.928439,3.8949306,-2.221973,-4.7305303,-3.6175418,-5.6890864,-6.2882605,-7.5036345,-7.457658,-1.7132201,1.0469239,5.2140594,9.049544,9.720551,7.884172,0.3854419,-3.916442,0.49464548,6.8037186,6.3243484,3.5668824,2.9700484,5.5110836,8.056337,8.582075,7.5528793
9,4.4029026,3.3725867,6.895135,12.935671,6.02295,4.7795386,8.496759,12.07083,9.948357,9.062414,8.187492,6.2868733,6.8425026,10.137432,9.041578,6.1029997,4.8244114,9.868802,11.866294,12.35701,9.371177,2.3399067,8.985195,10.608723,11.546703,17.931002,12.641493,6.5020885,4.533019,7.803809,9.431595,7.2113876,9.533437,8.902082,8.395458,5.4383836,6.625873,8.216743,7.324644,2.0896182,3.4051478,7.496414,0.48371142,-15.435705,-12.140862,-7.386231,-6.8539343,-1.306211,-3.8027983,-9.370096,-17.77001,-19.143658,-14.159336,-3.5659838,-1.2160685,-4.6937838,-4.918937,-8.756018,-10.824751,-9.340771,-12.005148,-18.173737,-16.235426,-11.434567,-6.4952292,-2.527086,-9.672585,-19.782455,-27.195702,-21.34505,-13.5966625,-7.805996,-6.159561,-5.788838,-3.9321258,-4.879081,-6.900387,-6.9454226,-3.4974098,1.7676473,7.0355053,7.8677797,8.020437,6.3518405,0.6587951,0.6390516,0.051291525,0.72442925,4.467796,3.5179105,7.2948933,10.771723,12.994016,10.090521
