,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
0,-525.7469,-515.4009,-519.4314,-518.93304,-518.75,-519.2629,-520.3073,-522.51764,-521.48975,-517.7572,-520.38495,-520.11536,-517.001,-515.574,-516.6345,-518.60876,-519.3872,-517.0866,-515.32745,-513.0585,-514.609,-515.6428,-515.2798,-518.88324,-519.45996,-519.57025,-514.65564,-516.1148,-517.1934,-360.68607,-189.97441,-136.88217,-154.63342,-178.03136,-173.97449,-165.97543,-147.44588,-131.36217,-128.92627,-141.90314,-152.42549,-159.46504,-182.08675,-243.94655,-380.4163,-411.57626,-200.11415,-94.25933,-72.971085,-99.55601,-139.09148,-151.19662,-171.02744,-199.55157,-243.04741,-291.08923,-324.7691,-336.4191,-354.22873,-322.30255,-309.3403,-320.0839,-316.61096,-298.82822,-279.6998,-272.63913,-253.24643,-254.75647,-257.35886,-262.26724,-266.65073,-274.40192,-289.28925,-309.44498,-331.29565,-342.74362,-357.946,-369.54813,-379.6239,-395.41614,-417.6079,-452.10812,-480.64374,-493.79254,-489.24448,-483.58514,-487.91678,-496.16983,-491.52444,-479.24698,-492.3604,-501.40387,-500.09055,-498.2698,-493.69534,-462.02765
1,53.998352,61.58506,57.91059,57.247192,57.746025,58.61418,58.94348,56.72209,56.42172,59.585266,56.89814,56.863113,58.4846,62.970848,61.65474,60.52967,58.328217,58.55754,61.048103,62.139454,61.113796,60.66929,61.49547,58.743683,58.35177,58.921562,61.805035,60.93137,60.72264,110.330185,165.75685,171.96747,152.40178,112.99443,112.35735,115.56643,128.27057,150.80252,164.62701,174.68369,182.66214,184.80934,176.69778,170.65726,147.30806,107.460846,127.703156,146.71048,157.80075,165.5274,165.93399,167.5463,181.0606,190.50957,197.32753,192.80371,182.66327,174.84709,156.00183,85.46122,32.913727,0.3600867,-8.748528,0.143666,67.64467,169.13544,191.58426,170.98773,166.27353,168.95831,178.15186,183.45596,184.93233,172.11053,161.08472,156.18839,149.85732,142.72165,129.40341,117.37956,110.75099,102.60857,91.223526,82.8524,89.70865,95.285355,89.31311,80.385895,84.92363,89.73811,83.463715,77.41166,76.737816,81.16812,87.29483,102.99063
2,33.04317,31.804966,31.534563,29.970829,31.026575,32.490044,34.121918,33.22867,34.92018,35.133774,31.4642,30.924072,30.612556,37.802105,37.419773,37.904945,34.378063,33.88252,33.20011,32.363853,30.535011,30.55576,32.220608,30.82127,31.43776,34.354904,34.036385,34.505524,33.919495,-24.851925,-39.249542,-42.608925,-44.65683,-55.173748,-55.60964,-53.799595,-54.05435,-49.084724,-37.49449,-32.16707,-35.836006,-44.746887,-47.729725,-33.80993,16.660456,26.95596,-5.202626,-25.424074,-49.033188,-65.41744,-64.19142,-48.701714,-42.113316,-32.599014,-11.849264,8.48393,25.727509,25.167274,39.659653,47.395428,29.014545,19.314234,14.869099,1.4051679,27.61023,53.01109,35.426125,18.884415,11.061687,3.780137,-5.0013447,-2.3180645,2.8991537,6.1239467,11.801782,11.422182,8.080186,12.563063,11.51704,12.600319,23.056923,38.873627,46.15526,47.324646,53.182182,54.119926,49.48264,46.958153,48.187714,48.773598,50.239853,48.44048,47.213387,51.549873,55.358852,42.565292
3,21.302628,16.970192,16.36374,17.712477,19.408218,19.168425,18.475622,20.531103,23.948254,22.06426,18.733187,19.747086,21.240183,22.26533,24.998228,24.373299,21.95108,22.205685,19.457434,18.417854,14.969473,15.363864,16.174026,16.02724,17.153812,19.227259,22.013458,21.034307,20.227892,-13.397301,-8.096294,-17.565544,-35.158974,-31.78181,-31.834232,-37.996307,-49.81803,-54.602974,-54.597794,-47.62052,-30.538902,-6.603097,17.080002,34.475494,34.988186,43.170383,34.82143,23.49317,5.7179356,-2.0681412,-0.7436416,-6.6619105,-0.8948399,13.204956,25.305708,36.36495,47.015686,52.160767,54.220936,44.49243,36.081955,40.65315,36.844574,20.801147,24.96619,28.989956,33.60403,28.771427,24.292316,22.117802,23.89486,23.222298,24.85973,35.94301,39.795807,39.02324,38.54342,47.513374,55.017666,57.19036,59.161293,52.791405,43.16982,36.630455,39.54446,38.964584,35.4794,37.417107,32.185097,28.788303,31.367805,35.50166,36.654083,36.712147,38.55664,32.070515
4,18.144564,14.0888195,11.614333,12.982101,14.6931305,16.141373,16.202665,18.55667,18.571104,17.509506,15.978308,16.942017,19.486313,14.771439,16.72148,15.732986,15.243378,17.859495,15.011229,16.039473,10.799646,13.508457,11.120178,12.144817,13.7183,15.526161,16.704685,15.644739,14.425246,-41.94293,-55.811264,-60.570503,-56.578346,-49.380592,-45.93646,-37.086235,-37.018574,-41.374577,-41.0406,-27.362106,-4.6381035,10.524277,21.370798,32.712296,45.838844,21.449034,-20.233162,-32.326942,-42.89988,-58.549828,-59.877945,-57.320633,-59.48636,-49.595314,-23.303364,-2.0755503,14.148729,22.519348,17.205387,6.886754,5.0938997,7.0048113,-1.2158424,-9.670617,-14.009264,-38.050396,-39.976017,-35.529316,-27.757107,-23.5123,-17.947697,-10.225782,-2.0843587,6.7518024,11.585478,21.135582,33.63411,42.31254,43.23138,42.762157,44.79068,42.30256,35.748318,28.465294,30.651894,30.420483,25.120815,27.955387,20.75317,11.210762,16.25639,23.172268,23.578192,21.933052,23.525167,24.687191
5,15.575001,13.031292,9.554295,11.511551,10.491844,14.953604,16.865992,17.649723,17.934292,20.258778,19.180395,15.005617,17.69639,17.167814,14.191149,12.702377,11.325648,13.544999,14.6744995,16.781725,12.651804,15.731234,12.225409,11.1604,13.515734,15.408864,13.94146,14.129881,12.362612,-11.832671,-9.495405,-9.558852,-14.517965,-8.018633,-5.969263,4.677742,17.134722,30.122551,30.799606,25.084896,19.591803,12.699647,8.923002,10.074015,20.71539,28.239176,21.175777,13.7294445,4.318918,-2.4820776,-3.0565128,-7.0623646,-6.085338,-12.318668,-25.175451,-27.015453,-24.384575,-20.726675,-5.350512,22.36404,31.03138,36.438103,30.820229,27.868355,12.831725,-18.465439,-28.391953,-20.590868,-14.287063,-15.019348,-19.741343,-21.306515,-20.47863,-20.975399,-16.77291,-11.436593,-7.5458097,-6.065302,-8.002016,-2.8422127,0.25865793,7.7122855,17.563807,19.990543,21.32826,21.20073,18.44107,22.263947,22.212776,23.406227,21.00024,18.373138,17.850018,18.912426,18.721478,16.94661
6,13.466288,11.222897,9.583804,12.4145975,11.574123,11.703226,13.664841,13.558983,16.079046,17.652012,19.705006,13.99107,13.7732525,15.231328,14.377525,10.637751,10.964162,11.826582,12.214201,14.463682,16.262104,15.894434,9.337906,10.086927,14.119558,14.253513,13.991821,13.530161,12.340347,28.684948,10.70644,4.8034296,-2.6117423,1.7163292,-8.813468,-12.063838,-20.384409,-26.728813,-26.755001,-27.47176,-29.99897,-29.75581,-25.612068,-15.565238,2.5798182,0.62499493,-14.579991,-9.050161,2.2961774,14.237276,23.755583,21.071999,22.063274,26.567507,16.498566,7.6945066,-3.5999148,-5.696063,-7.1334057,-2.4476936,-2.1324778,4.657407,8.204431,5.213084,-8.880074,-4.753549,-0.2484625,-8.9561615,-12.362978,-14.370361,-14.130932,-15.208605,-11.845388,-5.4294233,-7.0105834,-8.324463,-8.189247,-12.8994875,-11.016968,-2.433482,1.7761621,8.220749,16.499369,20.830273,21.323763,15.072882,16.47439,19.914742,22.521843,22.408691,22.040218,19.239965,18.61885,20.235222,19.980331,16.565517
7,13.800961,10.29177,11.1662,13.178078,13.34618,9.833782,9.136911,10.790516,13.963793,11.863139,14.7704,13.507704,10.20363,10.417044,11.777543,7.737028,8.894148,8.119761,9.552694,15.547434,19.689873,13.70902,6.1407704,10.113249,14.299236,13.585521,16.028568,17.065708,12.148573,38.498573,33.099194,38.047554,42.103027,43.478844,36.159096,30.28655,20.072487,6.7041554,-15.384949,-32.009262,-39.443657,-35.372757,-24.224354,-16.792631,-10.8096075,-4.075802,-7.0750427,0.00042191148,10.404284,16.604118,25.556946,23.678762,9.890755,5.1923413,5.201046,7.237832,5.4940786,-1.0730655,5.2279263,13.263043,16.613918,18.78487,17.634861,18.309635,10.292538,15.327002,19.303146,27.473965,32.752975,31.988262,27.269297,24.344582,22.233177,18.148956,13.042446,19.226908,20.334473,14.14126,15.090023,19.70114,20.572353,22.200619,20.893639,22.587143,19.955217,12.46834,13.574584,14.489122,15.884098,16.570532,18.606768,19.01009,18.023247,17.243565,16.630018,12.795188
8,13.428564,9.277179,11.014128,10.252916,12.1707325,10.69651,7.2736216,9.587376,11.433287,7.3178864,9.03363,11.048016,8.277356,9.740693,7.021303,6.186703,7.9468694,5.746131,6.278517,12.9841175,18.12717,10.124454,7.15497,9.979294,10.390768,9.686045,15.036711,16.25555,11.028389,-2.6530647,-19.463121,-20.101597,-20.917412,-20.902645,-19.535759,-13.642057,-11.954536,-12.487838,-15.383339,-20.179108,-22.454964,-22.532124,-20.828102,-13.106663,-2.890987,8.336424,5.996312,-0.17637292,-8.631966,-8.918627,-6.208601,-8.997463,-8.92001,-11.712196,-11.354424,-12.07667,-8.415203,-5.8354664,-4.322138,-6.0266147,6.8758135,10.661066,6.118944,2.5897326,-7.597053,-6.3829193,-11.781618,-11.191574,-9.183277,-6.6426926,0.99790835,4.859855,5.5747185,7.2116184,10.13879,11.059149,6.347038,0.15456772,-0.15559077,2.9606967,5.5848303,8.689654,11.8564415,12.242388,10.242596,7.980464,8.888948,9.669074,11.684609,12.498593,12.708208,14.066872,13.5604515,12.069069,9.615932,9.35083
9,12.15797,7.2574425,5.658387,3.97372,8.578463,8.54448,4.3371305,6.9976516,5.8376493,2.323679,5.2577972,6.7844267,5.746313,7.103908,4.2171555,6.863199,10.402341,4.758955,4.564684,10.116266,13.697321,8.830454,6.1018667,8.325865,6.317891,5.389506,9.545959,10.384471,8.913174,5.525464,2.7632873,1.8757939,-0.22845125,2.23072,4.241316,11.216288,22.403097,27.323296,25.015629,25.52688,28.62787,31.257816,27.36182,20.444824,8.318541,-3.5058641,12.91314,19.209553,17.543278,7.462346,5.726412,4.4482074,-1.9053115,-17.103075,-20.543482,-12.989566,-13.601421,-12.832085,-7.837481,4.7633896,11.685198,11.609706,3.1231031,-0.68589807,-1.3553587,-3.8998795,-2.090766,3.0807414,-0.4354571,-8.4185505,-15.310591,-16.256191,-16.03222,-7.737911,-0.049821854,-2.255174,-2.5713506,-2.025098,-0.48963118,-1.5067472,0.19941223,4.9976673,6.965886,4.972445,5.317178,3.2632139,2.9513354,2.935247,7.114321,6.871549,4.7992616,7.499323,6.1838465,3.6679754,4.108294,8.563701
10,12.602655,8.024975,1.1489372,1.1056916,6.2661767,6.011622,0.8994596,2.015008,0.7746154,-0.48877802,3.1991692,4.3422365,5.007085,6.0320063,4.757032,6.7850885,10.07488,7.4655294,4.806407,5.953435,8.875637,9.303145,5.2725315,6.3047137,3.2497537,1.3709828,3.0836658,5.65139,5.082004,0.71450084,-5.460018,-8.248987,-12.125238,-14.828758,-22.990507,-31.426765,-33.777424,-26.582836,-20.32439,-15.956703,-22.611301,-33.990646,-35.052326,-25.970789,-13.678383,6.6889014,17.721941,13.297869,7.859996,3.3974621,-2.945533,-10.995209,-14.611531,-14.226639,-13.39441,-9.843058,-3.303547,-3.3954835,4.366152,12.725474,12.213003,11.560979,4.4253016,1.5028732,0.48555365,-8.910946,-12.891079,-8.936523,-4.5171037,1.1554365,2.9807549,2.0405302,-1.178038,-3.0600712,-0.8123008,3.2170916,5.400056,11.43149,11.669868,9.011204,4.971095,6.3100514,4.1725187,2.4428387,3.5125217,3.5852823,2.8423622,-1.1472363,3.4283633,10.490465,7.212379,5.4973516,1.8378754,-0.8054893,3.7442298,5.2642097
11,10.776595,7.1380224,0.89247453,4.640279,7.5237613,5.495943,-1.0158446,-3.6834877,-4.764698,-3.3541832,0.38761443,2.0093236,2.421607,4.570381,3.0589385,4.3925943,6.756195,6.863108,-0.39879942,-0.39760694,6.0015726,9.267971,6.0443034,4.0627546,0.20365363,-0.038266443,0.87018615,1.4408476,1.4868621,-4.8089643,-10.386176,-13.573189,-14.628721,-8.130002,-7.4644837,1.3937407,4.4419446,3.5692792,-2.1590855,-11.482104,-18.192608,-21.428679,-29.66005,-31.125082,-18.042337,-8.193462,1.8658552,4.21945,2.6681232,0.7852472,4.7738,9.829761,7.208278,-1.1419051,-9.248733,-14.129158,-7.2340374,4.9483843,3.3860736,6.064722,9.412737,6.961237,-0.76978,-2.1777732,-7.4331384,-19.581518,-22.088964,-23.684998,-22.810406,-24.72443,-27.931097,-25.440071,-26.558125,-26.216846,-26.736082,-25.90915,-24.576208,-18.826296,-15.120838,-15.828371,-18.384607,-15.729067,-7.577075,-0.21993858,5.0111647,5.980275,4.6987047,-0.21340227,3.8741088,8.44412,6.175275,3.6999428,-0.61720854,-1.6970893,2.9983573,7.0587273
12,3.9693747,4.313181,3.965261,7.7590723,6.468526,3.8222547,-1.5916446,-3.5744507,-5.4025464,-3.4878702,-1.5964465,0.78450686,-2.1457415,-0.5389029,-0.59258634,0.49772394,2.370843,5.2566986,-2.5363278,-2.4819999,3.877494,5.2141857,4.3724613,3.3207264,-1.1099689,-1.0404968,0.25102258,-0.5242894,-0.36320454,8.066083,13.799873,15.633705,16.090483,17.251415,19.988483,23.892685,22.570587,19.20422,9.3189125,4.033511,5.7248654,7.7876787,13.966441,14.2428665,6.0797434,-1.7385688,-2.127994,-1.6277585,-1.4703803,-2.1919422,3.969696,10.193543,18.906696,11.888938,-3.001687,-11.356508,-16.263098,-14.678694,-8.0090065,5.4008627,14.168987,9.446547,9.03117,8.76829,1.4634256,-8.089797,-4.193783,7.2684298,8.742868,4.1304374,-2.2197757,-10.710219,-17.186068,-21.345848,-26.758059,-27.339577,-25.623724,-23.486485,-17.864414,-15.902737,-17.879662,-13.5626545,-5.4486685,2.7990882,7.8521876,6.005493,3.7485826,-0.20232338,3.3783326,7.5916243,4.96935,3.1902742,0.5329176,0.32609057,2.8177662,5.4421062
