,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
0,-516.62317,-489.6518,-485.07852,-490.9164,-497.5405,-502.5694,-501.80057,-503.2981,-502.74902,-500.04886,-503.13434,-505.60275,-506.81912,-506.24002,-508.34418,-512.1763,-518.47266,-520.5563,-519.79614,-511.9677,-520.3965,-524.4166,-523.94055,-515.9867,-509.78894,-522.88696,-525.2835,-519.1556,-517.8019,-523.22516,-497.68457,-286.1431,-173.06813,-102.0782,-72.95306,-80.94956,-104.95188,-128.82076,-133.65233,-135.53105,-134.73836,-129.17297,-138.60007,-154.52568,-162.85371,-171.45688,-181.44667,-183.13521,-125.64614,-93.572365,-104.269875,-125.63097,-168.4149,-200.78613,-220.07509,-244.24716,-282.4588,-370.25403,-384.13013,-393.49,-447.66327,-332.0619,-258.0898,-240.25388,-250.23875,-254.38757,-286.07355,-346.0297,-390.82648,-406.3668,-421.40222,-464.15128,-444.84338,-456.58627,-484.41806,-497.55008,-507.6368,-504.89862,-509.58466,-509.18393,-505.40344,-506.89276,-510.73953,-502.9097,-496.9002,-498.26578,-494.77036,-493.85226,-493.128,-490.91794,-488.63925,-485.70715,-489.08203,-483.96176,-483.30453,-491.11948,-495.04413,-496.96603,-503.81375
1,96.414566,87.5917,84.60545,77.10539,78.26345,83.73808,84.142746,78.55174,75.34157,77.39402,75.39686,77.882416,77.83584,77.13263,76.97246,78.45938,77.12146,72.5258,69.931625,66.35334,64.189514,67.58425,68.41036,55.10849,55.649185,62.514633,65.92207,68.27298,68.582245,63.225143,67.534744,55.56437,-13.371412,-35.1224,-19.143923,16.087067,46.066135,64.05184,87.85274,110.251396,133.60374,137.06917,131.89523,122.81439,123.2614,135.52274,141.08315,140.53778,157.89857,164.05676,166.43826,181.18893,192.27107,175.42029,151.77078,152.94388,174.8498,169.35294,132.44366,126.52716,104.46939,186.23865,212.37616,210.43,192.76599,193.37071,185.88718,172.66888,154.76358,139.99283,132.08334,105.742294,114.2585,102.772446,84.821465,84.64638,75.272736,74.49248,64.61415,67.50454,72.938385,68.53348,63.522915,69.52498,69.3471,66.08739,69.67845,68.5661,70.675354,70.479706,64.88019,66.82858,64.29736,62.699783,62.26087,62.386974,63.78433,63.198742,68.131584
2,26.970734,19.91372,17.013195,16.62195,22.016079,27.009193,30.288033,26.343376,22.114193,19.257727,20.282955,25.878117,25.946896,24.389969,27.103838,31.365557,34.596962,36.234528,32.256454,27.561672,29.23822,35.0738,33.218704,30.753807,28.586382,30.287834,30.097248,29.017855,31.557138,29.72783,7.853409,-64.51724,-55.96235,-45.988464,-35.016678,-26.532509,-34.694405,-47.874725,-58.249046,-58.45655,-55.051865,-42.64351,-37.355217,-33.011024,-36.704292,-32.93132,-22.194832,-8.395771,-10.171272,-22.381584,-25.684576,-15.729433,-0.79771656,5.504148,-3.4163458,4.4179077,18.96953,35.89564,19.076351,19.310081,44.726944,24.92673,-5.2433543,-27.917273,-40.23281,-32.015465,-9.85025,20.41468,36.58371,45.520424,51.908432,32.89569,15.121559,16.193378,17.148693,25.774784,31.545158,29.752228,23.43447,29.615765,28.15101,21.843597,23.915415,29.116917,26.190327,23.436642,20.656727,18.45774,25.235298,25.60756,22.521297,21.529507,19.975506,16.94026,19.510712,29.403152,29.59534,28.136192,30.22089
3,13.389805,11.006151,13.51885,12.972214,15.751566,19.97002,22.510231,20.205551,18.45177,15.570257,14.748048,16.014412,19.385094,15.687479,18.126774,22.872362,19.712748,18.276464,18.433403,19.175793,23.875858,28.927265,25.543503,27.827415,30.353086,24.26623,20.126,21.475685,24.985264,27.700138,19.022446,27.618294,41.920395,56.37503,69.58934,80.5818,75.68777,68.20537,50.23314,41.008133,36.532326,24.338833,24.309353,35.503273,30.057789,25.731058,32.11349,29.902794,22.546938,16.88617,13.566192,15.405177,16.302282,24.48164,28.863773,19.974133,4.465722,-9.025266,14.262465,22.498957,40.348755,21.991951,27.82108,30.80954,34.68363,41.6578,54.820404,61.276863,63.318214,63.705364,59.34352,44.961456,39.638035,40.68132,37.15831,30.720373,36.015366,32.849327,27.773842,34.5518,34.87242,29.070654,30.037262,31.050434,35.341896,37.595,36.168983,33.26567,37.56658,42.526794,43.424187,39.488487,41.041275,35.521576,43.431435,49.028175,45.674522,39.950897,34.64195
4,17.436022,12.964661,11.723194,10.945099,14.611572,15.811161,14.283481,14.400415,14.6537895,14.628939,14.377918,11.185391,16.682926,19.691618,16.442387,15.96033,12.544582,11.645487,10.849578,15.201632,16.986977,19.20862,16.828785,5.5907784,4.700962,15.434413,15.724476,11.544931,16.131603,19.871838,23.06525,-10.222893,-22.937544,-26.435802,-16.113125,11.239592,21.673443,16.85538,11.535145,7.3547397,11.923991,20.544765,24.768131,33.153854,33.424286,21.888958,1.5855703,-14.920114,-39.366276,-52.558586,-62.91313,-69.51141,-66.36606,-61.37602,-61.86966,-64.89398,-65.98152,-60.584145,-34.71851,-36.670395,-13.63638,6.820903,7.892189,11.823061,21.64649,27.148865,33.38507,36.861847,42.588326,31.549034,22.944183,29.389204,38.31716,41.685013,37.729137,28.13774,27.530508,19.549297,15.150343,14.356978,15.185762,16.975632,16.165436,12.706378,10.328185,13.300695,13.112114,13.196379,15.262701,17.621626,14.443761,12.668941,10.89051,2.4995654,3.8678904,13.575581,13.888899,13.178039,8.413755
5,11.99317,11.049015,10.906626,16.49643,18.76837,17.304413,18.064314,16.91177,16.01247,16.945257,11.991917,12.962173,19.72078,21.72989,17.58088,13.588356,12.8922,11.116936,10.44017,16.433882,15.971426,17.282024,15.4370775,22.556656,26.651743,18.394878,16.633684,14.699569,18.82175,18.096134,14.635568,19.933552,14.434628,6.9354568,14.087622,23.867847,24.491772,27.251236,30.888435,28.11155,19.53987,14.831261,18.30699,14.896954,14.40427,13.811309,19.8475,19.749702,5.4123926,2.8561196,-1.1771587,-12.492306,-16.015476,-8.251025,-6.171769,-14.418582,-22.341473,-19.5961,-9.197861,-9.651081,2.2442183,-28.73403,-36.041237,-35.333427,-27.772585,-27.592598,-24.142984,-23.520695,-11.474934,-0.0031928122,2.1846936,3.687673,0.20444815,-2.5397818,8.636649,14.883711,16.968544,13.084372,13.327609,13.801003,15.61508,16.461796,15.528079,17.60566,12.955101,6.854439,6.7818117,12.172977,14.977354,18.09637,14.501902,15.034877,17.919373,18.192812,16.46401,19.30995,19.935251,19.394869,16.63559
6,6.1281843,5.323262,1.7579597,4.4976788,9.869623,7.853055,5.772043,4.4048524,2.9182854,4.8242483,6.652151,9.277191,12.002632,11.7870245,9.34311,8.617138,8.268509,9.442241,11.383453,17.006607,17.998695,18.129345,20.262913,15.300603,11.053296,11.69282,13.691303,9.776899,13.25886,14.586432,8.213556,-13.275469,-19.748037,-30.315693,-30.56776,-27.241838,-24.210106,-24.294773,-28.916458,-27.684917,-24.487602,-24.330765,-22.729904,-29.5685,-23.80951,-21.10038,-10.821886,-1.0385629,-1.1945364,-2.4110491,8.030374,14.913572,15.153641,16.233728,16.33377,15.466215,13.926144,11.9153,17.52774,24.38876,24.730436,-6.0610557,-7.8320255,-7.5564127,-5.5929866,-5.590766,-6.9429884,-8.577049,-13.574732,-2.59363,4.9941397,2.546074,-2.3141062,-1.8179121,8.016796,14.610966,15.618864,14.244176,16.090609,15.660015,14.997931,21.190796,17.137901,16.994816,14.342119,13.801346,11.311917,11.290269,16.585629,15.744766,9.309887,8.34412,13.091325,17.477304,17.639141,14.104233,15.978104,20.216759,21.28738
7,7.1176653,10.23885,2.4384546,-0.56751704,1.7857168,2.624963,4.0031915,5.07568,3.2582736,6.0539517,9.056303,9.232191,4.7899046,5.9829006,6.025073,7.1226597,12.398517,15.342636,14.568414,11.651087,10.94262,16.433754,17.724964,12.180168,9.959903,13.481295,12.176121,10.462205,12.007835,16.048756,19.06549,16.159447,14.983913,5.7136655,3.247631,7.2584066,8.748814,3.0746162,-7.9347763,-15.993276,-18.91336,-20.596033,-15.662916,-0.5531125,21.413956,30.822258,23.410973,11.408219,3.1463075,0.93928266,-1.2476666,-1.5212014,4.4348884,3.3131871,11.410039,15.530514,8.762153,6.747814,25.667152,20.51959,8.182551,27.38781,20.55883,13.382164,16.48733,9.919023,1.8054957,3.9753895,4.544036,3.5608683,2.8212209,12.465044,15.7707405,17.923798,21.693115,21.67746,19.22383,20.165115,19.112013,14.988323,14.628122,21.315037,16.38586,17.201824,16.538,17.729362,15.967617,15.335689,15.621379,13.027302,11.397175,10.944193,10.318379,10.935064,9.02658,9.386414,10.013376,12.603872,13.733263
8,3.5799308,8.275721,5.252861,4.750659,3.4631476,2.872633,4.5545936,3.5167065,3.9829893,6.6977835,6.600751,7.042308,4.025123,3.5751243,4.460911,5.642485,11.566677,10.009737,5.6692853,6.263031,5.923047,5.63549,9.889094,11.864986,16.839277,14.339672,10.969941,7.6811123,5.4013557,7.85802,12.570775,6.111169,5.152383,4.2643147,-0.3888106,2.4143324,7.036324,6.746759,2.1305559,1.102457,-1.3950416,-10.296368,-22.6447,-28.19841,-35.952843,-48.729286,-49.664864,-47.061592,-49.354706,-43.96269,-31.408419,-25.371635,-18.023663,-9.087467,-5.5704193,-7.389712,-9.563011,-3.0275383,5.7197695,8.055968,-0.9023771,-6.2980876,-9.196072,-7.6273265,-2.9269867,-8.852945,-7.683277,-1.6201319,-0.44146335,-2.705139,-4.4086614,-2.3721762,0.33320612,1.9430952,9.645224,10.879898,10.844585,14.0379715,15.083269,10.499838,12.864674,16.045103,13.882513,14.248701,15.326921,12.955596,15.797825,15.203566,17.135466,14.613195,10.939719,12.873121,14.731468,10.53179,8.412464,13.33629,10.681893,7.6313004,11.860109
9,0.582954,6.7827816,9.905443,9.659632,5.7802567,6.3782988,6.7058077,2.4828198,3.7141716,6.161106,5.546831,4.739387,0.5193265,1.6596007,5.756074,6.445266,4.6609592,7.8335924,6.802885,5.5288134,8.510138,7.1069765,8.092232,2.0323255,1.4442863,6.3487916,5.9745207,2.508307,2.03047,7.6243057,8.517014,-2.063153,-2.9782417,-2.9366615,-11.04611,-14.783417,-5.4378724,2.5483203,4.6334896,5.8701477,8.430966,14.548698,25.128162,12.884772,-9.656309,-15.685398,-12.044367,-6.906403,2.6440256,7.2648287,7.384853,-1.9945393,-8.591816,-10.353193,-6.873892,-4.5531693,-7.529686,-8.054114,-4.863302,-2.1481285,-5.456891,-15.4592285,-13.802685,-10.011159,-5.3710446,-4.8612785,-1.9304917,-2.1069086,-3.0594988,-1.9848819,-2.8048542,-5.582921,-2.093737,2.1410594,10.426951,14.612585,10.69545,6.848767,10.853552,8.559164,10.999515,10.469582,7.767853,11.305094,13.662711,6.9056554,8.004522,10.562939,11.531902,11.010973,7.175143,11.387793,13.216057,7.7210693,6.8041577,9.491395,5.4199247,5.2208433,11.02561
