,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114
0,-549.2404,-520.44745,-515.14124,-516.915,-522.168,-525.477,-521.2952,-516.93555,-520.39996,-520.3705,-518.79443,-522.7575,-523.6925,-524.0117,-519.7518,-514.31866,-512.93054,-517.8186,-521.60614,-521.83856,-515.10474,-515.76227,-519.16833,-525.22394,-520.11945,-515.0851,-519.11066,-519.1016,-275.757,-188.47981,-190.37868,-203.75851,-205.707,-197.79324,-132.76323,-98.033646,-104.367165,-100.02481,-101.2103,-116.29132,-123.48629,-147.98537,-159.04976,-173.4658,-191.71117,-206.83401,-233.34413,-270.8398,-303.37802,-312.52756,-314.30478,-320.0638,-319.70605,-288.98575,-261.42026,-248.2277,-231.89908,-226.44603,-231.4316,-227.38062,-207.67395,-191.47697,-201.94339,-228.12247,-231.85661,-205.13275,-188.37857,-173.38846,-171.4344,-183.15645,-212.93314,-231.87665,-271.71912,-272.78464,-271.2879,-257.035,-277.31128,-329.4543,-399.70074,-447.87515,-457.56326,-504.47354,-434.42136,-336.21152,-271.98306,-241.0938,-225.5985,-218.7302,-221.70952,-239.54688,-253.1734,-273.1946,-293.80484,-285.31918,-274.904,-286.18164,-315.76514,-346.9703,-359.1826,-363.2127,-382.54425,-406.08563,-426.2274,-416.86917,-433.33466,-491.9887,-504.21582,-511.99286,-507.71402,-508.31027,-517.0642,-515.08594,-514.4755,-518.72864,-520.6774
1,74.201355,72.88585,74.05716,73.25941,69.94994,67.55885,71.706894,75.48517,71.39133,71.85281,71.12101,66.77934,68.501884,67.42906,74.40513,80.33188,78.35594,74.95282,74.561005,72.76227,71.81547,72.1503,72.454414,66.09746,69.218994,69.33171,67.63634,68.577774,86.08911,77.93738,67.62822,61.349506,62.7276,78.845245,125.65497,119.389565,88.584816,78.307175,68.065765,56.609066,55.27262,53.373955,62.179054,52.56086,44.78177,38.24822,34.36837,37.4123,49.63132,59.672844,62.7258,66.66726,71.842674,79.1567,85.25064,86.00329,105.754,128.09062,156.50635,173.39276,183.5264,191.28757,191.59991,179.6565,180.10764,118.49176,34.959717,3.935682,-4.9530363,-3.0814464,15.280887,100.6703,165.73715,160.34207,141.10733,116.24783,95.46128,82.00972,76.79057,71.04753,68.77887,71.90059,-5.1017365,-74.34674,-82.28407,-70.81583,-71.731094,-66.180244,-56.509583,-42.138447,3.1178966,48.224472,62.025623,72.87021,81.72743,85.74236,87.460175,86.7785,88.229294,81.49317,68.76846,67.93935,75.21573,78.1122,84.15099,72.68625,70.45035,73.43025,80.22208,76.843704,71.14459,72.67006,72.17289,69.0733,74.66516
2,31.564749,29.871986,29.029312,30.72594,30.305452,31.647629,32.170334,30.670696,33.614334,36.91902,32.56399,33.854515,33.730194,31.32085,34.47405,35.617565,37.289303,34.699295,32.286446,30.761997,27.680836,31.524902,35.34958,32.03204,28.488583,25.02081,25.428608,27.520058,-24.59392,-17.487375,-14.444889,-37.734024,-56.425293,-48.283615,-48.824753,-64.85425,-74.79733,-75.01692,-72.40784,-62.290375,-53.021168,-46.592003,-43.79164,-31.404686,-20.591995,-13.615414,-9.470848,-4.921564,-6.433525,-13.782738,-19.84685,-22.707966,-30.269758,-37.302048,-43.533363,-41.104706,-32.196823,-19.42353,-6.407436,-0.8025743,-6.773974,-9.774311,-6.4152174,-8.830313,-7.682073,-12.439703,-30.722237,-45.984894,-48.776047,-47.778473,-40.596046,-5.840911,3.5669427,-3.8571324,-5.9444513,-10.712269,-6.1974974,16.001547,33.805717,44.63219,42.692917,35.54914,63.877754,62.560753,56.003273,54.209946,44.179455,32.39039,25.437252,30.412033,53.086506,41.345173,23.049404,18.488838,21.91273,29.610455,40.0616,48.612793,55.113983,49.828297,43.35521,46.561913,50.85913,66.59065,66.41928,39.582375,30.094307,31.169544,31.544498,31.826569,38.349594,31.828047,26.53763,28.269245,28.97856
3,24.775959,23.181644,18.820045,19.97551,22.76843,19.353115,18.366581,19.85691,25.516178,24.742945,21.018383,21.327564,20.726423,24.89809,25.170488,21.208103,23.150545,24.620247,23.93758,21.02682,19.057898,18.870888,19.154339,24.78507,24.15414,25.712944,26.722109,23.949697,17.47784,18.356049,30.725868,38.703568,30.560978,26.284561,-1.4965168,-9.003204,-11.768557,-9.653121,0.8245582,14.09721,22.665684,33.887577,43.535286,63.24379,77.017365,84.28126,90.21769,91.93982,83.46478,70.99801,68.919785,66.98024,57.87949,52.289913,41.87646,33.691154,27.504242,16.45694,13.236737,14.078798,16.196178,17.242195,23.156898,33.981407,36.32835,69.4235,82.48131,68.88957,61.23169,59.41004,62.828087,62.209038,36.933937,48.14055,65.68228,85.84278,92.69568,103.596985,96.84171,66.14231,58.64891,28.735062,26.271559,29.488125,27.17612,28.608955,32.256927,33.47786,32.649956,40.845234,71.164825,83.07001,78.81168,73.32759,77.94211,86.47448,97.28778,103.53511,104.65443,106.64104,102.01808,97.95416,89.55014,91.20844,83.05229,48.05955,30.472486,24.451576,15.761727,16.724083,26.503212,24.512074,17.986198,18.293148,18.888878
4,17.797749,16.386433,11.900015,13.714342,17.192131,12.963575,11.104332,14.351599,17.757166,13.689674,16.348988,18.242172,16.679188,14.736651,14.836589,13.0454235,9.419651,14.359568,14.085281,9.292553,10.127153,9.590717,5.5596085,10.006386,15.092619,18.629189,22.213463,19.203514,-17.369888,-13.310131,-5.7387667,-7.1468883,-18.562641,-26.597181,-39.76509,-41.23945,-39.28839,-37.916954,-31.883774,-29.220291,-27.426903,-15.67396,-7.763524,-1.6226003,0.71949327,-0.5453191,-0.42746544,3.082487,12.744268,23.112926,25.955025,30.181152,29.528284,23.667824,21.95058,14.131823,-4.9252443,-19.93489,-29.811928,-38.580856,-38.80773,-33.61091,-20.896095,12.929424,19.77067,9.918097,24.308245,13.743832,9.190947,7.012846,8.446013,4.2719297,20.481598,29.945564,22.419579,18.24488,15.731701,14.790226,15.852968,17.099403,14.742369,14.927118,0.40335107,-13.384956,-18.332756,-29.064417,-33.84765,-33.71144,-38.9711,-37.90963,-14.7789,-5.038991,0.60866815,5.0664697,5.946032,1.346647,0.2583338,9.741013,14.530227,14.014721,13.06851,12.824959,11.91095,5.1862464,3.3252435,8.967873,9.925129,13.070513,6.102913,9.826786,17.649712,16.080177,11.410256,9.00481,13.297796
5,10.657532,14.791455,14.459846,13.089514,13.395525,10.42387,10.503132,17.009205,18.698849,15.888647,17.452831,20.42418,18.655094,14.638128,16.118473,22.336746,19.169622,16.918472,13.13254,9.598215,15.269503,17.692486,16.240276,10.302334,15.907672,21.902985,15.3224125,13.712049,27.429298,33.581425,42.483208,45.65831,35.599876,28.455553,22.709923,14.582993,12.374002,10.797298,7.5271397,-1.9207155,-12.983568,-22.726383,-29.343172,-23.492832,-17.10579,-13.75667,-12.742947,-6.239576,7.1902924,17.093906,20.131752,22.969292,31.577478,35.320206,32.060974,28.624256,21.734589,13.708493,2.530314,-3.0284286,-5.963928,-4.618137,5.6969576,12.510127,13.307074,34.474243,49.04323,45.85414,46.716038,45.62021,50.033028,44.555664,29.91755,14.433041,-3.2645652,-8.373146,-4.8510494,3.1481388,9.072554,19.207651,20.934708,19.04448,31.78738,28.44545,27.008442,25.787283,24.179184,22.902985,17.529154,18.389008,32.9917,31.668602,22.350563,10.354263,9.243128,9.936575,1.5606599,2.934199,16.884075,19.480347,20.365353,25.402164,26.3708,22.533115,17.198357,17.360744,17.439655,14.617214,15.220521,16.142511,13.344683,14.380082,14.215698,13.34896,10.7736845
6,8.537399,10.808761,10.487621,8.96632,7.917483,7.7932568,9.020751,10.393757,8.427641,8.905149,13.250536,15.30974,11.142569,9.234316,14.2380705,18.36952,19.417511,15.227309,7.5930896,6.7112784,13.252273,13.531723,12.764324,11.036083,14.774822,12.713394,5.930436,7.013695,-10.89509,-10.429628,-4.595882,6.538681,3.797626,-3.024306,-9.259733,-12.177797,-8.174037,-11.128017,-10.145914,-12.402282,-20.239914,-20.770329,-20.118813,-21.023083,-22.130112,-19.774769,-14.618723,-14.3968525,-19.501457,-28.507286,-37.878952,-38.402794,-30.530481,-30.06998,-30.354715,-30.576136,-18.80695,-7.066715,-1.8447782,-3.781135,-4.244857,-3.6408048,-5.731741,-16.872885,-19.643957,-26.155048,-22.994726,-24.633297,-22.030754,-22.877064,-21.27404,-20.750164,-8.52302,-11.900917,-17.295877,-11.045245,-4.0021105,6.3235884,19.057604,18.350164,16.040474,16.077927,11.480895,5.387581,3.1513324,-0.98096216,-4.188097,-8.172707,-6.9573936,-2.662842,-7.1434784,-11.843657,-11.532803,-13.989901,-13.129192,-5.18595,2.541618,0.9029963,2.5976439,9.641287,17.464043,27.387325,20.456161,7.6896725,11.339138,21.311699,17.927162,10.747387,13.692915,17.540752,13.226723,9.680109,11.156252,15.791956,7.695938
7,11.736658,9.03101,9.442837,14.322283,11.174591,12.344542,15.194031,14.875902,8.062978,9.465158,16.58575,14.976802,9.9897,7.2031446,12.569638,10.102065,13.041187,16.65783,14.469065,13.45252,13.933882,10.883265,11.359983,12.441311,14.301973,13.603455,12.1032715,11.960627,-16.9511,-11.007608,0.34737754,14.581215,19.125443,15.218966,13.455608,11.483044,17.661167,15.01424,15.705814,16.827318,18.271555,12.854443,3.4556363,8.368917,13.691818,15.842404,19.108307,25.180763,33.080753,32.578384,26.718899,14.874343,8.243687,-0.26778805,-1.0495007,-2.9366238,4.5989504,10.875057,12.893727,12.341078,9.706411,3.9742503,-6.9017754,-17.903702,-18.377697,-3.8150692,4.107787,0.7079673,2.0479405,6.8322744,3.9639342,-3.4402566,-16.623085,-21.361645,-16.297203,-6.80984,-0.06563014,4.0856915,6.3154287,10.181131,11.903759,17.141335,24.992092,21.185314,20.830048,19.38755,16.621498,11.814453,14.773876,18.958961,14.575871,17.142284,19.650093,22.342234,17.605484,10.690471,8.963696,9.242359,8.188202,13.183786,14.966488,14.811163,4.9116125,-4.037967,-5.2906337,7.267859,11.371982,12.295488,17.67509,19.303635,14.386303,10.225897,13.370382,17.896706,12.921988
8,12.572704,12.307482,16.542974,11.764538,6.270014,9.862084,10.895274,7.233101,3.0279012,8.983252,9.092216,5.761836,8.686422,3.1307118,5.0062757,5.3378754,5.120973,8.107527,9.325305,14.576649,8.947979,2.6890173,6.6768694,11.014267,9.848981,10.484196,10.770504,6.519059,19.34014,19.227528,19.954025,18.197159,16.188395,1.4215933,-11.101343,-15.627897,-8.613976,-7.6551495,0.71428686,12.489664,11.69503,4.9361744,-3.64471,-10.950323,-21.385128,-25.687092,-25.705883,-21.045902,-14.698357,-3.9652405,1.3414476,2.115466,9.22331,3.481316,-0.6836716,-12.353432,-25.837376,-37.971375,-42.486828,-43.415222,-45.091644,-46.691868,-39.599907,-28.509205,-13.724825,4.9973555,10.597475,5.7585964,7.2879405,6.8823595,-7.928384,-21.704403,-15.305896,-10.281715,-15.056957,-20.551643,-23.990456,-22.435944,-14.500201,-4.7740164,-1.3393288,6.159788,3.3736193,1.8207178,0.8878234,-6.7635956,-11.597801,-9.577215,-13.871547,-14.116411,-14.909039,-13.440224,-16.296806,-25.208097,-27.660831,-21.454529,-18.42126,-11.199065,-5.3847914,-5.6561656,-6.9884896,-7.4389954,-4.986665,-17.927963,-16.469135,0.42722017,0.98255664,7.1000757,11.858831,11.839959,9.798388,3.6431296,6.0409966,12.916235,8.260302
9,11.661825,11.908989,14.50638,10.558836,8.117657,8.637152,11.3254595,10.15163,6.125675,7.220137,8.529843,8.576914,11.140203,9.950264,6.021654,1.4842854,4.7653584,8.616423,7.072307,11.059178,6.698207,5.305048,10.185123,11.347366,7.256343,6.2089877,8.100522,7.4527373,-1.1337496,5.414777,19.379354,29.437893,27.852074,21.145721,12.802576,10.274264,15.195301,15.365652,16.360617,18.572777,20.13858,15.367857,10.38167,7.57738,6.1027985,7.458591,6.979913,7.5342407,1.6964833,-3.2333663,-4.9785724,-3.2823765,-2.210067,-0.6816527,2.3498874,-1.3734006,-8.445427,-8.606276,-9.396734,-14.43367,-16.471127,-13.145788,-8.741705,1.5015198,11.728787,-0.76525915,8.220522,11.710801,12.395565,15.885443,9.730923,-5.816016,0.0045647323,8.489727,10.730702,11.8931465,9.860996,9.534273,4.2155666,3.3534994,6.047955,8.13274,1.3236241,3.6420882,6.1604166,4.3317084,1.2916642,3.277792,1.2256129,3.5074322,-6.0685053,-7.424816,5.6648407,13.8165455,12.814991,12.144286,12.054164,7.486858,7.023754,7.0473156,8.779241,4.683698,2.9818509,-4.1872206,-2.780683,1.898838,2.5707047,2.9785178,7.16673,7.3861775,8.434797,9.212919,9.286095,6.9025326,4.7646933
