,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136
0,-554.7262,-522.47125,-519.1595,-521.5773,-521.91455,-521.7432,-521.5606,-519.77423,-524.9424,-521.4541,-520.85425,-522.91095,-524.94556,-523.7461,-515.18976,-517.5619,-521.6586,-523.3806,-522.978,-524.40375,-528.91016,-532.2997,-526.21,-523.2325,-519.28845,-521.2711,-523.22266,-523.5529,-522.44366,-522.1795,-523.9876,-524.0492,-525.0062,-527.44385,-525.00885,-521.86273,-524.81744,-529.955,-442.50867,-226.0863,-167.63733,-178.42657,-198.52255,-201.32446,-157.5959,-113.01007,-97.06883,-86.39967,-80.832405,-78.81209,-81.690994,-94.89694,-117.06258,-147.46439,-177.01529,-200.14848,-228.94846,-258.59436,-319.47293,-453.13406,-498.12546,-323.4121,-242.81042,-231.40482,-214.26529,-164.1838,-126.80277,-119.43369,-125.53579,-153.45271,-213.92615,-289.71344,-338.16125,-352.6417,-372.67023,-394.52206,-362.76596,-270.38986,-192.81728,-196.60434,-227.36577,-257.39832,-286.39447,-300.82645,-293.1576,-295.8884,-304.66418,-269.46762,-212.2455,-191.31927,-186.1329,-193.71136,-194.25266,-162.47737,-123.118614,-108.444466,-97.30756,-86.54421,-80.50905,-77.065765,-85.68818,-107.582275,-146.32848,-210.12076,-266.12482,-316.45288,-366.27948,-397.82928,-424.21634,-445.81046,-464.4933,-475.65793,-495.42737,-502.95337,-513.28973,-517.36847,-512.6966,-513.8015,-519.96155,-519.5151,-520.12836,-519.2979,-519.317,-522.9472,-525.5192,-528.6673,-530.92554,-524.97925,-519.66296,-511.70187,-519.2127,-525.17346,-525.7228,-525.0765,-520.79047,-515.50226,-547.77966
1,74.91001,72.16742,72.16646,68.41388,67.48218,71.67378,72.61954,69.32647,66.232544,70.54353,72.61176,71.08405,70.959595,69.40587,74.25185,73.5121,69.68456,70.55144,68.834724,59.678898,58.193764,63.18554,70.485695,69.65413,69.76454,72.173996,72.218254,70.44176,68.60916,66.745895,66.19031,64.46463,68.88117,65.682076,67.97554,70.79344,67.43438,60.043213,81.142044,85.77289,80.84175,79.83086,86.70892,104.0876,136.71088,140.44708,127.32405,119.35152,109.24467,99.18368,96.729294,99.56766,97.12988,87.71527,76.22641,65.47044,53.316624,51.96592,67.64803,89.025764,78.5106,52.598644,56.18277,50.10961,45.85529,66.373215,98.22375,127.01366,146.10907,165.38226,187.27539,194.76562,182.73456,179.33365,157.08832,85.312744,19.725159,32.074013,107.0117,164.26488,172.74878,135.36423,126.5838,131.39272,132.96466,133.11981,131.6514,75.71752,14.958531,-14.686804,-19.231354,-9.912296,54.05636,138.92711,144.01062,136.28537,133.83887,136.01614,139.88235,142.63332,151.19841,156.42523,156.25507,156.41864,144.52081,139.31067,146.31958,144.36423,133.82358,116.24396,103.55542,97.21832,78.50157,71.90004,64.77961,66.426636,70.93129,70.99129,70.6327,69.82085,70.93948,74.23241,76.05433,72.031334,71.59378,68.310684,61.69487,64.773094,72.53244,77.2269,68.20078,67.144104,66.407486,71.67511,69.5317,68.22392,69.225586
2,33.486294,32.04453,33.560757,30.599634,25.164364,26.684505,30.832102,28.56941,32.142452,35.873367,35.98301,34.926826,35.89087,32.47221,28.41549,28.55779,33.158657,32.821907,29.304829,28.180706,31.72926,32.053246,32.380566,33.5517,30.860443,33.251427,35.877743,36.34269,31.915085,32.09385,34.32435,30.182606,30.8969,29.238335,31.926033,33.62249,30.737942,24.02901,-10.353103,-24.27755,-14.384011,-21.623436,-62.684013,-67.93999,-62.664925,-71.70335,-78.27365,-78.32443,-77.24731,-73.028625,-69.26865,-57.65251,-41.540726,-27.581875,-16.189585,0.30500495,17.36729,27.721905,36.10611,45.33216,33.973507,6.4222174,25.830208,32.005833,15.189281,-10.525084,-28.775818,-36.651848,-39.41327,-35.840286,-15.516607,6.5815077,19.754898,23.44302,30.756668,46.502068,-6.2207785,-15.795364,17.486546,27.201477,17.77632,3.893439,-4.2551637,-28.33974,-40.262688,-39.191353,-25.258663,-9.234425,-17.59164,-33.592503,-33.654274,-30.457785,-7.0451756,-26.484867,-52.020996,-70.10803,-73.16133,-73.43613,-71.342636,-73.28371,-69.81737,-55.673897,-36.742535,-17.821955,4.40327,13.625261,14.753886,24.21488,36.464825,29.270506,30.85589,34.530197,23.309,16.298405,24.604595,31.180862,26.386278,25.35169,31.352436,30.620657,28.821583,33.013233,31.932312,33.52899,36.58995,36.428795,33.427513,28.62485,26.164879,24.642643,27.6295,31.803387,31.114824,33.589252,29.135658,28.094557,34.286903
3,10.9693985,16.831688,21.332901,25.20183,21.959913,21.043339,24.614601,24.38146,25.822506,26.629295,28.131878,31.129929,24.867134,18.584501,17.521114,20.1138,23.993813,20.742487,18.83638,20.959084,21.037054,19.807219,22.754951,23.552181,19.932594,20.579521,23.647158,25.9888,28.048607,29.20517,24.241505,21.090502,21.442518,23.333466,21.768084,23.444881,18.603493,16.987152,9.381125,2.7272785,8.539764,25.746685,23.960186,23.62055,-0.47457635,-14.491154,-9.072518,-8.541279,-11.644347,-6.4075165,2.2731678,16.323927,28.092525,45.90033,67.707214,79.2995,85.22713,89.51868,87.796295,58.78734,30.24351,48.88183,72.57468,95.82062,92.91548,78.67746,64.02576,56.08718,45.284164,35.69348,28.388641,31.086342,33.556858,33.72865,39.60405,51.067764,40.3137,32.344707,37.77719,39.7436,35.65863,44.41381,56.933056,50.28553,43.821243,44.715126,55.21311,86.237305,97.83818,86.805435,82.15454,81.90581,86.45732,41.45607,20.023062,1.1129274,-3.6295729,-4.524313,-2.4612083,0.43937087,4.4039993,8.501702,20.743029,31.515745,42.5839,44.714893,49.68753,56.424488,60.50226,58.565903,59.107944,56.80957,37.098564,30.742435,35.76205,37.113605,26.357143,18.690048,23.510307,29.048782,25.480915,22.55589,17.172157,20.727757,21.355751,22.339603,24.279116,24.327831,15.701866,9.103284,15.846881,19.274645,19.788427,20.633894,17.779694,16.598871,19.896805
4,9.302827,8.899791,8.984098,17.199303,14.167675,13.27685,14.711288,14.638714,15.838726,16.599249,13.575117,16.941238,13.61104,8.934595,12.562046,11.732212,15.911142,10.893748,10.665291,12.325758,10.832726,14.255661,16.51358,15.881889,15.381853,12.718166,12.498789,16.05191,20.258568,18.298012,13.696633,13.111071,16.435528,18.232342,16.099895,16.784672,12.565252,8.987744,-1.9375832,-19.213655,-14.844241,-5.981556,-13.369802,-17.368423,-32.657837,-40.17182,-40.52179,-41.409737,-40.207634,-36.653282,-33.637108,-27.54961,-16.396164,-10.933729,-9.119946,-4.4839735,1.2702682,6.891393,7.4058094,20.481514,17.330355,-26.339752,-21.140045,-9.576729,-3.1015573,-3.1184676,-7.281856,-1.6452063,1.6724415,3.5822277,3.9779851,15.682098,27.155163,26.660822,23.85493,23.440727,17.32841,-1.7998558,-21.860662,-44.0938,-37.309525,-13.436363,9.613188,18.99109,22.7356,35.495968,44.11052,17.977718,18.709866,11.575672,3.1876926,-1.9888723,-6.758299,-5.102349,-7.847944,-27.255276,-40.916862,-46.75961,-44.721455,-41.874184,-37.453926,-33.80494,-31.756271,-17.85749,3.213769,19.304375,41.646675,50.092033,47.214386,49.467327,53.849068,47.62366,30.086632,26.329025,28.392483,25.12596,19.762245,12.317131,16.341225,21.321045,15.52491,14.661514,10.544061,7.1570654,9.178232,11.390613,13.317194,14.797991,7.5057507,4.286747,10.951132,11.030182,13.552699,9.753462,12.76356,8.784281,8.336572
5,7.478794,9.845086,12.205709,13.811493,14.587006,17.923983,20.359314,18.660028,16.86206,17.503193,15.387775,13.1586075,14.639176,11.126502,17.04553,18.679491,12.62408,9.208965,13.309888,14.516102,14.153486,16.365376,14.8333025,15.819019,17.788479,15.21032,14.974846,15.769344,15.903552,14.408388,16.447336,14.427728,15.967601,17.580265,19.809372,16.881758,12.993853,12.850124,22.795479,23.989319,22.903395,25.80494,35.082764,32.92276,18.151375,15.6437435,21.62711,20.763748,16.785717,6.807618,-6.552417,-18.27747,-27.463718,-29.06906,-18.985378,-7.6759415,1.4454252,6.2146072,7.2386928,14.510967,15.9897,3.9079022,8.924427,11.472155,3.8937619,-14.849722,-28.828184,-26.287586,-18.755903,-10.922861,-0.51508725,-3.042636,-0.5749441,-1.2342969,8.042992,21.526054,21.351355,10.018682,0.35824814,-15.378592,-29.774712,-34.221252,-35.6054,-28.666294,-14.544074,-5.075663,0.012814999,18.978046,16.312027,12.839001,9.662611,8.080745,0.0318681,-6.4695053,-16.879519,-13.426573,-7.5161347,-5.1876764,-7.4770865,-6.6367593,-6.3013554,-2.8070087,-4.0913043,3.7724466,23.307684,27.401878,18.951035,6.5197105,4.2636147,4.7627034,8.989424,9.217919,10.901136,13.642048,13.581952,11.577758,9.372923,13.477636,21.458712,18.147957,11.795916,12.913164,11.898486,9.035143,12.817913,13.103918,16.02899,17.394482,14.117477,18.17312,18.208817,16.723087,20.626514,15.526414,15.530607,13.426455,10.360914
6,6.9861374,10.193825,10.768958,10.128743,15.374719,21.272415,17.254246,11.02367,12.802327,14.825935,11.042397,10.865846,12.457811,11.8031025,15.040716,11.677177,5.5995083,7.717749,11.193613,13.11804,14.598782,12.48833,9.833292,14.016449,12.385312,7.941416,8.038041,9.842407,12.315286,12.722149,16.818995,11.484985,12.064892,16.157766,19.170162,17.285807,11.836248,13.306414,-4.148475,-18.03897,-17.132042,-6.406253,5.728324,-0.06884891,-13.098438,-21.019093,-21.969555,-23.243397,-23.127773,-23.827976,-28.536716,-33.888176,-39.08484,-40.8562,-37.573223,-29.707493,-20.022894,-11.79628,-9.866381,-0.79309976,12.229652,3.6250532,3.9083927,-9.189711,-18.471485,-28.468437,-40.75965,-43.133915,-39.013523,-33.817535,-28.65006,-19.123285,-8.903082,-3.781351,4.316325,10.978604,15.748613,4.2792892,-0.70919824,-2.1261187,-7.450204,-20.021154,-22.252098,-10.020874,3.5689,-1.414198,-15.169141,-21.732191,-17.517155,-17.504778,-18.004768,-10.082355,-18.815525,-30.646095,-30.48478,-22.601032,-14.185451,-10.366823,-7.584648,-7.320697,-10.630419,-17.32864,-17.051392,-20.33963,-30.2481,-23.641533,-13.590437,-10.344089,-3.032816,0.64238405,1.7867187,0.99907094,4.98369,8.613775,13.623173,10.869,5.969535,12.080218,18.02507,14.239359,10.647112,7.909568,10.684238,14.154215,10.44424,9.724996,13.824436,13.4992,19.261433,21.987926,14.513638,16.004349,20.06287,13.272871,5.708738,11.958849,14.315811
7,7.1433167,9.548977,4.818072,6.2657523,12.601677,13.160867,10.744365,4.755268,9.005941,14.39883,10.941401,10.8321705,15.006529,15.862287,15.3932905,13.382124,8.00788,8.067754,11.354266,13.3884945,18.183582,14.978882,8.049165,9.723259,12.047446,12.283777,10.915585,14.540645,13.57832,13.595652,15.287598,12.209704,14.739208,16.795334,17.017256,14.12087,15.479309,18.016397,-2.2438958,-13.652,-5.5583467,9.375711,24.202099,14.954971,14.152115,15.194775,20.968634,25.171886,25.356432,23.724236,22.160748,16.868143,6.8063707,5.1495295,8.695559,14.247503,19.710556,22.233435,24.41666,18.022701,13.144123,30.132076,29.192066,26.604012,26.194456,25.589981,14.230202,2.4958577,-6.036477,-11.325216,-13.043784,-3.5268774,4.731101,11.585974,13.294494,12.362006,22.642975,14.909389,19.02463,24.729847,30.420189,29.176943,25.633732,30.421633,30.686066,13.290555,1.8493987,8.209099,19.097733,22.340755,22.14604,25.884811,13.66448,-5.3420615,-2.7071364,9.007713,14.697348,11.82424,8.459841,7.8227825,7.2688885,4.114292,-4.02759,-10.527933,-15.236831,-14.941957,-1.4868463,6.193886,10.470684,16.823044,19.457256,18.96307,17.463863,15.474346,20.841488,19.123058,17.157677,17.094856,12.930268,8.770585,14.02453,17.815212,17.940907,16.96911,11.202194,12.169273,12.324705,14.149171,12.673418,14.584164,19.409985,21.602491,18.01315,14.852957,11.933444,16.922613,21.29076
8,3.2520962,6.3888645,2.002644,-1.7299622,5.2034335,8.3087015,4.561149,5.2264204,5.7178373,7.279493,5.175361,4.624863,8.408168,7.7644596,7.9346075,5.8332067,5.6030045,2.3305063,3.4957297,4.4185214,7.4177523,7.469194,4.0830965,8.925159,11.909376,12.331228,8.904086,13.126091,14.003647,10.091423,9.360521,7.606992,10.381019,12.911036,8.304319,6.523864,9.104948,7.537697,19.086006,22.465054,21.42772,19.311674,24.236269,10.133652,-4.187665,-7.134381,-7.665081,-8.690935,-8.767039,-2.5843945,3.21749,4.2594185,-8.924185,-22.076412,-27.605064,-29.133183,-30.449093,-30.918097,-22.777416,-2.9241629,5.057468,-20.992107,-27.904058,-27.599752,-32.79236,-36.462135,-32.75301,-26.09237,-27.213898,-29.013153,-25.311825,-23.03466,-16.931719,-14.151499,-9.717293,0.5558143,15.765482,4.9967194,0.7052443,-6.8558908,-20.21617,-19.218258,-21.54989,-21.644894,-22.469116,-32.4216,-24.757591,-10.249994,-6.7008,4.069695,5.4618177,2.2943769,-2.0554159,0.57764065,-5.6145406,-4.4383855,-8.193234,-10.476101,-8.57922,-7.981404,-3.8516865,3.0848489,8.595497,13.232725,14.923698,8.77063,0.89928275,0.54260457,3.9077706,9.177053,8.253765,4.464071,9.541312,12.028175,12.947368,7.897866,4.989249,9.111588,7.991156,4.8279276,9.350004,12.120401,14.9347725,11.524801,7.0062237,7.1039944,7.6267157,7.010815,4.45253,9.286858,11.806825,13.768562,8.8729,8.793766,8.334941,12.312503,17.507933
9,6.3898416,8.779358,6.738502,5.397997,7.1016626,10.117447,8.319448,9.294653,2.8136888,2.7515411,6.5588636,5.1863394,3.887582,5.244526,7.0090427,6.32955,5.159236,5.278733,5.321652,6.4370584,9.900764,6.9412184,7.452235,8.73027,7.7614107,9.226093,4.1530895,9.348543,9.30115,6.1440506,8.7957945,9.937099,12.353075,10.642612,4.6331606,2.6464453,3.2485669,3.61558,-6.2666893,-14.846018,-5.3353186,15.30279,28.625046,15.879056,2.0825415,-4.1205525,0.14801997,3.7576928,7.3362665,9.873536,9.818907,5.5959263,3.3221755,2.4451933,-1.0542231,-3.319787,-1.1994979,-4.1123595,-9.984502,-14.245976,3.7371216,-1.4510579,-5.7227254,-6.274833,-5.939844,-8.89999,-9.311174,-3.5536575,5.5500956,4.8257017,-1.6714549,-9.370596,-10.68001,-11.973444,-12.3201275,-8.050766,8.284403,1.0823785,-9.28033,-8.059605,-3.6297617,5.98011,6.1709986,-5.2755485,-13.907677,-12.483647,-3.993252,-20.115513,-11.488062,0.7050315,-1.5594933,-5.1164513,-3.973693,11.892165,19.805578,25.3905,29.070936,25.705343,21.622932,22.275375,21.801285,18.509277,14.352598,8.2399235,-5.2229404,-11.46743,-6.892355,-2.5887644,-0.68256795,0.8950623,1.5623825,0.8433032,8.430264,11.048763,8.839006,5.8896594,5.2849464,7.7327313,10.670603,7.904477,7.701461,6.7137136,9.5638485,14.460395,15.441345,10.935814,6.796322,3.032133,0.9612546,4.3217926,6.2781744,8.179054,1.5970957,0.17927477,5.662029,7.557476,7.051101
