,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
0,-522.0398,-509.92264,-517.1977,-512.9554,-512.7988,-518.6508,-516.1695,-510.83716,-512.1388,-515.11505,-514.69104,-520.0777,-519.9358,-520.8494,-516.0464,-517.56586,-520.2352,-411.12332,-264.28647,-165.35617,-114.48311,-117.301125,-140.36179,-159.0189,-154.58116,-155.08577,-162.59608,-180.68118,-200.93506,-224.59755,-236.71347,-228.58832,-207.47105,-196.39047,-194.74574,-186.26994,-163.18842,-153.24513,-180.56404,-221.98944,-225.27647,-212.5252,-206.15222,-207.68164,-204.13004,-187.88513,-187.49002,-205.08673,-226.46121,-248.56885,-264.9459,-283.18216,-319.55774,-364.4665,-397.67752,-441.8251,-470.0601,-475.69046,-480.6373,-495.6437,-505.7337,-512.9574,-513.7679,-513.469,-520.1583,-523.4343,-521.616,-514.0573,-511.41168,-504.19867,-493.39188,-504.5727,-512.06354,-516.5303,-518.13275,-515.27594,-520.8532
1,88.295944,79.99458,77.767914,80.26749,75.77703,70.566055,72.961624,77.42113,74.139626,71.5204,74.43309,71.321075,70.216034,67.11094,71.24841,74.686455,74.29253,70.171776,3.7334127,-20.406223,-9.3223095,13.09732,38.01484,65.87954,92.24897,114.98642,128.68887,136.51445,134.36972,126.667076,110.86677,87.20514,63.541252,47.200325,47.859608,52.821045,72.10348,100.96965,129.02916,147.20792,157.59488,171.91333,179.16045,182.23969,181.08829,179.01614,186.5101,196.42755,198.68268,200.605,204.09448,204.04146,196.25583,176.51779,160.21759,125.97017,104.260506,101.882126,100.67944,88.59589,84.69465,78.739044,77.858536,75.76311,71.10499,68.24266,69.13692,75.79419,78.375946,79.974075,82.71695,76.88422,74.940544,72.955795,68.98725,70.59912,72.0107
2,26.40412,29.2173,31.841537,32.089626,29.693205,27.198189,26.667698,26.769255,27.143452,29.08591,34.028328,33.97479,33.92811,34.35485,32.22053,32.526783,33.19348,-35.205864,-47.78281,-38.43451,-31.384157,-21.07982,-32.382065,-52.93828,-56.543762,-50.03546,-49.905983,-51.70182,-45.111988,-44.036285,-42.10131,-36.763725,-37.8397,-38.80063,-34.34243,-28.91925,-30.389912,-38.911446,-44.56514,-41.372475,-32.956238,-27.653786,-19.088223,-9.597509,-5.308859,-8.502177,-6.479875,5.1264133,16.85832,26.955715,30.700302,34.22892,40.56763,42.94815,45.032806,34.61149,23.38346,25.533848,31.368025,34.028778,39.516792,38.375374,36.812225,36.51655,34.85502,36.12661,33.407845,35.206318,35.846115,33.810364,31.875298,31.39729,34.191654,34.744034,26.850899,24.33962,24.942562
3,15.543657,18.069214,19.635355,20.52013,23.372675,22.952135,21.845333,20.626856,16.465664,15.66415,19.180897,20.290588,20.97345,19.575567,19.509457,18.72115,19.361143,22.008888,40.826767,53.88221,61.536766,76.94427,73.03359,66.89051,58.105114,55.87216,54.13064,49.27941,51.7267,54.336178,62.40954,67.67244,72.57512,78.30937,77.769775,72.17299,66.919785,50.853012,30.415703,17.417189,10.316546,7.0849595,12.409363,24.806187,33.43773,34.792,31.442425,29.689484,34.016594,29.752861,22.183718,13.61919,5.5938554,3.7011132,6.840473,3.3361135,-3.3237104,-1.3441449,4.338835,17.14747,24.672674,27.375488,29.517365,26.794636,21.929424,23.137104,27.296064,30.6741,30.7393,25.620466,16.771046,21.129532,23.10626,25.423203,25.273281,24.109577,20.574944
4,13.842429,14.186231,14.600706,13.183277,13.292395,13.7938595,18.732782,18.251583,12.832753,10.353407,11.586775,11.205611,10.419209,8.356685,10.021362,11.8882885,18.263367,17.541733,-12.13423,-21.321808,-13.12776,7.646226,17.164005,17.46458,10.511396,7.513364,14.381406,16.274757,15.100606,20.029358,27.107899,25.92247,23.96479,28.451445,27.914219,27.882643,22.470764,11.095806,9.426102,11.533237,-7.804023,-16.646463,-25.48609,-28.678698,-33.999794,-44.307907,-46.17123,-47.590485,-47.642998,-38.22872,-40.026154,-50.754276,-45.313625,-28.688208,-17.699238,-8.655798,-9.091011,-10.099369,-2.2248297,12.975793,20.387356,21.411755,22.869865,19.516205,14.373009,12.911895,17.965277,16.234306,16.244991,9.480423,-1.1431309,8.542917,14.038217,14.661587,20.038416,19.898062,14.330975
5,14.740863,14.198876,14.375856,10.881953,12.056726,17.154758,15.905742,14.951361,15.778696,18.852043,19.944302,16.17651,19.48949,21.046371,17.20294,17.41605,20.513443,20.146227,20.096607,-2.4970927,0.023801774,10.131399,19.005507,25.975948,21.229557,11.053099,13.440318,19.731117,25.891844,28.982872,38.653152,40.48086,34.542427,31.487614,28.67862,28.153059,26.436916,26.336514,28.277044,16.151703,0.3896804,-7.751835,-10.539957,-8.710717,-3.8928492,-3.6813023,-9.557447,-18.88753,-30.166855,-38.239197,-39.182056,-37.147743,-24.581566,-9.819717,-6.2509665,1.0466571,8.104754,3.8078966,7.516123,14.713825,18.555967,21.881405,24.646843,26.649202,21.63785,16.370455,17.57767,16.029177,17.347855,19.168678,20.513866,20.01819,19.845371,20.00202,19.857216,18.481514,16.322964
6,11.2549715,6.8079166,8.657697,10.282734,13.817959,15.673497,10.354277,5.8572454,7.256768,10.522764,14.307518,17.451897,20.766705,20.265614,19.059309,12.770884,13.712303,-8.298298,-18.30024,-21.692013,-24.94665,-31.993505,-30.794043,-26.852318,-31.99143,-40.588997,-44.387344,-39.17041,-29.112274,-25.579159,-24.260647,-22.978642,-20.792297,-16.39037,-20.154266,-28.96405,-35.521297,-39.175568,-25.927364,-5.8453703,-3.9403539,1.3595212,1.1290791,1.4946204,4.361214,7.328993,10.065716,14.727144,15.545339,15.044752,21.764723,31.45819,29.079807,21.857124,21.805494,20.851791,25.793892,25.233868,19.268026,14.463938,10.740724,16.20368,20.143131,19.868073,18.44616,17.017555,16.54925,15.697761,17.569069,21.638744,23.643574,20.574203,16.25821,17.714445,15.810413,15.8081665,16.39386
7,12.004694,9.180901,12.286488,11.686916,12.82364,12.317453,10.34701,7.8140264,6.653359,11.699302,12.6770735,14.58555,18.667612,15.57789,16.787739,15.197694,13.322365,13.055761,10.68718,15.089764,12.64138,0.039171815,-5.453573,2.4172778,2.0137987,-5.091281,-8.999905,-7.1793203,-5.96807,-5.207059,-2.4381368,-0.9558248,3.5028684,8.571002,11.044168,2.469097,-5.107726,-8.435168,-13.785841,-11.273586,6.200899,13.4061575,18.426605,17.152983,15.0878725,17.852985,17.80318,14.618471,15.889399,11.837455,12.849358,15.971052,11.002901,13.205849,20.721489,21.108128,26.441967,31.818317,28.739328,21.286823,17.63417,22.049051,20.955006,14.814686,13.697968,17.176716,15.923956,18.009014,16.355923,17.507849,20.198357,17.627668,15.908827,18.105644,14.39246,15.765688,18.494278
8,8.6592655,7.7819037,11.749971,11.042394,10.033744,7.176993,8.413557,4.0806475,3.8992329,9.360296,11.553539,6.6423526,6.755639,7.5027375,6.9061723,5.807405,6.552065,9.280861,1.320914,10.022382,5.581793,-3.6928182,-5.433835,-5.6466093,-5.7678347,-9.018861,-13.654854,-15.177724,-4.9891024,1.3282129,5.014363,1.9203582,1.6871898,7.3156805,8.235756,5.034092,-2.750576,-7.866712,-13.480871,-28.643482,-37.138596,-39.038128,-41.018745,-37.57596,-36.896454,-39.03945,-40.31669,-44.456436,-39.57667,-30.247091,-29.271124,-31.880875,-23.448315,-10.546989,-1.6203434,4.3492727,10.128399,12.786368,13.843644,15.376751,12.3409195,12.524086,16.590658,12.373722,6.8536625,12.195375,15.246951,16.332293,9.441446,9.022527,9.343371,7.135242,8.431461,11.140175,8.388394,5.8314157,8.847708
9,3.0385647,9.15673,10.672676,5.95605,4.29746,4.406607,8.189713,5.9451575,6.3050976,7.11994,7.8363943,8.106488,7.4580574,6.8274407,5.031864,3.3491092,5.1879697,2.6196976,2.4432192,4.088386,-0.34117615,-10.131832,-6.910977,2.2366297,6.023484,6.371582,2.892755,-1.1814847,-0.86167,0.101160266,-0.99000275,-0.9367108,-0.9224585,-2.5951078,-1.7736002,-2.3953922,-5.563363,-6.2885165,-1.7652522,-6.8492727,-12.595606,-11.049035,-14.447418,-20.431648,-22.971087,-20.544718,-18.042759,-16.168158,-14.8928,-9.366705,-6.0055065,-3.5970116,0.7846079,-1.5799874,-0.5081667,-1.8586276,2.4319336,6.0322924,6.3760176,13.130047,12.483623,10.516539,16.459198,13.545671,10.890203,11.917078,10.70573,12.07534,12.826635,9.071594,5.762135,5.3989105,6.405631,8.218382,6.214322,2.561804,5.72961
