,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
0,-509.4687,-510.36826,-519.20465,-519.9703,-518.2586,-515.2724,-509.86118,-515.8046,-482.5786,-379.94058,-354.2467,-346.83148,-316.88464,-363.58383,-426.4029,-416.98462,-445.13812,-454.49628,-433.84106,-418.09174,-418.2984,-442.31708,-455.4719,-459.96225,-460.97534,-457.03452,-460.71494,-470.6007,-484.79138,-499.49945,-509.80542,-514.8128,-516.81616,-516.75244,-498.3412,-354.4537,-285.99738,-282.20926,-285.17685,-228.2453,-155.36829,-102.98289,-86.18475,-94.59986,-109.97266,-133.23357,-167.06906,-201.27243,-252.23743,-290.25702,-299.94696,-306.4753,-320.54706,-328.72897,-253.19739,-216.92583,-235.25111,-280.40204,-278.59088,-224.32866,-214.70068,-238.5099,-246.66266,-258.4876,-274.3522,-277.36618,-281.0584,-290.64236,-303.81165,-319.60202,-338.13144,-371.05597,-352.73315,-222.586,-199.90363,-245.64949,-267.2778,-256.9514,-212.4192,-182.75839,-146.75981,-126.35006,-130.47171,-141.33154,-154.69008,-169.34215,-178.98257,-188.56606,-192.11613,-201.44092,-216.20143,-227.8305,-239.87169,-249.04329,-251.88913,-266.01508,-292.92294,-329.3842,-359.30627,-377.40448,-389.43344,-411.60486,-431.52002,-435.82404,-456.79385,-478.47934,-459.3219,-452.77,-459.8962,-444.66562,-436.49075,-457.42136,-480.8402,-481.898,-466.68045,-470.98944,-485.11966,-498.6144,-497.6894,-484.1242
1,78.65678,74.20897,67.06844,66.05534,69.45055,69.67819,68.68891,66.78577,30.206871,-13.13279,-16.62265,48.509827,63.22947,67.4368,80.65869,77.54126,85.017456,99.87516,107.07649,109.31557,107.135284,107.34544,100.707436,100.647675,102.949936,107.25427,105.46684,101.44493,92.50694,80.9668,69.088005,67.07474,68.794205,67.56253,80.854614,148.02654,161.45474,169.6744,162.32224,163.04456,160.42352,154.25568,140.1705,128.84961,130.75146,126.72197,121.151855,125.769295,133.63345,146.2877,148.20444,148.03197,146.39282,155.08241,161.23218,144.10364,129.15517,119.91713,162.50421,195.74219,197.69594,179.14029,165.67807,153.13573,145.4316,148.14801,149.32248,151.06403,153.09634,157.83844,154.04681,137.41077,89.774765,59.453537,40.943092,14.536578,10.612806,57.318115,97.73483,107.63721,130.76865,157.70966,178.07399,184.54884,180.8428,174.05634,170.48056,172.01978,178.45517,184.74295,184.92468,177.7279,177.60806,181.91592,181.8516,179.69183,179.52289,182.44879,184.73132,175.45317,170.7591,169.7461,145.15689,107.43506,92.55896,104.789116,128.42918,137.21149,128.0245,144.62372,150.79779,131.8482,107.65544,108.60812,119.666504,117.7021,106.52356,91.91374,88.99049,102.88165
2,33.163692,34.825478,35.424637,31.310856,33.81983,32.592354,28.645775,32.113693,46.783005,-9.342554,-22.147692,9.405775,3.5847268,-9.279323,-1.0640771,-6.9757175,5.326627,8.669411,0.00037896633,5.9866624,9.377063,6.3759203,2.275175,3.9911487,10.153083,11.241684,11.072868,16.906658,22.332073,27.952835,28.725124,31.021618,31.582743,31.07782,42.038956,71.73885,84.23872,78.535934,52.929813,28.572983,-4.167012,-28.178963,-36.79048,-43.294502,-43.694977,-36.25482,-19.320103,-13.475917,-20.21959,-32.582672,-29.223742,-20.339926,-11.014296,5.121383,24.353697,27.33898,21.01493,18.553398,35.275726,9.111961,-14.806442,-25.153915,-28.50698,-32.449024,-40.224834,-43.475395,-46.391426,-46.454258,-35.04859,-21.260403,-8.323094,7.9265537,11.462869,16.755241,23.226093,17.504599,1.9803231,22.185852,-0.6405465,-23.225428,-38.790215,-48.822075,-57.735138,-53.18672,-40.615097,-26.52064,-17.72807,-14.134498,-8.609249,-4.021304,3.116871,9.787544,17.644192,24.112705,28.534607,30.957888,37.367897,47.19182,62.25872,68.217865,71.808304,81.6035,72.4373,31.472397,28.03746,56.973957,72.36716,72.20821,70.36431,68.91589,62.194004,63.042915,61.98494,65.2239,69.406815,68.07,63.763138,54.51608,54.059204,56.95594
3,20.027191,23.619963,21.509613,14.091188,14.510952,17.079056,20.816914,21.972755,28.094896,53.118034,56.828915,56.570904,49.579422,38.95432,13.695463,15.7443905,11.378328,-0.8386925,-5.4009295,3.095862,4.865498,-0.635367,-7.7825394,-9.926168,-9.090363,-13.541342,-12.058258,-7.5885687,-5.4789467,4.901857,14.7041025,17.031492,16.930477,18.232822,17.613037,6.2693434,18.594448,38.92158,45.50424,20.439152,-0.39855814,-9.585872,-10.508405,-11.216898,-9.652957,-6.825697,-0.6848318,11.16596,39.50215,56.848587,59.438133,63.9223,65.59561,66.42999,9.415386,-21.28796,-13.83764,4.6838884,41.277603,48.755722,48.580177,61.65452,69.036446,73.03429,77.39125,73.06615,65.658844,61.940666,61.95962,59.742485,62.931038,68.52042,53.245407,40.371967,50.840363,73.257965,71.46641,95.71425,101.48018,89.33604,59.09182,30.768793,4.3225617,-9.2669115,-7.9652443,1.6025004,9.546034,13.650392,14.800089,17.786606,24.820808,32.308586,37.802555,37.98625,35.168922,35.487995,36.129745,34.59935,34.31404,40.77797,46.676754,47.367603,53.291367,55.40463,50.16972,44.224632,48.849533,43.86496,44.326263,32.315727,17.928335,28.46997,41.988117,41.85009,39.830906,41.627758,43.23658,39.74547,38.54467,35.910297
4,20.91343,18.053402,13.983208,9.729109,8.944434,10.459178,13.318926,16.709534,-4.9561634,2.975297,7.7333465,0.041004658,0.5177256,-0.60875165,-7.2861376,-0.09466612,8.036522,11.635017,4.0259194,-0.84441435,-1.2550621,7.631668,11.982853,7.0225754,2.970848,-4.0774984,-5.6451817,-1.2826827,-0.12846945,4.997655,10.699206,10.070972,12.204639,14.871462,11.253647,-30.039188,-24.937696,-21.845106,-30.472458,-55.645973,-67.94478,-67.90378,-60.45242,-52.323326,-46.765305,-39.58717,-19.711752,2.534254,23.272284,35.785995,40.947395,42.11311,43.59133,39.349728,-25.88115,-51.27208,-56.294044,-47.201668,-29.286285,-11.554081,-0.25987,11.752289,22.287037,31.158972,40.5564,41.05809,43.000366,48.160034,58.245247,65.03412,56.86664,44.924614,-7.9718924,-30.18967,-27.645231,-15.011112,-21.087864,-6.038709,9.371723,15.655089,5.89414,1.978615,-10.598882,-28.316648,-48.681076,-67.48682,-80.13603,-83.786,-85.65285,-86.64527,-87.21274,-86.71089,-86.11122,-85.028046,-84.99488,-81.041214,-69.64212,-51.750298,-36.79833,-26.243132,-14.7535305,-3.2133906,12.102373,15.457441,16.27335,27.928223,20.774836,17.990381,19.04712,13.826241,5.000352,8.754919,24.421108,25.432215,15.594536,21.612642,27.16896,26.39534,24.236351,18.54657
5,15.597445,15.749929,14.086895,15.0368185,13.688011,9.305523,9.921171,13.40852,29.434418,25.351406,26.490232,7.368184,15.419018,22.559061,22.830214,30.16333,26.37574,19.94648,18.557571,21.590014,20.46252,17.645237,20.411919,19.521595,18.074955,11.428688,11.602503,15.977222,18.251144,17.353724,17.540068,15.566525,14.546783,13.47731,-0.21961093,-25.766155,-19.98056,-28.8916,-40.844383,-48.99214,-42.122795,-27.33234,-15.313061,-9.464491,-5.771303,2.067052,9.722428,2.608858,-7.829601,-19.6536,-15.712996,-17.429901,-21.19283,-18.764515,-6.9554763,3.9823885,3.4610634,2.8924446,-10.397757,-47.549835,-59.36154,-52.191483,-42.50997,-37.9272,-32.084274,-31.290464,-32.63568,-31.834595,-24.430487,-12.421871,-4.007873,-2.5261047,23.584518,25.697708,19.95773,19.997822,20.31741,21.272358,5.19238,-8.890908,-21.907558,-18.592228,-5.534913,2.3532202,3.6726613,8.322676,10.186981,7.3926744,-2.3353443,-11.328709,-17.645891,-20.951242,-23.197378,-26.226841,-27.719597,-27.727283,-30.45867,-33.46098,-33.35711,-33.09223,-31.633297,-26.181347,-13.0868,-8.761713,-2.5150723,19.42891,17.240528,12.138423,14.56095,13.54855,5.580946,6.8160973,20.632744,20.865791,20.636538,22.934074,20.174088,18.256958,22.44703,19.659134
6,10.309292,11.652129,11.428559,15.559249,18.236732,12.228706,14.97455,12.685026,-9.858678,-4.5190296,2.8209753,-20.402527,-27.404799,-15.373322,-4.278661,-12.031317,-3.4271092,7.6739106,5.7926188,1.7513609,-0.06078738,6.86605,11.489139,14.160229,11.896534,13.090931,21.139668,21.302094,25.517347,22.044521,19.275764,19.234951,14.017158,14.079094,4.823475,-20.482141,-17.763933,-21.3336,-22.155579,-14.572391,-7.90322,-6.855136,-5.366001,-8.233744,-16.061878,-21.043781,-26.139301,-27.836807,-23.235073,-13.541204,-8.890799,-6.710486,-2.1525939,1.4494443,28.980392,20.356964,7.4941244,3.1931214,3.7559476,-14.621577,-20.517162,-21.710224,-21.287811,-21.235733,-14.140224,-5.195429,-3.203319,-3.0017633,-5.0899763,-4.5103216,-2.1902788,6.9574866,3.4871154,-8.277128,-7.5522003,4.093837,12.559616,3.6145697,-3.069413,-10.207029,-18.818459,-21.803856,-19.17751,-2.7448678,19.655941,28.962616,33.811634,35.25564,33.539715,33.03382,33.34658,32.481544,30.751755,25.083963,19.308346,15.470648,11.515432,3.9682045,-5.044388,-9.780598,-11.552821,-10.145565,-6.8037157,9.581594,22.055151,25.299177,23.264008,16.493114,13.222673,14.026408,8.223229,11.951609,19.08885,14.682426,12.490877,16.49725,17.500748,15.670561,18.626509,18.496641
7,8.718886,9.813408,12.174591,15.277147,15.356012,12.702175,15.324716,9.7181835,27.702728,36.234997,32.490047,0.2643036,-4.9734707,-8.310464,-8.479216,-11.311434,-9.864371,-3.771705,-7.9453764,-7.432044,0.107539296,-2.3153615,-2.1253524,-0.69379294,-1.4449248,2.9695709,5.4998655,6.994547,13.718735,15.017741,14.256031,18.354633,12.688853,13.162312,0.9732202,-24.122452,-23.135378,-13.538473,6.0856657,21.321829,22.510784,20.05946,19.063786,16.303455,8.762632,4.1610656,-1.9902253,2.631819,16.146414,15.026372,17.528578,16.215668,11.716738,9.281778,32.600487,24.54523,19.147745,12.400627,12.193022,12.998247,10.278415,8.166784,6.6364813,5.613223,9.75204,17.78423,20.068993,22.133047,18.669676,12.102964,0.13143885,-3.8650832,12.572765,17.590424,20.583185,20.5573,15.071839,7.4240856,9.36097,4.549939,-6.463559,-11.91678,-5.8050585,0.8071193,0.8931029,2.942505,5.909896,5.4660277,3.6046295,1.0129666,0.21257965,1.4671004,1.7056261,2.1631155,-0.50210315,-3.9185407,-8.190506,-8.590541,-8.77984,-6.8857064,-8.824596,-5.5303445,0.081104755,8.021488,19.639708,21.672066,16.200172,10.818421,11.956268,10.250596,7.876733,11.096001,11.416168,7.6543703,9.135308,12.300827,14.055639,13.8958025,18.207005,16.806307
8,6.9010725,10.396458,16.477024,14.842292,12.028806,11.197144,7.2816052,5.028315,0.3188972,-6.413747,-1.6594596,-0.024585366,2.4340637,-0.2967962,6.3982472,3.0538409,-0.90142334,-3.1772542,-3.680771,-2.1566875,2.9101834,-0.24235027,-3.5931997,-2.8716767,-4.438608,-5.327924,-6.9307017,-5.892418,-2.435382,3.9374318,7.9751377,17.764517,13.80837,13.402542,5.122531,-0.19304687,-1.2885067,-8.762133,-25.346212,-30.759453,-33.11148,-33.31559,-33.53685,-33.435844,-34.645138,-32.63019,-33.040604,-37.5338,-36.802208,-21.799633,-17.668095,-18.887232,-22.250175,-23.912472,9.047106,19.018673,14.461391,9.1451,-1.6594559,-16.109234,-23.938679,-26.018078,-33.00827,-35.47741,-28.522709,-17.954773,-13.002486,-11.839656,-12.429026,-9.665337,-10.295673,-17.391275,4.2707253,7.1020555,7.543519,1.6373193,-6.6478033,-9.243967,-15.590544,-25.569801,-23.15844,-19.844936,-12.527299,-5.8475294,-3.9290504,-2.2290173,-1.4933099,4.426752,11.355374,15.89183,16.270107,14.431749,13.397172,11.2546425,8.600586,10.171634,13.979168,17.579786,12.358717,3.9279244,-1.4276553,-3.3366091,-2.9855227,-5.954438,2.514911,12.781307,9.887285,4.1682534,9.469629,8.157558,3.9434772,8.451061,11.516188,6.7271233,4.8518424,6.971242,8.035721,13.312043,14.533585,14.198547
9,3.968556,7.4899454,13.437213,12.035748,8.9007225,8.827558,3.402422,-0.36553848,7.0024276,5.585062,1.4323676,-0.93925637,3.0669484,7.111189,6.6474934,3.2664566,2.715839,4.5232234,5.2223263,5.9798274,6.4291553,6.42647,5.413045,2.8022938,-2.3955088,-5.9252887,-2.8017788,-2.418463,-2.5700414,-0.89271617,2.3241146,11.136206,10.236592,8.273262,0.23564857,-9.643178,-8.485889,0.056809872,13.136137,10.040306,-0.79335827,-3.1271734,1.9984424,8.718952,5.960928,-0.68608916,-6.254367,-11.560934,-9.763464,-10.476051,-5.6054225,-3.0071526,-1.4679015,-3.0606296,-13.829422,-4.881755,-2.8970342,12.849568,4.153714,3.5544887,4.3662844,3.151929,3.0120065,-1.0753118,-5.195922,-5.3490815,-6.7120285,-6.7588468,-4.910905,-1.3457726,0.3141466,1.3892561,-4.9614506,5.1374187,6.0917673,10.129499,12.770998,0.45786035,6.4887676,10.604268,14.459498,20.85083,23.345903,16.790903,13.682367,13.139935,13.070315,14.353269,14.240196,15.214523,17.70654,18.690397,17.140043,15.869745,13.995994,11.002092,10.003622,10.9689045,6.21121,1.6335766,4.3861985,4.8716335,3.1537485,8.396328,14.739559,8.467094,5.2175913,1.4094738,1.6314805,4.5979843,5.0564957,6.0702124,7.9982324,5.175441,-1.8568909,0.17500539,4.552352,11.219032,13.201303,10.13199
