,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169
0,-542.51337,-518.94836,-521.6043,-523.054,-524.16406,-524.7437,-524.8809,-488.44138,-464.57782,-501.75467,-520.8924,-520.9122,-521.7586,-520.0478,-519.2051,-520.8616,-507.92053,-499.3826,-510.38043,-479.6818,-384.23926,-381.53055,-471.4088,-485.14813,-469.088,-436.4909,-423.12433,-438.33914,-448.46634,-472.5286,-502.2567,-516.8119,-421.41595,-306.43658,-234.58368,-186.83458,-195.12744,-212.47833,-88.53168,-22.81746,-25.274334,-61.952408,-89.05878,-117.23315,-157.36119,-189.47598,-191.63754,-193.39908,-237.0572,-300.2278,-227.20583,-196.79875,-207.76425,-203.54097,-210.33755,-234.95569,-260.18335,-308.181,-383.1068,-341.16565,-291.42538,-260.97812,-243.57027,-234.1868,-247.33374,-263.67297,-272.40543,-299.6062,-296.94666,-261.05243,-229.25757,-208.60275,-205.11176,-208.62907,-214.06462,-219.70412,-221.22917,-226.34468,-251.77498,-279.30643,-284.26822,-262.2369,-218.35725,-181.41345,-167.58867,-175.85529,-186.88017,-213.45555,-258.7157,-313.1427,-361.44818,-367.20383,-365.42722,-382.175,-411.54053,-437.87018,-467.0277,-477.1475,-428.46353,-430.9184,-478.62778,-515.9836,-523.0937,-368.8319,-227.77753,-217.87546,-273.12857,-286.92108,-291.88998,-264.779,-205.51366,-186.5105,-176.47495,-170.50005,-175.5415,-202.87935,-249.13243,-292.53088,-323.48676,-334.74966,-289.96426,-230.47887,-192.66202,-175.1078,-171.65036,-170.36841,-190.01535,-217.96156,-228.21729,-261.75977,-302.18347,-344.9807,-355.3954,-357.00778,-418.2885,-506.64365,-376.17407,-275.3253,-254.00809,-281.5927,-302.85696,-307.01044,-312.30597,-313.79135,-297.37347,-295.7218,-323.89838,-374.35275,-407.86087,-344.1194,-286.6474,-253.97627,-214.33661,-213.8292,-247.45569,-269.3058,-286.67154,-311.07037,-327.38422,-329.84186,-334.05823,-339.97766,-356.19904,-390.59146,-403.38953,-392.68814,-433.41418,-502.0639,-505.6189,-497.98157
1,74.30611,69.01056,68.86558,66.78685,67.21332,66.90556,67.41608,48.626953,42.81476,62.64319,67.08122,67.012024,61.35399,64.736015,68.61342,67.09412,62.0185,51.077168,64.40807,74.630264,90.97194,91.04433,76.29309,77.92209,81.83015,85.47992,85.4419,82.03602,83.61482,77.79338,74.55029,70.04438,29.871572,-26.086246,-53.282707,-59.265846,-73.98241,-82.74338,34.354652,101.7239,139.42215,158.73845,171.00974,175.293,166.03824,159.11664,167.70181,164.1695,155.91455,115.00727,74.27261,51.056667,35.366436,45.29422,51.4184,49.8217,51.138493,53.012436,55.39201,-22.772509,-66.16119,-78.00346,-50.73741,-12.48184,3.789301,-12.651503,-22.940697,-30.018652,-62.440605,-78.97743,-80.716705,-70.99084,-69.19191,-55.620502,-10.158133,26.688717,44.540283,58.90117,74.48587,87.81218,92.93303,114.905975,139.2512,141.98248,135.6001,133.24933,131.4355,132.09012,135.0059,137.1142,141.13925,136.94403,131.08205,120.71822,111.69656,110.229996,111.29606,94.33144,70.49777,53.648724,47.19734,67.96252,63.890438,80.97584,80.5052,82.37907,88.10956,83.56178,90.68649,131.18787,145.21002,112.35759,86.551476,67.47389,55.50273,53.15455,45.580616,39.799232,58.48713,72.41354,47.387184,11.9321165,-4.1442995,-4.922433,-1.7188017,8.944129,14.674637,40.95984,103.53722,150.66661,151.43439,141.5997,137.96053,133.57245,119.44504,82.872765,121.292946,136.6393,156.02222,173.25287,151.02786,146.10913,136.84044,131.44495,131.29681,127.51527,121.865654,120.66655,126.60132,96.54547,17.532375,-27.635542,18.508167,105.260254,154.08148,162.93704,184.52356,193.85492,189.64737,185.01828,186.90775,179.67941,174.08737,170.36157,154.4578,146.26808,129.00244,87.473526,82.7847,91.48547
2,30.061985,28.217506,30.59211,31.40646,30.926605,32.286064,32.906303,16.998253,10.506037,23.750856,31.132866,29.818115,27.53099,29.182974,34.394337,33.650238,24.99703,23.456503,30.575493,18.38153,-2.2054281,-1.1446213,16.016895,16.576878,10.230275,3.551773,2.6176124,-2.5330107,0.09077538,9.9936905,26.213852,30.8266,10.617423,31.785679,38.861153,35.67887,51.633625,58.282204,53.18547,5.5294456,-30.199154,-47.98073,-38.994682,-21.376987,4.706214,29.502193,19.339882,16.444374,18.810303,28.626549,19.123568,15.110138,16.633354,22.823093,23.155365,20.721724,28.872847,43.49727,58.081085,80.286255,66.53454,51.755157,62.056877,66.03989,54.325897,55.83864,69.6676,88.38071,84.91432,66.22644,62.882935,61.951912,46.327404,45.5102,62.096733,42.89547,22.169369,11.481255,-1.0876353,-14.027843,-17.237247,-21.054802,-30.459381,-31.25695,-35.010445,-35.697365,-26.802197,-7.7672434,11.0816555,18.082169,11.832867,3.3527248,-0.09372218,2.1725879,10.605736,28.62749,49.35692,50.96784,46.983658,34.442966,19.334778,30.939213,33.465096,-13.594188,-19.32687,-13.3462925,-29.049044,-55.29488,-49.9271,-30.025597,-51.803795,-67.77398,-69.08214,-60.882458,-39.01426,-19.122448,-3.930899,9.466469,15.571045,14.350821,-12.399511,-31.317621,-41.21659,-43.658916,-38.525963,-31.015255,-36.590714,-28.164507,-14.18754,-11.010377,-0.7922088,7.758751,2.5943,-3.5817184,16.92958,40.40569,27.708277,49.209778,62.550385,42.90325,17.732254,4.206929,-13.041516,-24.287476,-32.327885,-28.774128,-19.50048,-4.3616743,20.51378,10.152121,18.52105,13.689189,24.509102,29.023937,14.950447,22.354868,40.941116,55.806282,67.42383,74.400986,82.02055,84.03987,76.785446,74.026024,66.89241,63.264122,56.79565,34.277122,37.646988,36.651634
3,24.892935,20.293022,15.392403,17.34943,17.417334,22.984047,24.239132,12.306826,6.813434,15.008192,20.941353,22.650501,28.811756,27.42104,25.214828,23.824362,27.146736,41.36599,32.809067,30.820282,44.745136,45.472878,35.93454,28.477528,26.821941,33.943558,40.32174,36.512314,29.03946,25.95596,24.959473,24.536049,38.75863,30.317196,10.593559,-3.840143,-9.388044,2.7600768,-2.2964067,3.5018222,2.2380342,0.20723675,2.6193197,11.557134,17.275356,30.769817,24.991276,20.568855,31.055027,62.753193,94.208115,103.03387,100.24144,96.53052,101.093864,105.0789,104.590515,99.107216,58.729843,24.44747,30.879402,39.34296,63.341145,78.94638,86.31357,76.95164,62.973297,52.90995,39.51816,21.72019,18.847122,22.780823,31.927185,49.92053,80.00639,97.51083,108.37216,112.01993,114.405,107.229385,93.32831,81.43776,64.44682,51.461372,48.77008,48.300415,44.334908,44.011,41.425106,51.803658,66.174446,73.01655,76.14742,74.46173,71.883644,63.77041,56.13701,51.04825,51.944138,60.83577,60.600613,32.42892,28.243073,27.743317,28.082447,31.589817,21.631992,5.4048195,5.4148874,-6.4185348,-10.105967,-3.9757822,3.016233,14.077967,30.343906,45.24385,67.33681,81.95975,78.861046,83.95546,92.88501,88.25781,75.97398,70.20648,73.22803,79.00258,73.843155,84.35961,83.06492,75.04465,69.34097,59.283104,51.59135,45.09845,37.356853,31.354572,-20.12622,-17.104877,11.179516,32.421017,44.56766,61.996407,68.319496,66.62172,59.385452,53.445786,53.847656,60.064484,68.32587,69.24335,47.14917,43.477623,44.43814,40.890812,42.70169,33.898556,41.375847,51.73523,61.44696,67.48198,69.949844,61.58043,51.275917,49.933525,43.91353,34.49125,29.954197,17.216059,18.827084,20.915844
4,20.61911,13.935694,6.89869,9.075535,12.048325,13.33684,15.74111,28.204758,28.845406,18.614174,10.615862,12.848701,17.673943,15.271738,11.099436,12.703684,5.5680304,1.2796175,10.9416485,10.472731,-14.593199,-15.748301,3.7236655,8.59961,3.9387498,0.5250697,3.1709208,4.797087,4.046775,2.989703,6.8107853,15.920673,-7.9248385,-12.951059,-24.580545,-26.759178,-22.367462,-13.794801,-35.001198,-53.122185,-64.40212,-76.10763,-79.95245,-88.269005,-79.5061,-59.228577,-37.436558,-14.605466,3.0115607,-2.543017,-11.924757,-7.047869,-3.050434,-8.881441,-10.869606,-9.362171,-1.3192923,5.3422275,16.823391,3.0503526,-9.010612,-20.803574,-14.437799,-7.126566,-6.747201,-9.151875,-3.5575545,8.758553,6.270767,-11.255478,-23.347345,-35.314545,-38.83285,-32.162804,-16.831963,-15.871504,-17.707592,-12.807583,-2.3273354,14.150785,22.663296,23.852884,18.180012,9.638857,1.4035158,1.4608711,0.9521853,3.796741,17.235247,33.810448,42.43116,45.972992,43.746487,42.277435,43.358437,41.181694,37.993546,22.382027,-7.195095,-15.140866,1.3272243,20.491632,15.731015,-15.89218,-23.336502,-16.337221,-8.021909,-17.879642,-21.680782,-24.299526,-32.645485,-31.83358,-23.595125,-24.303082,-21.244724,-11.110295,-2.5666776,2.044521,11.209701,4.9158115,10.889366,11.076184,5.2256217,6.424322,9.605018,12.723909,8.713623,17.150162,15.056614,16.797184,26.471813,33.707684,35.195824,31.022043,34.97944,27.37559,-51.190292,-51.6725,-44.819557,-31.285906,-15.453348,7.6203136,20.916925,22.745647,11.201228,1.2756343,8.189068,35.648613,48.39836,1.6244967,-14.963825,-4.0823183,2.80091,-14.535995,-30.286892,-42.108604,-45.468605,-40.80003,-38.52626,-42.37043,-41.819256,-39.501217,-35.23271,-28.529991,-22.014431,-15.650785,-9.670575,9.991602,8.461351,11.441349
5,17.638746,18.722809,18.531498,19.052946,18.686003,20.024044,21.346313,18.83765,18.229916,15.758231,14.591074,17.022007,18.239464,14.466647,15.844154,21.095196,23.558193,23.529804,20.903826,14.008361,-1.3980792,-3.9995563,3.9480214,7.2208147,6.2879934,-0.9234889,1.1290793,5.4579673,7.1137576,7.957509,9.931913,17.231274,36.65698,37.49035,38.801025,28.615892,22.6795,27.138344,18.81369,8.724635,-4.638424,-15.721327,-23.855368,-21.883919,-22.753334,-19.17426,3.1111033,29.808502,41.784775,38.294853,13.698194,7.7193007,9.439739,6.2767572,4.563443,8.36467,11.440668,13.422262,32.05946,30.251724,23.312609,27.50151,40.238747,40.570297,34.436302,22.842968,17.99591,19.789053,25.33055,20.552555,19.648874,14.130499,15.896324,25.203213,27.332453,24.009579,22.167809,15.859846,6.478719,7.4634395,14.834784,13.562412,-0.24423641,-8.916081,-9.690128,-12.187933,-11.651615,-7.3191347,-1.7448314,-0.08304751,-4.1790867,-5.8249006,-6.4278326,-0.6353634,5.208167,9.952673,16.58096,20.672588,5.9384108,2.3423674,10.87955,13.792077,18.828342,18.080196,17.657963,19.195557,22.849497,26.930492,30.17373,29.187635,24.022062,20.455551,10.623967,-3.2989268,-19.441164,-27.4105,-18.444057,-9.094891,1.3914094,14.545004,25.432499,28.763868,20.815693,16.19525,21.186686,27.52887,28.606342,35.350838,32.554165,28.842264,28.522087,35.806725,43.795227,49.081123,48.27291,26.564222,10.192235,11.439714,-5.671934,-34.73493,-47.700867,-42.641983,-31.754135,-22.41627,-13.743198,-4.605023,2.5264428,1.3831851,3.3534703,9.386353,12.328923,23.925852,32.315285,16.870836,-8.572615,-28.28437,-44.755844,-49.803623,-45.699326,-49.495087,-51.963333,-37.042774,-24.574177,-27.982834,-21.836636,-20.512573,-14.782896,13.881422,13.610227,9.956437
6,13.588471,15.489025,11.536585,12.198254,17.078909,16.227913,13.793184,7.696785,5.585947,11.351919,12.875841,13.5332775,11.888132,13.163984,13.94544,13.700338,15.633202,14.527599,10.848471,-6.8340535,-9.522951,-8.458614,0.014024794,6.5782213,12.896858,3.8458982,-0.14492792,3.6438427,6.1702557,11.604494,13.985008,10.326461,-0.4538592,-12.351753,-15.523634,-22.843351,-26.29797,-14.621061,-8.631851,6.535927,18.085564,20.667782,20.014753,11.873207,12.120867,22.166687,32.346294,23.395718,17.552938,4.723708,-5.6897717,1.5091908,10.770117,9.4584,10.679687,13.526318,15.766492,16.835121,17.240353,12.100374,6.4321423,5.945759,9.588453,2.062226,-2.2614956,1.628654,1.4638335,5.717457,12.279398,9.77685,-0.88705873,-6.6385574,-6.7311783,0.12754583,-2.9607222,-8.285898,-12.892997,-9.72839,-0.33454484,0.47747242,-4.5648804,-14.726248,-20.024094,-23.306362,-23.931568,-20.26867,-21.695795,-19.518246,-17.500393,-10.885035,1.0661204,5.712478,10.340111,10.021827,12.061359,10.425652,12.598319,20.265545,10.327305,11.6386795,25.805836,17.297195,14.230602,-6.618766,-13.296582,-11.051039,-8.415021,-8.708167,-5.399914,-9.943085,-10.148329,-7.900816,-6.570381,-10.734024,-21.342133,-29.025335,-19.460953,-4.0388784,1.2388005,-4.857793,-16.244576,-13.573678,-16.2239,-19.379581,-16.54012,-19.091095,-20.613241,-21.224941,-20.989809,-15.505097,-13.5089,-11.51697,-3.308072,3.5268478,11.148659,15.758421,5.8962827,6.133032,6.4520597,1.4418939,-6.22075,-16.829582,-23.516266,-17.006157,-6.617466,-3.8073754,-2.8811371,-7.9460363,-2.6898642,15.094204,9.405352,1.3333325,-0.27811974,1.3175489,3.2273264,0.25568226,-7.527471,-8.547964,-11.453066,-10.234482,-9.711309,-13.451979,-7.7245865,-1.3567348,3.6898935,-0.33320737,-2.870896,12.909535,9.8971405,6.278064
7,12.206158,17.021751,11.474628,11.07893,14.314608,16.922148,17.948442,17.715328,18.747639,14.813514,14.196709,15.3136425,13.06358,14.999819,15.903123,15.657936,20.583788,16.82392,12.460442,2.1744277,-3.241372,-3.8317142,-2.5350332,1.6371821,5.9411106,3.8466415,-2.0090008,-3.9318686,-5.2700043,1.8464377,9.424781,15.233826,17.530151,19.793276,20.65229,14.174509,12.810573,22.23864,0.6638595,-2.895012,7.7229433,20.127476,26.667099,24.832132,18.322521,12.468971,11.487584,5.4935966,0.67725164,22.559738,30.058495,26.052156,26.819687,24.404278,20.195148,16.672403,15.9246025,17.622276,13.456685,17.466581,23.318272,19.647293,15.261585,12.734627,19.397724,23.259342,21.819126,21.917168,18.99781,20.32246,22.144926,20.540287,19.218292,20.141205,15.955881,14.760723,16.289932,21.831596,27.949286,26.36641,21.870779,4.9212694,-13.809895,-19.577469,-10.691395,-3.0548158,-1.9862585,-1.963582,-3.445764,0.8955587,8.377335,14.308917,13.712101,13.922905,16.475573,17.041752,18.784073,16.847832,13.416502,13.966953,23.14547,19.759499,15.213845,-7.0279303,-9.715572,-8.314353,1.5116973,14.227533,21.435665,23.725292,18.473972,17.237072,20.595303,24.033821,17.648401,10.169584,12.778194,21.26921,18.809906,14.870209,18.487354,21.16904,22.35717,22.86978,23.573494,21.992043,20.41806,17.337803,9.834913,-8.080297,-17.701313,-19.950153,-28.55228,-26.902447,-18.130533,8.198549,12.739838,11.048054,5.868561,4.1930747,6.329908,6.3078127,9.149103,14.827486,22.086445,24.834831,26.32064,21.52708,15.818455,10.449943,3.9612212,-4.761344,-16.3962,-8.715754,15.035421,22.2266,11.112638,-2.0805192,-14.356037,-11.803453,-5.247973,5.4071097,14.2344265,4.884075,7.0930185,11.28,8.972723,19.777107,14.2637825,12.605411
8,6.18824,11.821682,9.621733,4.1311955,4.5080323,7.518488,9.857183,6.081091,3.5098152,5.1713314,6.0918555,3.7262924,6.3162436,10.855076,13.223883,14.471258,16.01928,12.788943,10.971258,16.891996,17.500324,16.848324,10.181957,7.9257665,8.778505,2.9352312,-0.2713933,2.5941567,2.0635898,4.632097,7.8605747,11.036543,12.478475,8.116287,6.977704,0.61860067,-3.4359896,9.0571995,-7.608514,-14.798601,-24.174301,-28.768032,-25.426937,-20.094456,-16.229372,-5.1922398,-5.3350134,-10.347628,-8.076628,-13.792912,-18.28557,-27.990784,-31.951054,-32.285942,-28.45956,-23.080679,-20.712452,-13.368941,-13.615627,-6.9084687,-3.1369653,-5.9016857,-14.644035,-20.243473,-16.832096,-4.843919,-1.9587231,-2.9262297,-10.14681,-5.30758,-5.66985,-14.235392,-14.581338,-15.737719,-19.9779,-10.527043,-19.30487,-24.556086,-21.675642,-10.689716,-7.8146667,-4.57221,-3.4243493,-3.793191,-1.8559414,-9.0997305,-13.823124,-12.129694,-14.507944,-16.908941,-7.6480384,-3.7988806,-2.9246619,-2.896647,-0.22032726,2.026586,-0.54261523,-0.07826465,-4.6295233,-10.676031,0.16410246,9.90976,10.757593,8.114347,6.6582355,8.979759,11.791225,15.127712,8.791933,-4.2022915,-7.791073,-4.4504004,3.441407,11.060606,9.199436,-6.8924694,-18.763569,-16.040276,-12.318779,-5.3104963,-4.220673,4.683971,9.080831,8.596223,11.081942,12.78196,12.108638,12.506962,7.933765,8.862961,7.4861584,9.358801,5.216152,5.727455,2.4549596,-2.7900598,18.423306,22.437248,16.348717,3.5890827,-6.983325,-16.957167,-24.51746,-22.326935,-10.173796,-3.1180105,-1.0598898,-4.8626714,-6.6793175,5.734584,13.646258,19.827965,3.410478,-13.074293,-27.304869,-22.589535,-25.241379,-27.071564,-28.179003,-25.966185,-20.936367,-20.094658,-18.726421,-12.011269,-1.2206901,5.536256,8.337166,11.852859,9.144221,7.147908
9,5.8797216,7.591775,7.489552,6.804487,5.7217875,5.548733,5.2817225,5.6047626,5.379463,7.805663,6.6652765,0.712598,3.6801133,10.025875,11.090968,13.256676,7.610338,-1.7237716,5.5621977,8.268766,-11.880077,-14.2080345,-0.8414399,11.3165455,14.359232,10.907467,13.320428,14.876351,13.666269,14.8523855,10.17806,8.950298,2.8514705,6.5570498,5.1503787,-1.6956065,-5.1624327,-0.2640335,0.6527517,8.418753,19.557566,22.787033,26.172295,22.724152,21.543385,11.416586,-8.61385,-11.09525,-6.1337094,-7.643456,-2.313971,6.9605904,11.928389,10.171411,9.170014,8.5584955,7.752952,4.6069636,1.4057269,5.9001007,10.004063,13.762441,3.0453358,-10.960254,-8.143772,-1.021022,-0.28152847,-1.455317,6.4494514,12.060911,11.875085,8.790073,8.527063,1.6111733,-10.637243,-7.7420416,-0.52222264,0.67270803,-6.9240084,-13.23921,-13.506199,-10.697594,-2.702822,4.582263,9.562467,17.446213,20.507362,13.011135,3.9839227,1.4041065,0.19957669,0.95168173,3.9280808,5.4054275,6.264682,5.1802936,-1.7662656,-5.3669586,-2.1380746,0.2680508,7.5156145,11.107899,7.780534,5.1707616,9.901173,11.454443,13.562659,13.905659,8.327147,-2.4323468,-1.7609661,1.3691862,8.423047,9.056148,6.321562,3.1456122,1.5091068,3.676745,5.3462152,-3.4075332,-13.130655,0.8895201,8.620531,0.6256863,-4.4050646,0.20113371,-2.689705,-6.591728,-12.167782,-9.373084,-2.2720804,3.5985029,4.9180417,5.5534816,3.1759174,-4.031158,-3.6798158,-11.43033,-11.585102,7.546036,13.482037,14.388018,7.704855,0.34313098,-6.3188014,-10.298973,-17.007353,-17.008417,-10.520644,-1.0796826,6.077594,18.311003,9.047834,0.29395652,3.2318513,10.230497,9.076355,6.5644617,3.7795696,6.238332,6.607777,9.513133,7.9004316,2.8639712,4.2108674,0.20032755,1.419059,5.251544,10.178764,4.1167703
