,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
0,-486.9173,-500.6543,-520.90936,-523.6705,-523.7437,-523.60095,-523.1815,-520.3187,-515.44995,-498.4307,-418.07355,-383.53757,-442.06577,-500.55856,-505.00305,-503.218,-499.7867,-491.75418,-476.8888,-479.9003,-481.5914,-475.47855,-478.83337,-481.38556,-479.76013,-475.9948,-487.27252,-502.9875,-508.44254,-513.4859,-453.60666,-322.4175,-214.90811,-148.02296,-119.857315,-108.460464,-115.48282,-125.651955,-111.59963,-91.82589,-109.474686,-138.8251,-164.72054,-203.96535,-258.927,-294.34293,-305.1741,-311.59763,-328.3152,-335.09714,-328.46002,-319.3241,-331.45444,-340.14563,-340.01498,-318.08847,-266.1179,-200.6034,-151.69902,-135.07735,-133.72069,-143.01924,-159.94278,-182.51067,-204.7813,-235.58278,-268.83423,-308.40762,-355.26648,-376.2583,-382.5786,-393.5082,-406.7971,-414.02533,-413.98935,-421.7595,-429.47232,-438.6149,-462.46573,-494.39603,-505.65268,-505.99435,-509.71713,-516.3071,-522.3745,-521.5042,-516.1567,-516.37286,-520.46765,-522.0281,-524.25885,-521.31116,-520.9531,-517.2076,-517.3661,-522.2339,-517.51276,-508.6501,-516.70746,-520.3194,-523.8238,-524.299,-547.25024
1,103.18977,82.31201,66.26371,63.716675,65.26223,66.807625,69.29591,70.51999,69.21088,61.273277,84.8517,85.67447,77.36916,80.70157,79.28893,80.0853,82.25748,83.312836,77.24556,80.61487,87.91971,90.29831,88.808426,84.42336,82.134735,87.721985,81.39288,74.31475,80.404755,78.970245,53.373165,15.377488,7.465608,0.97516125,-12.34967,-4.789464,-4.5502048,-11.48296,12.636866,84.06004,136.22855,133.5476,135.57379,140.15991,135.76646,139.60965,136.01154,133.08202,129.68623,132.91922,140.30066,154.49072,155.936,146.4263,146.8375,159.25699,156.60901,146.22803,130.92725,113.06616,98.61624,87.74249,78.38437,72.43993,76.18764,81.82492,87.41474,97.040504,104.53691,100.22031,97.438774,95.98247,96.56551,95.263176,98.0462,98.572365,99.73534,101.85126,98.03662,89.98402,81.104645,84.23919,82.99496,73.103,68.46062,66.30699,69.727974,72.81885,71.3422,65.95835,65.989334,70.15379,71.05004,75.816696,70.607925,63.554726,68.20007,74.43538,68.10951,68.320915,69.02024,69.48467,64.187294
2,28.358486,29.537693,30.796383,30.13095,32.432316,32.890583,33.866142,33.186146,24.647636,16.922598,14.275734,18.320333,23.273052,26.965134,28.752838,26.88302,24.626078,17.93417,9.158245,11.160505,11.730446,9.314064,8.665058,9.138302,8.291389,9.713363,10.707487,19.369524,28.96874,32.665802,-22.34031,-64.961975,-42.066795,-23.9514,-23.497917,-18.557423,-22.71306,-34.82823,-25.069342,-15.716818,-32.467186,-45.158432,-33.952045,-30.643875,-25.091604,-32.924282,-29.552439,-24.91446,-21.034344,-19.809132,-13.11237,-0.6369683,9.535692,16.097746,32.743507,48.259426,29.83593,0.7218735,-16.82071,-22.307459,-22.76537,-21.08037,-17.876268,-5.1934576,4.3081427,12.823471,15.516738,7.671859,-5.74871,-10.393388,-9.393654,-8.2909775,-4.738057,-1.6393038,3.1518102,6.4561768,8.901406,20.959883,32.901505,39.88398,38.834118,37.601128,36.772636,35.020493,35.045727,34.828384,36.09272,33.370018,36.0698,35.095818,34.090736,34.37316,37.407578,35.975197,30.795097,25.124924,27.954115,31.339462,33.945366,35.076958,35.067398,30.83963,28.214695
3,21.300718,23.104244,22.82233,17.956783,20.504122,20.36013,23.291393,22.052519,17.926409,37.17254,46.5484,40.550842,36.655228,20.482159,16.008842,17.220106,14.815452,14.831932,23.261652,17.062916,6.8804283,7.5407333,9.84425,13.296507,17.296019,11.694555,12.135375,18.128551,13.960007,16.543207,41.68898,72.76961,90.55693,102.23944,104.36205,101.08649,96.497635,92.43239,89.33886,63.055794,31.937817,14.151724,10.230358,16.83841,38.871582,61.260864,69.67558,70.94679,68.40928,65.83753,64.539795,62.07009,56.950676,57.641502,57.93595,48.20755,37.690773,21.960888,19.039759,19.92029,27.532257,31.872297,35.815853,43.97899,42.833725,41.55049,41.75281,52.16265,69.09559,73.29766,72.42421,70.30179,69.80644,67.26538,71.6127,69.53821,63.565506,62.858315,56.94068,46.57419,39.31331,30.743652,26.390251,22.56322,23.477724,24.262653,27.737291,24.11734,22.314774,23.793396,23.607603,26.295586,27.381445,23.016182,21.902493,20.994858,18.597267,12.881159,19.575848,21.322954,20.529709,18.661018,12.995037
4,16.197649,15.860559,16.997017,14.038307,10.167023,8.835375,13.114092,15.571941,13.8208275,11.901187,-15.577993,-17.096169,-2.2131848,17.253296,14.942308,19.540806,16.324924,11.07748,10.534204,14.07733,18.635695,17.135612,17.524075,20.665562,25.173126,24.955341,23.694939,21.376469,14.309296,12.78078,30.475185,22.230192,20.993946,16.887318,18.332773,16.333387,14.256004,10.569258,7.6953373,-0.61334705,0.89939797,-0.92754626,-10.817093,-5.354437,7.11699,21.833275,31.907036,36.078217,35.701538,34.51043,25.26677,14.932426,18.352577,12.886366,-0.963869,-40.049202,-61.28537,-64.84589,-57.97525,-46.89386,-37.849678,-35.221916,-27.380722,-14.72678,-8.02564,1.6642953,13.457864,32.054718,43.43517,44.942398,43.134804,43.748383,44.06054,49.217087,52.405567,52.58735,49.951805,47.982265,48.174435,43.816963,35.18548,23.786373,18.12801,16.749754,16.74639,14.927301,14.161451,13.509723,12.734949,13.709291,14.303371,19.249485,18.341507,16.448849,15.616043,12.454579,11.220889,2.894019,10.015562,12.879113,14.517496,17.60116,14.88656
5,11.168913,11.834646,16.537058,21.296486,20.28703,11.755948,12.719925,14.889843,15.582129,2.5434299,-12.41028,-6.9961033,-1.2435918,13.917562,14.691933,23.347036,17.716206,12.41733,15.34456,15.198403,15.903748,16.767147,18.664167,14.83029,18.350508,16.569946,13.73642,18.584064,21.58928,15.0318165,17.204536,32.35358,32.90163,25.79131,19.03828,14.356192,13.186596,10.28009,6.550749,14.037397,0.639228,-17.175816,-25.925774,-31.066795,-32.26159,-29.556103,-23.943005,-19.911129,-16.917294,-18.3798,-26.697441,-34.522438,-34.804558,-31.596224,-29.66999,-29.851921,-28.563541,-9.056637,8.257738,17.457619,17.790886,14.7281885,17.500744,27.073586,30.673681,34.11058,30.38877,16.284367,6.5429177,3.4716897,2.8696933,3.3461452,4.4121027,7.735527,6.4271164,7.5913715,3.6667924,3.2545147,12.863143,19.948425,23.099073,18.13118,15.81374,20.437103,15.688717,11.4659815,15.270623,16.025196,17.606012,18.96995,20.900234,21.145485,18.81726,17.499142,13.559116,12.305218,15.266711,14.527802,13.850308,14.001484,18.11797,24.31862,22.150757
6,4.496456,8.066347,16.659328,17.857227,20.140495,16.415646,13.446098,12.466039,15.257111,24.213825,7.5851984,3.3860507,2.7876124,4.0895424,3.22551,8.641018,6.6042314,8.264106,13.013738,11.131764,5.2953587,6.855912,11.363246,6.7175293,5.28587,2.5667405,1.8354875,5.3609886,8.829187,6.2846117,-11.24635,-20.81342,-14.868412,-9.792814,-12.151111,-14.315445,-10.56333,-10.383568,-24.206469,-25.286098,-11.131165,-4.0224395,0.7776953,7.476866,8.266695,3.5668523,-2.2215276,-2.93455,4.390792,4.691842,-4.4765916,-11.17746,-13.837961,-14.125725,-16.251637,-6.9949446,2.014997,1.9982407,-6.6067533,-14.916491,-26.574833,-35.416775,-41.59835,-38.852215,-38.87018,-41.350296,-37.582302,-25.865921,-9.911217,-2.1886163,-1.5907726,0.5695262,2.3905263,5.494932,5.3685884,6.161133,5.2192655,3.2396264,9.919271,17.200186,17.181774,18.278072,20.459627,18.583935,16.612972,14.431621,18.665161,20.707928,14.808216,17.86924,21.394035,20.45208,18.070826,12.553925,12.305557,14.835212,17.768879,19.34866,12.299582,12.531408,19.381996,23.30293,22.125004
7,5.4323306,11.142023,16.096268,16.367313,20.214994,17.63898,14.204897,13.105418,15.461017,23.004341,-2.522856,-8.050522,-2.4759302,6.9904985,3.4430256,4.6484056,2.161465,0.3959384,-5.929166,-2.6672864,-0.20983152,0.41853774,2.631502,0.34852278,-0.9936806,5.2557325,8.1474,5.3145866,6.0725546,3.4254105,6.2603507,6.378206,20.325485,27.986208,25.16856,27.66638,35.472237,34.593582,19.770836,-4.057653,-13.875063,-2.484755,7.690085,14.661232,20.657326,11.326784,-2.0367565,-2.1241288,5.697515,4.264669,-4.5498796,-7.904479,-1.2702746,-0.0024323463,0.9490453,12.645538,28.259605,29.254198,18.391422,8.876013,0.18661487,-2.8503165,-2.1517787,2.4358256,4.7184286,7.1294765,14.236863,20.828705,20.861137,19.625568,19.971067,22.043495,23.555271,27.154282,27.81417,26.756346,25.670912,22.460663,23.723728,22.578213,18.66167,19.206472,18.267069,14.135232,17.869026,17.357956,16.834555,16.170162,11.549318,12.300247,13.966714,14.158916,15.111105,12.6777935,14.154228,13.898397,15.477999,20.264217,15.407371,15.8428,19.575418,18.957527,17.408257
8,7.4854455,6.870866,9.1688175,11.591328,11.729967,8.911559,12.100435,9.82463,10.568219,-2.7855964,-7.1714983,-2.5023425,1.297625,11.615071,8.760429,5.6687527,3.5693903,1.8283185,0.91077256,3.0601995,4.5778804,1.1540015,0.29491293,2.1299634,3.9625616,9.828007,14.767437,12.672194,10.086739,2.9040136,16.026627,10.480729,15.95931,11.546907,5.8215446,7.8728757,14.532886,13.231895,2.699956,-13.915475,-26.82151,-43.599525,-51.845444,-49.367176,-34.254852,-21.408115,-24.98798,-26.671177,-24.577961,-24.9741,-26.508934,-28.479666,-30.824043,-31.359596,-28.201292,-18.979076,-23.003689,-39.887676,-52.9291,-57.831112,-54.500595,-49.274723,-45.107735,-37.40544,-34.330086,-35.74008,-34.825844,-31.540688,-20.245888,-11.237114,-5.633328,-4.1753674,-1.6789526,2.3587973,4.157247,0.77009124,1.0394964,4.977126,6.1548705,8.7245865,8.938107,11.236785,10.504947,8.896061,12.888845,9.964119,12.454711,11.143192,8.65052,9.797916,8.576235,9.216601,12.279394,10.534586,9.588299,6.506152,9.678442,16.20013,12.131204,12.463525,14.49085,13.40919,9.106989
9,6.299208,9.76782,9.085596,8.412407,3.5114098,1.1030328,9.113909,6.708364,7.842627,9.255152,7.33422,9.276045,9.132965,8.777668,8.158522,6.0030603,10.986008,10.629129,17.475166,18.036674,12.317959,13.696274,12.260718,14.01636,11.114205,15.515768,13.57143,12.630171,10.890621,8.5399685,2.3296356,2.1320958,10.13306,7.5773706,1.2378654,0.10554078,0.34369373,-0.5223726,-4.027687,-7.556712,1.153476,11.855783,9.708317,9.652084,7.5666924,7.799445,5.6342125,0.89785016,-0.55174965,-2.5750976,-4.1745067,-3.2342792,-3.6958053,-2.9433477,1.7106202,13.993025,11.740073,-5.746893,-10.931539,-1.0819399,10.8756485,14.667366,16.15033,14.528332,10.064138,6.851656,4.6773405,5.2583385,2.342566,3.1352377,4.615326,3.2431796,3.402564,4.4316955,7.5621166,4.206664,1.3742559,2.6477697,3.3812919,8.373117,6.6593757,8.170538,8.407926,5.794611,10.372181,6.832309,7.436757,6.928426,3.9669468,4.3250113,4.4329824,5.0364428,6.8901663,10.030869,7.3553743,4.611588,6.2040334,7.6043973,7.2213316,11.732115,11.738691,6.9671187,3.1146102
