,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
0,-534.73785,-519.2766,-517.4516,-519.1215,-520.4837,-520.01685,-516.23016,-521.0752,-519.7578,-518.05774,-519.46967,-520.7141,-523.3704,-519.98456,-517.70807,-519.0395,-520.54846,-522.5502,-522.4393,-517.3617,-514.84705,-515.7805,-517.07623,-517.62494,-519.6642,-523.64996,-523.30493,-521.5189,-462.71793,-343.26468,-254.86998,-199.19624,-166.9594,-154.07204,-148.4148,-137.65396,-128.72841,-131.95068,-108.16643,-125.161255,-159.66666,-134.15787,-109.87413,-99.89258,-97.06183,-114.15271,-143.68735,-178.88739,-216.26073,-243.75128,-267.57544,-319.99344,-371.27228,-382.4038,-380.6497,-347.76825,-303.98215,-306.40842,-302.9965,-302.22644,-302.17465,-288.42953,-268.5601,-245.29477,-237.90034,-239.74567,-242.10567,-246.1522,-247.46281,-252.62411,-257.44302,-265.32053,-288.06082,-328.5769,-374.1444,-398.28363,-410.1634,-419.14056,-424.83994,-433.7067,-445.74753,-456.65695,-480.6935,-500.37143,-506.94427,-510.98996,-511.67548,-509.61102,-509.94098,-505.8836,-504.1594,-504.44016,-506.59,-506.60403,-508.7261,-511.54617,-505.99945,-500.59915,-515.49646,-517.41693,-515.4839,-523.51245
1,60.315216,68.46534,65.11444,64.080444,60.30287,60.300453,65.62289,64.40622,63.82491,65.96942,65.64941,67.04699,64.82214,63.956425,63.98536,67.106575,65.08548,65.738144,65.52414,67.107895,67.09511,64.88017,66.5871,66.386444,63.100967,58.54892,60.810867,60.574463,64.11113,34.653854,0.9345522,-14.964476,-20.514023,-25.782555,-30.958437,-30.794413,-28.008411,-16.34188,43.13089,99.432724,140.68802,148.61716,147.33679,138.7324,121.703514,106.211945,89.72569,75.97269,78.1118,92.214005,116.67587,142.52998,144.55298,139.71448,141.42862,136.72083,118.97041,98.20395,93.765625,95.177765,96.587135,100.75686,102.79921,111.192474,122.96042,132.87408,135.82483,140.97334,143.57712,140.94524,140.30002,147.4979,150.05997,151.315,146.85297,123.8513,111.72834,110.601105,111.77699,105.22038,99.49491,101.5959,93.79597,82.37603,77.6623,74.56302,73.063705,71.71275,73.616196,76.70128,77.56334,76.32553,70.29536,71.42706,73.36371,71.71527,74.803955,78.018005,69.4754,68.26895,67.70001,67.01126
2,40.0103,37.742218,30.482113,29.958227,26.728828,29.589424,32.013187,31.997921,32.07242,33.229317,33.202377,37.012943,35.77466,32.37808,32.417595,38.026146,34.906395,32.50511,33.82307,32.041576,29.70095,27.17017,30.702919,31.06633,28.656328,30.69215,30.416538,31.380081,-11.356556,-50.03678,-49.18657,-41.63379,-41.03917,-45.060997,-46.765873,-46.19607,-51.170013,-53.277603,-22.099262,-8.130926,-20.077728,-40.91616,-53.534077,-57.134327,-52.197304,-47.521286,-32.83664,-12.649633,6.0936937,11.315962,-1.4518905,-6.2749257,8.808037,12.831292,10.451867,9.740621,7.289409,20.224455,28.455135,32.16247,34.873154,26.216925,9.543601,-0.8545603,-8.527197,-12.130841,-18.99741,-19.679867,-22.83985,-17.206066,-8.219888,4.3301134,15.476699,20.147697,15.381259,8.160367,5.203782,10.604877,16.567722,19.989037,26.275913,32.82048,40.57845,43.101517,44.26107,43.07248,38.244225,37.141556,40.37049,39.684505,40.4457,37.880287,30.339378,33.84154,39.45591,37.766266,35.80626,37.048256,34.443817,35.908463,35.065193,35.330345
3,25.824306,20.1968,17.808807,20.802475,23.773693,22.22681,19.731625,17.254507,18.605927,19.800325,19.895756,18.97576,19.87683,22.368687,23.168716,24.724396,21.016994,16.524025,16.602928,20.891665,16.284931,15.22719,18.793911,16.680214,17.316076,22.139061,21.09763,24.0481,29.634897,56.171066,60.697693,63.079494,57.75951,55.256737,54.44645,55.27542,52.109013,47.556618,50.9131,34.208294,7.2184534,-5.1415796,-1.9059045,12.288701,32.63401,51.989155,72.9538,85.08621,94.60595,95.73895,90.218765,70.101006,50.579674,49.162983,47.513664,63.954597,82.178665,89.31195,90.57898,87.428894,83.74736,81.74341,78.20027,65.364136,54.251232,45.769478,35.684322,32.18018,28.865105,24.65537,19.860859,19.993982,27.492138,40.679253,52.083153,61.973244,62.454926,63.43866,67.802216,66.88377,64.89707,57.11651,48.852215,39.716248,37.871235,31.866325,27.492537,29.874973,31.710484,31.4543,31.922718,27.898163,28.762218,30.382507,28.692081,28.315903,23.785456,18.95607,20.28666,23.823164,25.534187,22.1763
4,19.42819,14.210627,13.85845,17.402128,22.093212,16.085308,12.590437,13.908825,11.681201,13.620513,17.472647,12.463778,13.237013,16.12535,17.30354,14.072223,13.52196,12.2909355,11.68038,15.675285,13.033914,10.193478,13.775013,16.60701,14.821354,15.080201,15.278749,19.6577,37.076107,18.474125,11.76786,13.954582,9.111369,-1.0866098,-1.699733,4.1840863,8.452108,16.336172,12.122876,-7.970235,-7.011283,-13.879661,-11.993276,0.9116001,10.691612,13.323828,10.900071,2.781979,-2.2277353,-9.452723,12.46657,42.128033,55.203423,56.43808,55.32438,48.71175,26.592953,6.698469,-5.1622877,-12.140297,-16.788288,-11.991978,-8.97419,-10.073223,-6.799474,-1.8290391,0.21726525,2.2059145,-0.035519004,0.2957332,-3.0427165,-6.2859707,-4.838336,12.267279,46.794144,62.040573,60.30175,58.912464,60.963318,55.894493,56.11385,53.862686,45.87477,35.477978,29.875854,25.223064,23.925632,23.0612,21.936476,22.75166,25.199232,22.29406,22.669134,22.447615,17.7499,22.611734,16.68668,7.4990635,14.178888,19.771595,22.362408,19.657661
5,16.38126,13.197908,12.315634,15.009224,17.841434,14.469765,13.719229,14.21963,13.352932,13.107447,12.785905,10.252982,11.30778,12.807133,14.515606,7.650543,9.401384,10.615118,12.037018,11.599998,18.328798,18.251862,15.334919,17.917229,15.005047,15.591621,15.411407,17.82086,17.22268,35.773415,35.62036,37.01409,32.581722,22.553333,19.929913,20.194666,25.26097,39.937855,44.485157,33.337776,-6.8599577,-19.902168,-11.733013,-8.351364,-13.503233,-17.028502,-13.770103,-7.3127947,-4.2728224,-3.6418657,-9.317873,-10.541069,8.447254,10.844367,8.095216,11.959761,13.501839,20.59497,28.022882,26.912743,16.73111,3.7969913,-7.290389,-11.192406,-16.702257,-17.145956,-17.80691,-16.059484,-10.754047,-3.5189567,1.5107825,6.8749466,14.27634,10.404682,-1.8870683,-0.72884285,0.47832102,0.95156574,-1.0813618,0.8801453,11.820978,17.624825,21.232092,24.323261,20.201038,18.798296,23.035568,19.599903,17.984314,21.489716,24.844818,20.950077,15.143873,17.763706,20.036781,19.160982,18.380823,18.592493,17.743496,18.141094,18.886276,16.997261
6,13.427,11.759226,11.402956,13.368065,12.64406,8.719284,9.834629,12.297173,13.969922,13.369228,10.791398,11.051828,12.840958,7.83045,11.369642,9.99394,8.791463,9.939323,15.602005,12.143815,19.19823,21.154476,16.37946,13.866817,13.182138,12.608238,13.672034,15.214141,-5.7325735,-22.925003,-30.701202,-30.655903,-30.291336,-34.11867,-32.106888,-30.526714,-34.987366,-28.038073,-24.792252,-15.504771,5.100069,0.70561147,-13.8095875,-35.045517,-46.41988,-41.700603,-26.007072,-16.385561,-8.085779,-0.7243171,-5.375664,-9.541968,-20.232662,-20.238525,-19.724083,-18.050495,-13.086323,-3.9435728,1.7307413,6.3328595,7.626395,2.7388248,-6.059571,-12.196436,-9.97588,-5.193255,-1.9066333,0.73730904,-1.4034358,-4.546815,-7.6123633,-12.319891,-13.85667,-11.38527,-11.089951,-7.936405,-1.9516383,0.5552565,0.42582464,4.664801,8.094218,7.828856,16.380451,18.955748,14.598293,16.906544,23.79619,18.911879,18.902517,19.999325,23.400597,21.36219,17.380968,19.559952,19.686693,18.187412,19.331001,17.778278,19.133415,17.33397,15.497617,12.389813
7,11.722456,14.366011,9.909909,9.84353,10.489998,7.9783497,5.964361,8.68122,10.703611,13.2618885,14.95202,13.898023,13.810774,10.369843,10.56114,11.46306,9.784837,10.505457,14.057142,13.8242035,16.676214,16.00755,14.350664,12.407589,12.200357,9.382176,8.987041,11.260834,2.9303384,-1.2612977,0.51081324,5.5381927,11.230452,13.218639,20.816753,23.070358,14.328768,8.072359,-5.2671843,2.4026952,6.9628506,1.6496353,-9.413179,-17.897114,-8.08358,5.5046625,18.304272,22.555616,19.18563,8.383854,5.1812553,3.7154732,7.90069,13.878962,14.670178,10.359102,7.244116,0.6043138,-7.547078,-6.6075764,2.5349042,9.081901,10.499171,10.070241,7.3488207,4.285909,-1.3877861,-1.5081036,-1.1630143,-1.8369341,-1.8453802,-4.0600514,-13.304991,-10.572694,9.934631,20.256054,23.363247,24.152452,18.876945,22.596546,25.807045,20.871807,20.51243,18.605389,14.259297,16.975513,19.220438,17.916342,16.292494,15.322728,16.293913,18.880943,19.280115,17.581978,14.379358,16.914501,21.688763,20.69737,15.416096,15.021914,15.001064,8.944909
8,9.009972,10.340584,8.076489,8.962455,10.430988,9.053772,6.5600348,6.420574,6.8941336,7.980178,13.022383,10.12409,9.869589,15.012338,9.056666,4.9575653,7.099333,7.820137,5.8834896,9.414888,8.012107,14.4515915,13.919253,8.993191,9.012705,7.742986,8.3278475,8.923955,15.66916,4.2875996,-0.99936634,0.25812337,5.395327,6.5423384,7.3546696,5.7264233,-1.3776141,-9.795092,-29.117908,-32.79189,-33.02207,-40.827755,-42.92819,-34.049534,-28.978563,-33.09447,-35.45392,-32.653683,-28.607613,-33.551926,-29.63712,-14.638283,5.142843,8.4554405,6.34742,4.030908,-7.3830543,-14.843252,-21.846947,-23.083263,-23.81337,-28.544292,-26.44305,-19.938873,-12.996225,-5.7191653,0.28678703,-0.8257339,-0.5562576,-1.8562876,-3.3452978,-5.2050037,-7.4371805,-11.5874405,-2.0719404,4.491006,4.6889467,3.364276,0.011876836,1.9938685,4.4466815,3.4046397,8.2179,10.887552,10.896835,13.288169,15.191389,15.800806,14.13213,12.929861,8.765629,13.316491,15.352054,14.152856,13.174984,12.32511,14.151258,15.774383,12.776968,14.196066,11.964573,8.753463
9,3.0568295,3.066397,7.7536516,12.227934,7.90265,8.700111,7.5880775,6.048978,6.1651583,5.0056133,8.917789,6.2514358,7.1397543,10.844388,4.897788,2.1463313,4.9346156,4.857164,1.6611369,6.267807,5.603796,11.89481,13.927422,9.092673,8.357463,4.5553203,3.6309996,2.3376884,14.394803,8.942223,13.743117,13.479599,11.5079,11.881126,8.836333,1.7434726,4.8450747,9.321242,-7.469471,-18.080208,-15.063215,-9.137224,-4.6248646,2.9455695,4.657506,-1.4551985,-2.0983264,1.8704056,3.5793862,-1.2729287,-1.7357621,-5.591674,-16.034636,-17.14038,-17.596138,-17.245394,-10.300522,0.19378486,10.882172,12.273148,7.768054,3.325528,0.2214818,5.742182,9.886705,17.008738,26.868973,28.578106,29.63144,26.732555,21.084404,15.503431,8.211237,-0.42056918,-3.1122649,3.1263485,0.9113671,-0.22557664,-1.039926,-0.8383235,-3.2306454,-5.4634285,2.2336226,6.1219993,7.805954,9.416261,11.310572,9.891218,12.090788,13.858852,9.170298,7.636362,11.617702,8.6427765,9.081814,9.017755,4.4264984,5.592319,9.469761,11.741025,8.9770565,7.832553
