,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106
0,-508.7395,-504.28918,-513.7731,-514.62744,-517.08606,-518.02423,-518.2757,-524.4885,-526.691,-522.5124,-522.2274,-482.63025,-459.84943,-488.284,-508.15756,-408.62357,-383.37784,-383.6141,-406.78717,-488.5468,-503.34387,-483.46094,-482.70532,-497.4061,-500.53543,-502.3343,-502.34006,-496.97043,-489.63095,-489.8586,-496.6504,-500.77435,-504.33942,-511.37112,-511.62497,-511.93552,-513.019,-517.2102,-516.15656,-517.53503,-516.67004,-491.78214,-476.66122,-277.10364,-120.55546,-101.37192,-149.12975,-172.6617,-180.86574,-174.24004,-108.81028,-69.97278,-59.045902,-53.29471,-53.993866,-45.866894,-39.828854,-51.394604,-82.59586,-120.4404,-162.1983,-194.02377,-218.49202,-243.91455,-343.7358,-489.06528,-460.582,-223.5977,-112.03212,-79.61235,-93.926796,-106.973335,-115.627525,-127.5712,-140.36728,-149.94344,-162.9705,-179.07195,-197.1122,-218.96642,-246.15685,-278.22324,-308.23486,-333.12546,-347.02695,-349.21674,-356.67535,-378.31256,-395.21262,-418.3705,-447.49026,-449.75433,-460.70105,-454.16864,-442.96194,-444.69843,-452.174,-459.7153,-434.87112,-402.66098,-426.77106,-465.34784,-468.41028,-477.3253,-481.27902,-479.79227,-461.11206
1,98.6738,87.74896,79.104935,77.20578,74.9128,74.50285,72.88969,66.78743,63.30002,66.40805,64.1068,25.0453,9.237236,23.812603,59.988335,73.81263,55.00363,-12.90934,-16.069614,50.947685,80.36998,69.75592,73.39729,83.31494,81.811615,79.822784,80.69446,80.78293,84.73117,84.70967,83.214386,79.222916,77.64388,76.80954,76.74113,75.718185,75.471985,72.776405,74.597,71.62864,64.20888,77.12904,85.471344,68.75684,69.56314,78.87919,90.29538,75.13077,68.869064,102.59131,135.06995,129.13869,108.94571,97.23393,82.09977,74.858215,76.24321,78.11374,79.72392,69.018005,52.85546,43.000168,42.536854,58.599747,75.52272,85.30843,81.43912,87.6938,117.62225,126.190094,114.23682,109.826324,109.9888,115.372284,110.48036,111.49214,121.92962,122.89061,120.874084,116.516106,115.34642,120.58003,128.0024,131.60718,130.12253,136.85446,139.59567,129.67197,128.00641,126.137985,108.042984,119.71034,134.94318,143.95856,156.67603,159.56992,151.61716,142.92068,124.63842,124.65735,138.23534,139.34628,133.90433,126.55831,125.1904,126.46544,124.814445
2,37.05414,43.291214,44.95759,44.55341,38.689053,37.213127,38.087967,36.162506,31.126963,29.889011,26.651476,30.196796,42.405357,38.51472,23.834286,20.032066,28.051512,24.565536,23.12614,37.523243,29.293892,20.044153,19.039484,24.075745,24.593681,23.457336,27.390114,23.43948,19.239868,20.896164,22.323954,22.925861,25.26203,27.350037,30.894733,31.0449,35.326897,33.708862,31.275307,29.31311,27.29419,24.614397,22.492306,-2.2892137,-0.7045882,-0.5768862,-23.210693,-50.810753,-59.386276,-44.027763,-50.591034,-63.80474,-75.732056,-80.895065,-81.34383,-77.17839,-68.23916,-58.593994,-44.973923,-22.320145,-4.047989,6.055388,18.613876,27.90157,37.99981,38.605225,18.009336,-8.721636,-1.039786,-8.9179325,-24.115597,-28.240396,-22.709564,-20.0555,-12.84501,-8.486361,-4.3924823,-0.7480638,0.84137523,-0.46787646,2.4574463,1.7196221,-4.783549,-5.828352,-3.1663113,2.9005852,8.964884,17.635597,26.7744,37.85211,41.76872,47.986347,69.31468,75.92517,79.4483,83.70079,79.13397,77.34552,70.3692,66.24778,80.47861,81.32615,74.46924,71.3813,78.68451,78.745605,63.062683
3,26.010124,29.150215,28.956287,34.370506,32.465027,27.903255,26.698748,28.834175,22.130922,16.168484,16.097576,35.38752,38.349686,23.816221,23.642765,60.403214,65.4496,59.7762,49.474724,26.389423,19.30885,27.4258,25.349957,17.550737,16.78022,15.269347,15.169064,15.036564,10.213832,13.406685,12.847428,13.266155,15.766798,15.976153,18.774994,20.297386,22.415157,21.682825,18.48373,14.6117,15.598963,29.835314,41.94986,23.770845,26.511597,32.912018,33.303616,30.44286,19.570948,6.412898,-7.473304,-13.80113,-19.17334,-15.465624,-4.3364434,4.1172466,17.01919,32.037426,47.60554,66.84459,76.98884,83.034164,93.13078,96.97721,91.41057,45.510128,30.457745,37.45533,42.198906,35.212463,23.464588,14.591587,13.368921,12.139741,11.59613,10.575986,7.957219,11.880454,19.49536,24.179863,33.867455,44.43622,56.114777,66.46948,67.012344,64.33765,64.288536,65.40372,65.19672,64.90086,72.524765,69.50772,59.309402,50.39732,40.018227,40.57412,37.72339,40.371246,49.635345,49.294823,46.78324,48.351852,45.201313,47.603783,53.37828,53.202618,47.30288
4,21.186539,22.749212,20.81876,23.25594,25.431686,22.348196,19.900007,18.392008,16.585503,13.191383,8.796827,-8.190954,-8.330784,0.7765206,10.470224,-4.2865024,-8.143664,-4.0876064,-4.1219378,3.2975178,13.264843,10.483606,13.3326435,15.142309,10.841605,11.15612,13.885403,15.839806,13.604723,14.543529,15.138812,15.065317,11.633296,9.297647,12.693803,13.964411,12.818596,12.924009,10.749113,12.989557,16.223742,12.9143505,18.787415,3.2038655,0.3236823,4.920321,4.92314,-9.73575,-20.666618,-18.82993,-20.3481,-22.518726,-25.494728,-22.277218,-26.489326,-31.459114,-32.656334,-29.583736,-20.91819,-7.3337674,-2.9532633,-6.1296134,0.20457435,9.272732,18.166582,23.187859,8.557594,-3.6033785,-0.33432895,4.457767,-4.457114,-17.983124,-27.487684,-30.086067,-32.9301,-37.060005,-38.556915,-34.675938,-30.438597,-24.490181,-10.536364,7.807792,22.570919,30.873104,35.60881,35.59623,35.71435,37.073006,39.938183,42.152435,46.965942,48.90204,38.98039,32.213745,24.276733,23.499355,21.348583,23.672745,16.642088,9.416351,11.874218,30.058468,27.95073,30.238274,31.739098,33.30287,37.103733
5,20.882475,24.475056,19.921986,19.198723,23.46806,17.858313,14.870337,16.035938,14.592925,15.454157,13.951769,27.743347,29.604496,24.44138,10.681723,-0.3191376,2.4637733,24.097952,28.937605,29.51091,13.740816,8.842037,10.2118635,11.778379,1.7326865,5.202937,15.619616,17.420439,14.866118,14.311593,12.856347,10.163696,7.9592457,9.857498,9.636803,12.672114,10.268166,9.463348,9.233052,13.180136,13.82147,-0.68342435,-4.5140066,17.999207,24.95665,30.758842,39.303936,36.680622,26.16861,27.985287,17.072948,10.84363,5.408518,4.8975625,2.220702,-2.1465483,-10.614117,-21.302544,-27.602905,-29.411623,-21.018486,-6.54228,5.753973,9.098207,8.368261,21.00227,19.070236,19.527702,16.326513,10.708525,7.795327,5.5780334,7.457512,11.291406,12.627005,13.964254,23.112385,26.48896,24.233875,20.652534,13.731539,4.706758,-1.1675802,-1.970309,-5.9935203,-1.1225972,0.68426096,4.3647738,8.807518,11.13811,13.098242,11.25236,16.975761,17.59003,23.82021,21.063087,19.181782,21.991035,47.41278,54.11371,40.200455,26.083689,25.052275,22.978662,22.44258,22.979473,29.140076
6,22.063593,23.471367,19.241898,18.470695,18.324732,13.277246,12.393371,14.5150585,12.403711,14.860722,13.301489,6.6346407,11.400889,13.581958,1.576718,-20.262585,-24.539072,-15.858696,-13.41807,-5.217782,6.198372,-4.7520924,-6.55067,-0.6949229,-5.6982994,-2.7345583,3.6176057,3.72046,2.244259,5.1909757,10.002609,7.5103116,4.4319057,6.768117,8.843327,6.250554,6.0882425,11.689177,17.502178,17.283886,18.692238,16.04649,18.414036,-18.92051,-16.9239,-11.305401,1.5475281,8.302408,3.0577233,4.1307197,7.9891186,9.364805,6.488374,9.077708,6.60543,-2.7711904,-15.817162,-30.184986,-39.02875,-29.907108,-18.63768,-16.66269,-12.479666,-11.903006,-7.335827,19.465813,6.418187,-15.837572,-32.50946,-38.45789,-36.68645,-33.172806,-28.354786,-18.343382,-8.558624,-10.3016815,-16.51279,-17.281525,-17.810944,-19.017365,-14.828587,-10.152356,-8.582774,-2.685088,-3.2006707,-6.745601,-5.8004255,-2.966184,-0.33494443,3.5960276,16.008919,12.479534,14.944109,17.596634,18.665825,17.188873,13.737623,18.515182,9.630293,1.7390103,6.626956,17.474438,17.501085,21.600323,15.807403,16.230618,22.873589
7,13.044033,17.069042,20.06943,22.014494,23.883057,21.494919,17.53002,12.614201,12.298161,16.635147,19.657314,15.462414,6.5703144,3.5705585,2.8439271,6.5080423,13.55627,16.087465,16.783339,9.727666,3.8870158,5.9117618,1.0310309,-0.44995293,3.604998,-0.84151006,-3.4194267,-2.6468034,-1.6305604,0.14608444,6.5743637,4.741231,3.3518631,3.0782747,8.3911495,8.5303545,11.366341,15.664068,21.535374,20.595217,11.948137,3.7587037,12.86042,-0.21425158,1.9734385,7.9971237,16.445324,21.735466,18.43779,14.8797245,12.484609,7.426799,1.6030955,0.22990215,4.9594617,7.881179,8.65695,8.364999,6.647079,3.7811403,9.003662,14.91271,24.132875,29.797379,30.879173,13.626165,7.785719,7.0447884,3.149669,5.2760344,3.6076057,-0.7562834,-4.391958,-3.0765316,-0.30646646,-3.229454,-3.2613008,3.0870967,13.035926,21.67123,27.014418,28.655396,26.85051,22.837776,19.799107,20.49892,19.935694,21.032124,25.643354,30.060347,35.536125,27.018744,17.243372,14.250273,11.766043,9.451293,13.544324,15.266724,9.891988,5.6659107,9.45462,11.422197,16.554241,20.817219,14.563981,16.557396,15.883603
8,11.2403965,11.030285,17.599873,18.647171,18.172464,16.815468,13.478579,10.841673,6.364791,8.636112,16.36108,11.123527,8.981662,15.889632,5.1123075,18.626625,11.409384,-4.2607675,-7.0126796,-2.3182168,3.7831092,15.297854,11.501534,3.0241935,8.470146,7.8192167,2.0182776,-0.8307122,-2.8335838,-0.33943474,4.9235888,4.4840593,4.0150185,4.7201524,10.147387,8.240337,6.376523,7.0937376,9.840204,9.922669,9.332309,-4.3463473,-4.493005,20.578705,17.433195,17.408241,8.356731,6.2527385,3.210949,-2.3152094,-4.5388374,-4.2747045,-4.457904,-1.3140141,4.286129,6.2087827,6.7296495,1.1092473,-12.490469,-23.766575,-33.72087,-37.043747,-37.448307,-33.32345,-21.14642,0.8208701,6.2017374,-11.771017,-18.025997,-25.925476,-36.63031,-46.72184,-52.11908,-50.12734,-46.410988,-43.81288,-39.95449,-39.93477,-42.33922,-41.879723,-35.44844,-29.9204,-21.920475,-9.717109,-4.668624,-7.9828577,-11.353754,-9.348547,-4.113022,1.8911548,3.7201192,2.8939955,4.5879517,5.4721737,6.8170557,7.1348925,7.6997137,6.8946457,9.570014,10.032988,9.053738,4.7903376,6.2747154,10.4447,10.76085,12.633188,9.932726
9,14.257345,13.166936,12.268273,8.779651,12.350323,11.010806,10.742424,12.485544,7.0571575,7.828884,11.796841,7.8484135,1.9993517,-2.4347162,-3.0804768,-18.94532,-11.825312,2.5792532,6.7432284,-0.22737879,2.7070458,-2.3501124,-0.60593665,5.9342604,8.902903,10.564079,7.7321463,5.325734,1.2174208,4.500868,7.091776,7.2397356,6.3851633,8.746155,9.879181,8.89597,4.5775113,5.655593,9.276831,9.668789,9.313918,13.288193,16.503412,4.0882425,5.230851,10.945856,18.256275,19.437943,17.893644,10.200674,-1.4637828,-2.4734154,-1.5022079,2.6820643,9.4987545,11.9215145,11.673981,9.443871,4.1349506,-0.9492639,-0.1529578,2.1683345,9.467713,8.602642,-1.6462388,1.4908868,4.1010704,-0.97753215,3.8509197,12.17881,16.36665,12.670217,5.6159434,-0.30822957,-4.7512765,-10.823914,-16.125309,-21.942799,-25.55535,-28.194656,-26.961906,-20.469086,-13.775231,-9.744241,-6.93482,-9.616341,-8.289762,-6.51519,-4.859808,-4.656093,-2.6785865,2.0008726,6.9603043,2.3993425,3.2625842,6.1201077,3.4455109,4.5259814,-7.3954296,-13.320854,-5.3820076,2.605625,-1.8135333,1.4498668,5.07514,6.9205847,4.71826
