,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108
0,-532.1649,-519.5371,-522.4585,-518.98865,-517.4784,-519.4427,-521.5059,-521.8378,-522.0182,-521.7543,-520.8909,-519.92114,-518.9375,-513.5217,-517.414,-518.57794,-522.57355,-518.1577,-519.8868,-518.35046,-519.2897,-492.8721,-449.31992,-461.85138,-514.7452,-516.49493,-512.7281,-511.41653,-437.85693,-308.07358,-245.68768,-202.41418,-200.07181,-171.37544,-131.28125,-106.98204,-46.898903,-20.46178,-22.077702,-36.154083,-57.588886,-88.13066,-115.81878,-148.64432,-189.31657,-229.80542,-264.25607,-291.85248,-310.62314,-320.41556,-343.3231,-384.3486,-395.36935,-346.24377,-266.19995,-202.82658,-162.29582,-141.74599,-137.27197,-143.29475,-142.64876,-146.18257,-162.5838,-168.68486,-183.60353,-215.74887,-240.40959,-270.98825,-311.84778,-342.16348,-375.6868,-396.06973,-398.0447,-405.83737,-412.5766,-421.8789,-432.2745,-436.39398,-431.6817,-455.31158,-488.58307,-497.6256,-506.61572,-513.52405,-515.138,-513.50653,-512.1978,-517.1849,-518.10333,-520.3989,-521.4027,-518.4774,-514.5238,-511.39127,-513.1114,-516.25714,-522.3231,-520.9981,-520.45435,-524.1049,-523.01917,-522.1629,-522.96387,-515.8252,-510.0513,-517.27795,-523.8222,-527.8531,-518.56256
1,66.12338,68.24278,65.426865,68.892494,71.80524,69.384445,65.24393,62.29666,61.8093,64.57531,66.20187,64.6643,66.39928,72.56363,68.20159,66.47345,65.565704,68.00517,69.10868,71.289246,67.74086,69.725586,81.49515,80.88387,66.96682,68.206955,68.648605,67.18046,22.193249,-19.76941,-48.033096,-61.81109,-71.643394,-38.957314,7.6858044,54.756542,86.70157,115.38913,131.47028,145.42482,154.20139,167.19281,174.37003,176.96313,172.0598,162.85483,155.96399,148.6268,149.08264,154.84976,161.89096,162.93604,166.5148,169.02185,175.33957,160.9505,137.393,120.24675,102.741394,92.44266,97.79175,95.06476,90.20315,96.452225,97.0067,93.24031,91.55947,89.33014,88.16014,97.93002,103.36349,99.138,99.74329,99.44134,96.98413,93.71164,92.350174,98.04003,111.88718,105.99739,89.933426,84.58501,77.64706,73.707886,69.02837,71.99577,74.91899,66.2106,66.29262,67.92236,67.48883,67.17354,73.55492,78.182144,75.84346,71.74519,63.581406,65.889114,65.60605,63.43174,64.84128,66.15097,66.2017,68.87829,73.03183,66.30585,65.847595,61.243393,67.13934
2,36.613403,33.36951,33.629192,32.917076,36.153767,33.688324,29.407455,29.043608,30.06474,32.919266,34.337128,32.416134,32.628456,36.314426,33.924747,32.23989,34.62034,33.720295,33.28685,35.00623,33.607277,-4.186316,-34.194305,-22.76564,29.809963,32.013584,31.994106,33.990395,21.80438,10.019768,42.778816,58.970383,70.13667,73.1629,34.81698,-12.583248,-54.0867,-73.72552,-81.62247,-74.92073,-65.37998,-55.753265,-51.91406,-47.28256,-42.084328,-38.967926,-33.619484,-26.550198,-16.991947,-1.7223299,25.405373,56.627243,75.27785,57.681946,27.573982,0.58195716,-18.778667,-25.107073,-31.544682,-36.084915,-33.252388,-31.213177,-27.87482,-22.805971,-17.440836,-11.093524,-1.8616685,11.784792,16.131626,12.529213,3.3301392,1.8126217,2.644732,3.1510773,9.937374,12.762367,14.223513,20.355503,32.07447,42.61415,43.945717,39.506958,36.762016,40.938126,41.208054,37.36244,35.629875,28.513529,31.176693,37.433815,36.218704,31.625141,35.619507,39.319523,38.28855,34.853527,32.137108,32.68466,35.75442,35.486145,33.63432,35.18078,34.920143,31.159603,28.492386,28.567812,34.626213,35.179214,31.082409
3,23.032185,22.833607,22.53249,22.063519,19.803661,20.483393,17.835121,18.422207,19.864223,23.937277,26.387613,25.443872,18.598759,20.872608,26.264393,26.572304,24.043774,21.815998,21.866325,22.83764,21.154974,-1.3186607,-13.90484,-7.799942,18.426407,16.27135,16.769508,20.29668,24.041004,2.8616967,-11.035826,-12.923708,10.533032,41.702835,56.47734,57.876656,18.242153,-3.5600367,-14.425746,-13.423335,-10.674501,-5.925229,6.478242,20.704777,32.921062,49.567398,61.92864,64.91244,66.91781,69.68309,70.49449,60.17619,51.253666,49.73156,41.899475,32.758575,23.155571,19.70624,21.863062,28.505798,37.134075,35.410652,39.76863,40.750027,40.58479,46.308987,51.158974,44.93907,42.80465,55.88217,65.44235,71.6945,72.31242,72.08748,73.258316,72.63139,64.74339,58.781067,63.368847,62.141403,49.181107,36.808937,32.301414,33.696396,34.77863,31.399622,25.228039,16.815647,20.324074,26.729511,26.126303,22.049265,20.430918,23.351917,20.368233,16.98394,22.061863,23.970879,25.076967,27.15268,26.19262,24.204197,22.610888,17.134848,10.753312,18.71167,25.685844,30.213146,23.016487
4,19.20536,14.794103,13.54948,16.299706,18.624493,16.347553,14.472836,15.562681,17.321302,17.967937,18.782572,18.9266,15.151587,9.732689,15.357165,19.95703,17.708416,15.179239,16.998003,15.649887,12.467462,29.663116,39.892532,39.86337,13.510095,9.857164,9.498692,9.804761,-3.7708788,-13.631553,-16.381783,-26.349955,-17.005669,-2.73476,-3.5552397,-14.604963,-26.425306,-42.234978,-59.82049,-67.12819,-69.26634,-68.47597,-61.7585,-43.865936,-26.036297,-8.384564,7.550664,16.412718,25.791368,26.342854,22.89624,16.401756,-10.947094,-33.198498,-57.72777,-66.55977,-65.31526,-62.285515,-53.3267,-43.830856,-38.17159,-34.994938,-27.176258,-19.867535,-13.491278,-4.4821305,1.1784878,5.448262,20.902828,36.338615,40.371,41.730675,42.29916,46.855125,43.841373,45.89202,47.180267,41.84299,42.93334,43.790115,37.48017,27.727371,24.782352,24.48602,25.278662,26.735668,18.116123,9.404206,13.103018,20.562271,20.855377,17.390268,13.941448,11.605387,10.142183,11.096433,14.795637,14.58013,12.697842,18.83912,21.565033,14.891927,13.954611,14.819603,9.960678,14.363844,19.448757,22.317894,16.442299
5,15.807241,8.943878,11.055948,13.399534,15.375295,13.076197,11.09296,13.494622,15.709333,16.85278,15.224358,17.257702,16.450497,8.79928,9.577964,15.335848,14.492641,15.244745,15.7954035,14.869871,12.553169,37.41561,46.106647,44.49504,15.221885,14.322529,19.46706,24.037596,31.16054,18.40628,9.735347,7.5186787,19.958546,24.29018,7.3607635,-10.843334,-20.507484,-18.5849,-12.785971,-10.125277,-4.3391633,0.064404905,-5.655382,-18.760193,-25.477709,-20.127213,-20.11049,-19.703207,-22.463253,-25.426262,-25.28533,-21.843788,-23.262814,-29.538818,-27.89727,-16.888712,-0.90933335,9.417618,15.919792,18.131464,16.805225,13.382407,13.775385,14.934301,14.332203,16.301392,22.352852,24.68332,24.293001,12.45388,2.4088137,1.1541916,-0.69761515,3.5296662,4.293487,6.732087,12.786329,11.228487,8.368327,11.099974,19.050463,20.001553,21.229193,22.116829,17.94864,16.06954,14.104997,13.967434,16.054008,18.824749,20.009808,20.737549,14.828586,9.264784,8.509419,13.176502,15.513434,15.508476,12.116224,13.884796,16.972591,15.30612,12.311155,17.834736,21.106173,15.334133,14.365255,16.56657,15.771918
6,9.132183,5.729162,6.6788926,11.107029,12.636785,10.368788,12.9357815,15.088441,14.426512,17.721882,17.09487,15.614837,20.10704,11.719738,6.749513,11.711424,11.309292,15.46393,19.403805,16.750505,16.885927,14.850819,10.060736,12.14818,13.1813545,13.672252,11.98923,14.194525,0.21019724,-5.1671295,-7.5357556,-7.560022,-0.6431724,-9.829187,-23.32639,-41.24135,-52.32305,-45.533745,-23.407253,-4.7835226,3.7646847,4.579289,6.5555162,9.067198,1.2630736,-5.5177517,-4.6119795,-2.028545,-0.2276991,-6.3325515,-12.174557,-11.837212,-6.268647,-1.709439,4.7862616,5.2309527,1.9877264,-2.6505582,-6.734921,-14.50138,-24.0755,-30.654755,-34.223198,-38.103836,-38.940945,-40.525467,-42.780205,-42.166256,-36.04498,-23.724152,-5.967875,2.0509937,-1.540053,-0.18706453,1.5094233,3.6333218,6.696638,5.1992607,5.4810143,9.382766,14.733815,23.442486,21.808212,22.220833,18.41299,17.111061,18.125933,20.63818,20.63353,12.417585,15.640688,20.399445,12.136002,6.318303,5.7489347,9.210244,14.915123,19.321516,14.046832,9.612247,10.085384,11.99911,13.53534,18.823555,22.45895,17.187777,10.936426,14.407793,15.938171
7,0.5381438,4.4667854,7.9319863,12.353823,11.526207,9.586725,15.229111,15.896863,16.58144,15.908454,15.531143,11.296852,13.197749,10.461939,6.4322653,10.368959,10.683311,11.095123,16.577324,14.294491,18.038815,4.1093764,3.9880962,0.98187405,8.549837,10.348781,10.974215,11.057892,12.119474,9.389883,10.278321,13.277735,22.478287,22.429909,16.393524,2.3281267,-2.2678404,1.7748547,6.931633,7.782302,11.182792,9.86365,8.125094,7.9332633,9.415609,11.687328,6.1639576,4.6075387,2.0301042,-2.3539357,-0.03277853,3.5906248,0.4413941,10.417074,23.032028,27.995066,25.63483,19.307495,8.977483,2.1912596,-2.215067,-4.752922,-1.794033,-1.7980558,-1.6586839,5.9426794,7.775792,8.171808,12.722018,19.235785,21.88218,22.804474,20.76152,20.2296,22.0949,25.588112,27.374205,21.83731,23.299809,28.630287,23.400703,26.304008,21.538452,16.059961,15.349495,18.647608,17.348675,16.618805,17.616518,11.4663925,12.238916,15.39551,12.441162,8.407173,3.629232,4.7300925,9.888795,16.222012,14.6839485,7.418724,9.904583,13.166687,15.74581,17.385582,19.716305,13.976778,9.064827,13.803555,12.716804
8,-0.65890205,7.3553276,7.0383005,7.1384706,6.7697377,7.0135136,12.355291,7.6357007,7.4946265,6.7310085,7.6159334,8.32118,9.818861,11.340364,6.3304768,7.468213,7.844406,8.033232,8.903357,6.763892,12.922669,7.7247443,3.1882024,3.6396713,7.6798477,7.9203672,8.287481,7.687687,18.326002,18.43475,2.507712,-7.019856,-6.199254,-11.437603,-15.578762,-24.902184,-29.99388,-24.945602,-20.78534,-22.047953,-26.288921,-25.926971,-21.080746,-14.183304,-10.631214,-8.3792,-7.786586,-10.649474,-15.687537,-21.742584,-18.865616,-15.773819,-6.3712883,-9.55361,-15.800297,-28.21521,-39.826557,-45.610535,-45.66071,-41.437508,-37.494545,-37.52661,-35.04386,-37.74684,-37.628548,-37.30848,-37.060646,-31.865847,-28.006866,-27.839886,-16.098026,-3.9738033,-1.065625,1.2493123,0.23025405,-0.1305089,1.9602668,-0.63844645,-0.34862703,6.7849684,11.435341,16.216341,14.413702,16.102016,18.006788,17.5281,11.910534,10.355291,12.483725,10.916762,9.5244465,7.383446,7.804776,11.950806,7.2733436,6.6468315,9.086537,9.634579,6.9071903,3.8444085,9.858498,15.127209,15.00463,11.38298,7.3573685,5.5661077,6.7504416,9.014494,6.814457
9,4.3580737,7.8907375,2.3041234,-0.89707124,2.8887253,4.0199847,6.1681023,1.164449,1.5974605,-0.036445796,4.4977326,9.784582,8.188671,8.428885,7.8388643,4.758125,6.528648,6.318928,5.330347,3.8258507,6.1073275,14.6952095,11.033487,13.03031,12.699613,6.635109,1.8128405,2.2678404,10.184917,12.494462,8.714798,3.3260484,5.8366003,-9.845212,-13.772354,-4.381655,8.166344,16.025963,18.869726,7.864656,-2.2778897,-10.785255,-18.835232,-18.95555,-12.302605,-0.6609494,-1.3881617,-9.289457,-9.111317,-7.066663,-10.211071,-8.635871,2.7474873,0.6867651,-7.9802294,-15.29882,-16.99356,-9.007786,-0.7686389,6.8558106,13.568127,14.818592,11.872217,7.10888,6.5077305,6.5047946,4.9142175,1.5053792,-2.92973,-3.6255832,-5.554173,-6.931469,-6.2444744,-2.9138055,-3.7130017,-4.1152444,-4.134201,-11.701638,-10.161722,-6.358251,1.9989173,8.789886,7.1595974,10.824141,16.000113,14.960062,11.222741,9.940626,8.632712,6.2731266,8.059721,5.646353,8.207643,13.39772,12.309307,9.836539,8.861512,6.444971,3.1119409,5.956467,10.142593,13.986754,11.873691,9.2108755,5.811446,3.551715,3.55622,5.1422625,5.1117573
