,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118
0,-510.95792,-460.81775,-489.4183,-520.6838,-508.44284,-505.00388,-502.96835,-508.7267,-516.2132,-517.5633,-516.1264,-514.733,-518.5569,-519.7048,-519.8801,-519.21576,-519.77344,-525.2462,-522.3315,-519.64844,-524.9739,-525.3477,-516.57904,-502.87073,-497.1453,-506.01447,-519.2556,-522.039,-526.05853,-524.89435,-514.89703,-424.92923,-324.0961,-273.29398,-273.37936,-266.861,-264.62714,-262.69513,-250.82019,-234.78503,-234.10335,-309.83722,-221.66946,-72.16366,-28.353485,-34.267406,-60.785675,-108.69776,-168.15215,-217.38565,-266.81387,-307.90765,-317.93954,-341.67004,-326.57324,-326.6324,-339.65744,-327.05692,-294.99182,-233.49754,-218.88731,-224.64693,-223.2427,-224.33838,-233.64415,-242.34874,-254.12004,-272.99838,-290.95987,-310.53635,-319.3386,-326.08185,-335.7071,-353.82895,-364.77576,-372.7035,-396.35376,-432.41376,-457.0666,-484.65488,-489.36017,-493.20575,-502.84744,-505.6427,-510.49545,-511.20837,-512.3533,-514.0674,-510.22128,-510.82898,-507.8834,-504.21594,-510.9409,-509.17392,-502.71304,-505.1242,-499.23892,-498.37143,-500.3741,-488.7129,-492.1274,-502.3832,-510.70773,-509.5318,-511.05414,-508.5887,-509.99722,-512.39734,-513.3138,-517.33636,-512.92096,-510.5308,-501.28372,-505.57776,-517.761,-516.2766,-517.9797,-505.30444,-450.03064
1,32.093636,27.407581,41.490578,57.030907,50.28969,66.789764,78.81036,77.586586,77.13448,74.85924,72.224495,71.5077,71.12973,74.21179,73.56822,72.77585,68.88338,62.274376,63.543457,66.91643,65.83208,67.19714,76.58367,96.39209,106.39,86.410576,67.71838,68.888435,67.18495,67.747986,75.208954,69.01964,66.42815,48.282455,15.476189,12.724493,14.374078,11.372951,11.739605,17.151615,34.681427,54.971462,73.45206,117.44591,151.82338,166.31046,167.5552,183.97418,194.47261,194.84407,185.7106,179.14485,172.19019,147.3599,103.89925,62.302177,6.3059607,-10.079025,33.47497,147.52579,193.08237,188.7889,173.46613,170.35165,172.67654,176.3411,174.83754,175.49817,175.96613,169.61938,166.9614,162.01129,152.2414,141.8507,134.98538,132.0705,125.56023,115.86857,110.331795,96.91712,98.275955,94.04094,87.29986,86.06875,83.19763,83.755646,84.59094,82.03407,83.66069,86.1771,87.51538,88.05315,82.55307,87.48939,91.076385,88.14557,98.6935,94.82532,91.82834,105.42514,105.61921,92.19513,85.20621,84.85435,83.11944,91.08547,92.39175,83.91895,79.9317,78.44472,78.19741,80.348724,84.70633,77.73369,71.95402,73.35777,73.12561,85.11276,98.77307
2,3.5610576,3.7256498,17.776606,29.946247,30.13216,33.90983,35.69532,32.28598,33.954327,35.209656,30.323982,30.539383,34.326397,32.700523,30.644665,30.816368,30.570913,33.715954,33.48737,31.111286,28.476065,30.367966,40.615166,55.73954,59.15653,45.943542,33.07483,33.572876,33.672035,30.586636,37.776943,74.01593,74.590004,60.09664,45.467087,39.865818,34.03489,24.280468,16.84062,10.588827,18.551613,34.815247,17.290787,-10.088877,-45.3452,-70.112656,-66.93208,-58.949814,-42.051388,-29.378994,-13.374604,0.2689215,2.5954692,22.255224,45.602768,37.64466,7.335564,-3.21995,13.978401,47.25997,31.595924,16.564167,3.4125001,-4.223353,-5.5539894,-8.23868,-13.473375,-12.094881,-7.8972178,-6.2020526,-5.3186145,-8.817951,-7.8613014,-6.5454197,-6.069582,-1.6792543,4.2625914,17.20237,33.323418,41.497955,48.005013,46.315216,42.837555,43.089893,44.583427,45.986008,47.177017,43.67386,45.806732,45.32426,45.05416,46.449974,45.180325,48.8126,51.25645,50.484802,54.54572,54.05462,53.22184,58.438435,58.740612,50.410873,52.902893,53.557594,49.049652,54.062077,53.643906,41.97278,41.935204,42.389465,39.050877,42.06114,43.748257,40.114437,40.413208,39.99247,40.08967,40.20707,30.754725
3,48.180454,58.723274,49.585274,22.006954,19.593197,25.247807,31.12586,25.054832,23.461235,25.104422,23.270039,23.450089,25.720673,23.692291,24.228336,23.608063,22.34291,24.096056,22.519213,19.94387,20.432545,24.471218,27.778622,34.90188,33.174316,32.734413,24.221989,17.46382,20.186798,20.743305,25.993649,72.14479,97.121376,101.289185,95.3739,91.01488,88.99864,95.32774,100.79131,90.86999,86.29048,82.77472,36.62623,27.525145,15.427088,14.920721,14.05011,15.437195,6.1879826,12.605823,31.250576,50.62663,57.732677,60.050198,47.207214,41.74481,27.05645,21.13174,25.648533,32.212112,46.075676,45.458237,43.50361,40.55092,38.657852,33.97276,29.920958,28.436543,30.67268,33.11412,33.128593,37.871925,50.851456,59.335968,57.11671,57.961094,58.51602,52.106827,47.859222,42.46338,46.206024,43.437405,36.736313,35.65424,37.37612,36.976467,33.73117,32.321243,36.859955,35.711887,32.23149,33.35431,32.505943,33.74292,36.97725,39.81002,35.127678,37.089592,40.169083,41.532993,37.965122,32.487442,35.213425,41.251434,39.77366,40.150948,38.838943,29.625893,28.672272,30.018642,24.726734,25.147778,23.027748,21.998266,28.721062,28.681812,28.240845,24.717308,20.459486
4,-3.9696867,-1.8686031,-0.054918647,9.762657,5.4033303,13.431951,20.409046,20.643118,11.646099,11.720226,13.388549,17.833832,17.207705,13.714394,14.569563,12.624407,11.006279,13.362095,16.791063,19.39678,19.199677,23.279686,25.407518,20.625595,13.44527,20.18016,17.475372,12.891851,11.974603,10.85923,9.659004,-1.5945125,-8.053764,-14.704888,-18.289795,-19.463291,-23.467186,-26.587307,-23.833448,-20.802586,-10.240305,0.06424934,3.8490448,-7.939288,-24.726437,-50.410683,-66.66624,-70.71135,-51.396637,-29.830465,-8.734727,16.891006,28.380482,21.677753,-1.0876757,7.493375,8.095414,-1.7073145,-10.726477,-48.5091,-72.22983,-74.797516,-68.742424,-61.218536,-54.169754,-41.82363,-30.133818,-16.235222,-3.134593,6.3552747,12.957217,25.278082,38.984135,47.918514,47.010075,45.988834,48.04316,44.268303,42.01605,36.05973,30.985529,28.319359,26.097897,25.758554,28.362238,30.509949,27.781656,24.722094,23.786823,22.851507,20.770456,17.258724,16.451946,21.593195,26.035786,25.26156,12.880257,15.991787,23.662655,21.936586,18.363018,19.257214,20.541382,25.866364,25.401272,25.248829,24.990074,23.89814,22.123795,17.926407,10.42174,14.927935,13.727776,16.371819,21.94989,19.844238,17.951988,16.547386,17.383806
5,11.790287,19.95079,22.001003,17.064837,17.90383,15.817163,12.6026325,15.408987,12.666658,15.425312,13.448961,12.469991,12.497448,13.876085,16.931028,15.128169,15.205683,15.561877,15.609429,18.351166,17.606579,19.93114,23.472118,15.435759,9.639111,17.040758,17.398079,16.661871,18.588478,18.690723,11.610586,28.344448,29.162348,29.139767,29.362339,29.36628,31.44717,26.332956,17.836483,19.377316,17.47528,15.760876,17.295845,1.5860056,-4.1911,-0.4896189,-0.08754146,-3.3107915,-11.341719,-18.159206,-19.728392,-23.068903,-18.973038,-6.6594677,5.628108,13.654604,28.079458,29.051464,18.128738,-15.022186,-26.670574,-30.226128,-24.26709,-22.3248,-21.55952,-17.74948,-18.699299,-19.691359,-19.595993,-18.708893,-19.364883,-18.414743,-14.885324,-9.922244,-8.544141,-5.968258,0.92987317,6.759803,9.063747,18.737362,18.081497,15.310342,17.918018,18.223711,24.793148,27.028252,23.961412,23.211224,24.913637,23.371609,17.999504,15.71809,18.8953,23.384834,23.484077,23.707952,14.167113,15.63324,21.647009,19.403042,16.101486,21.21291,22.51397,22.54818,25.890755,20.676617,18.452995,21.106823,20.258715,18.59771,16.151459,25.486605,32.486275,29.000927,20.96502,24.483658,25.890465,20.93069,15.117437
6,13.594427,14.287156,16.54771,4.435753,1.1371682,2.8413553,4.1526194,5.841361,10.110828,8.766202,12.516982,9.972975,7.1542244,11.526516,15.120371,15.251379,15.649464,16.387535,10.1729965,15.628887,19.210873,17.553802,19.87513,13.673557,12.080759,11.365327,13.25404,16.40823,13.563048,15.077427,12.783344,-11.393152,-15.860454,-16.373508,-18.534836,-23.233816,-23.621712,-23.28283,-18.863956,-15.575097,-11.648944,-9.239441,-23.901863,-28.376165,-18.95633,-6.2648153,11.352936,21.359398,26.025482,20.10698,11.500765,-4.228869,-7.1569567,3.1311667,1.7499669,-5.3960056,6.8797398,5.773901,-5.64005,-11.860285,2.2997406,2.398777,3.5085664,6.766983,7.3343453,5.553467,3.584971,-0.26953572,-4.0093565,-9.103945,-8.856773,-7.259655,-8.379616,-11.36109,-11.55794,-5.9702625,0.3247277,4.889632,5.7580824,16.400482,12.860563,10.633875,14.453051,15.890415,16.84141,17.913548,16.878622,15.138015,18.377666,19.053967,17.302868,17.393152,19.803556,22.47305,23.314205,24.718325,15.035466,15.936827,18.815735,13.459814,13.353964,17.056337,16.004578,17.046253,20.94716,17.473064,15.524449,17.380821,15.366959,17.797762,13.676598,15.39985,21.644344,21.254707,18.308811,21.046898,25.126373,21.739548,13.736582
7,10.563696,9.64701,9.227865,21.495079,20.216782,17.004335,13.532606,12.0136385,12.257959,7.975256,14.180855,15.470158,13.6099415,12.155984,16.256195,19.319218,18.489014,17.769112,15.095563,16.321016,16.944412,20.281195,21.96555,14.720789,11.36664,11.317485,19.59434,19.261835,13.271008,17.832817,15.067782,15.505512,26.734566,29.000977,23.91345,21.11747,22.637741,25.351688,29.467617,27.0296,26.596704,25.221355,7.900498,1.7219932,2.2933018,11.236977,17.92334,14.344566,10.141977,12.52752,17.75441,6.594282,1.607503,7.4211965,16.353033,14.460534,25.283192,20.987694,10.708525,11.379749,7.4601536,6.5589685,12.622747,14.99148,10.450106,11.059448,16.254942,21.817245,22.96521,23.215742,28.908504,35.3319,27.787495,21.453098,25.172699,24.650753,27.771782,29.897486,20.840918,23.37888,17.33899,15.420916,19.047232,20.268818,16.90379,15.638583,15.523185,14.705774,16.397816,16.505161,17.479324,15.556047,16.18203,18.407434,20.050488,15.155033,10.386361,12.804126,13.958896,8.048777,5.3899107,12.338288,14.107752,11.399933,16.381302,15.676571,15.451116,18.216026,19.97741,17.945864,14.913837,18.667126,25.493828,24.832489,19.954298,20.373653,20.533857,19.312187,9.629643
8,19.436659,19.185844,15.2747345,9.362337,4.4487076,9.890988,14.850082,14.458896,10.647824,6.017869,8.708616,12.283707,11.46495,10.5503235,6.9532022,11.960278,12.565008,10.135508,12.1815605,8.58447,6.6381464,9.48078,19.841555,15.707845,9.176392,10.224325,17.871132,13.006449,12.101063,14.668255,13.886187,-16.662228,-22.316835,-21.41225,-19.61876,-14.721004,-13.055719,-18.609428,-26.24121,-24.069378,-20.090115,-18.949415,-2.1705353,-3.4145482,-13.208894,-26.22276,-24.322445,-16.606455,-11.491896,-12.897515,-15.429153,-10.016491,-6.851226,-6.2516556,-4.9521484,-1.189179,11.031797,7.678507,-3.1533089,-1.9974356,-4.7832665,-2.0102499,-0.22004497,2.0683184,5.555978,6.864778,3.973455,5.319597,3.745367,3.0092432,4.17125,0.5898075,-4.3526335,-3.3112402,-0.59035504,-0.44259244,1.3113354,7.602469,8.459395,12.039713,5.075633,4.2397585,11.537881,13.60256,15.206953,14.520381,12.527655,12.921644,12.59346,9.627523,9.982462,9.902771,13.161119,10.425737,13.181253,13.025673,8.727674,8.547466,8.33808,4.3411093,1.251493,6.92402,9.922456,3.973755,9.304508,11.439722,12.287635,16.030725,14.481433,10.231824,11.863692,18.250072,21.972172,18.57864,16.844002,14.76844,13.871949,15.402662,10.486594
9,8.325223,11.337042,10.828314,7.7300777,7.9690714,11.65607,9.564629,11.748517,7.902236,5.278267,7.8390346,10.860401,7.852861,7.620843,6.267267,9.449612,7.892343,5.1371427,8.375252,8.46085,9.217297,11.410559,18.464668,14.952587,6.0367002,5.076966,9.654768,7.779825,8.223619,9.903597,7.997505,-4.300104,-5.603286,-5.188341,-5.1216273,-7.4363112,-4.145027,1.794767,1.9234099,1.8719482,-2.830172,-4.294387,7.578419,18.563738,25.497967,25.594925,15.891081,4.373437,-2.5931673,-10.619021,-10.097994,-7.11572,0.45705926,3.10225,0.4287361,2.5260167,9.650009,8.00845,1.1579677,0.93338007,-1.784856,-5.000758,-9.777882,-12.391479,-16.433563,-23.174973,-26.050488,-25.736492,-24.060123,-14.486648,-13.701585,-10.646881,-7.5824385,-2.1571822,0.3364752,1.3679345,1.1525973,3.0765305,9.034767,10.495567,4.31028,4.598521,12.7877035,14.46945,9.426437,8.819111,9.219231,8.341151,9.513451,8.79855,0.77327394,3.004853,11.34248,8.966963,11.640736,13.733321,10.352889,8.431846,5.151517,2.5828204,5.0916376,9.2163925,12.157936,9.560432,8.866653,13.438275,11.056966,10.078119,7.850259,7.8799195,5.1726623,10.196251,11.189193,11.85439,14.613264,15.180662,15.451631,13.206565,7.9971757
